"","stock_data$TSS.Open","stock_data$TSS.High","stock_data$TSS.Low","stock_data$TSS.Close","stock_data$TSS.Volume","stock_data$TSS.Adjusted"
"1",14.19,15.02,13.52,13.6,19327500,12.59614
"2",13.55,15.74,13.41,14.91,28386400,13.809444
"3",15.08,15.44,13.87,14.2,24039800,13.151852
"4",14.37,15.5,13.98,15.24,34429500,14.183275
"5",15.36,16.1,15.11,15.61,23392700,14.527619
"6",15.63,16,14.97,15.09,19188100,14.043676
"7",15.27,15.62,15.1,15.38,19060200,14.379183
"8",15.47,18.07,15.44,17.41,29312800,16.277085
"9",17.52,17.959999,17,17.75,20917900,16.59496
"10",18.02,18.549999,17.200001,18.02,30003400,16.913757
"11",18.09,19.209999,18.030001,18.85,23774200,17.692804
"12",18.969999,19.27,18.08,18.6,21213900,17.458151
"13",18.59,18.639999,17.09,18.58,27061600,17.509497
"14",18.610001,19.360001,17.68,18.610001,26833500,17.537769
"15",18.790001,18.870001,15.8,18.15,54279500,17.104271
"16",18.110001,18.49,16.65,16.93,34514700,16.0186
"17",16.82,20.5,16.59,19.889999,40667800,18.819253
"18",19.48,20.290001,18.719999,20.040001,28108000,18.961179
"19",19.950001,20.43,18.889999,19.559999,28143500,18.600772
"20",19.83,22.42,19.35,21.440001,29476200,20.388577
"21",21.6,22.040001,21.299999,21.879999,21640400,20.806998
"22",21.969999,23.24,21.559999,23.07,23224800,22.035543
"23",23.040001,23.879999,22.389999,23.52,25826300,22.465366
"24",23.43,23.809999,21.809999,23.27,31321700,22.226576
"25",22.959999,23.969999,22.35,23.93,30968200,22.952979
"26",23.85,25.059999,22.32,23.65,33696300,22.684411
"27",23.73,24.120001,22.940001,23.18,27535700,22.233601
"28",23.200001,24.43,23,23.700001,24231900,22.827964
"29",23.709999,24.4,21.91,22.49,24050300,21.662485
"30",22.469999,22.809999,21.389999,21.950001,27944200,21.142355
"31",22.08,22.49,21.1,21.42,29355900,20.725213
"32",21.719999,24,21.57,23.25,40052400,22.495854
"33",23.459999,23.870001,21.530001,23.76,37128800,22.989312
"34",23.65,24.83,23.5,24.780001,28004900,24.076504
"35",24.75,25.049999,22.66,23.620001,32274600,22.949436
"36",23.5,24.360001,23.290001,23.51,25313900,22.842559
"37",23.51,24.59,22.58,24.48,35053700,23.88732
"38",24.52,27.700001,24.5,27.41,31935500,26.746383
"39",27.51,28.620001,27.370001,27.67,24810100,27.000089
"40",27.940001,30,27.52,29.42,21942900,28.806204
"41",29.41,30.790001,28.299999,29.83,29109900,29.20765
"42",29.83,31.52,29.440001,31.049999,18246900,30.402196
"43",31.09,33.439999,30.17,33.279999,30983400,32.689478
"44",33.23,33.23,27,29.879999,30013000,29.349808
"45",29.809999,30.73,28.27,30.459999,28112500,29.919517
"46",30.1,31.120001,29.33,30.41,26533400,29.968761
"47",30.459999,31.83,28.17,31.77,38579800,31.309028
"48",31.790001,32.959999,30.25,30.26,42212700,29.820937
"49",30.309999,31.549999,29.82,31.41,23384500,31.0575
"50",31.48,32.68,30.91,32,21301200,31.640879
"51",31.889999,32.139999,30.889999,31.459999,17825400,31.106938
"52",31.450001,31.950001,30.360001,30.959999,17282200,30.709058
"53",30.959999,33.869999,28.540001,33.790001,22741500,33.516122
"54",33.860001,34.07,32.060001,32.990002,17078800,32.722607
"55",32.959999,34.549999,32.060001,33.959999,16599500,33.789224
"56",34.240002,36.990002,33.060001,35.369999,17771500,35.192133
"57",35.540001,38.610001,34.93,38.200001,13293000,38.007903
"58",38.18,39.25,37.139999,38.150002,16792900,38.057314
"59",38.060001,40.77,37.599998,39.560001,22173900,39.463889
"60",39.720001,42.16,39.52,41.200001,16238700,41.099904
"61",41.32,41.950001,40.700001,41.740002,5275700,41.638592
