"","stock_data$MYL.Open","stock_data$MYL.High","stock_data$MYL.Low","stock_data$MYL.Close","stock_data$MYL.Volume","stock_data$MYL.Adjusted"
"1",18.32,18.84,16.889999,17.040001,120503300,17.040001
"2",16.91,18.690001,16.549999,17.4,148716500,17.4
"3",17.639999,18.24,16.969999,17.16,106533400,17.16
"4",17.32,18.99,17.25,18.809999,116493700,18.809999
"5",18.85,20.549999,18.33,20.32,152104600,20.32
"6",20.370001,20.629999,18.82,19.57,200278300,19.57
"7",19.75,21.49,19.52,21.129999,115029800,21.129999
"8",21.200001,24.17,21.200001,23.16,121485100,23.16
"9",23.25,23.799999,21.52,22.870001,122376000,22.870001
"10",22.98,23.209999,20.950001,22.66,129192800,22.66
"11",22.879999,25.459999,22.6,24.92,123264500,24.92
"12",25.129999,25.24,22.76,23.549999,126020700,23.549999
"13",23.549999,24.9,21.91,24.67,108008900,24.67
"14",24.67,25,22.73,22.780001,105227400,22.780001
"15",22.99,23.15,17.290001,20.75,239634500,20.75
"16",20.879999,20.959999,16.99,16.99,165196900,16.99
"17",16.84,20.52,15.49,19.57,150303900,19.57
"18",19.059999,19.530001,17.219999,19.530001,120132800,19.530001
"19",19.709999,21.84,19.309999,21.459999,117293900,21.459999
"20",21.959999,22.35,20.370001,20.75,109283400,20.75
"21",20.959999,23.879999,20.940001,23.440001,126162200,23.440001
"22",23.4,23.719999,22.02,23.450001,101924700,23.450001
"23",23.42,23.629999,21.4,21.690001,108727400,21.690001
"24",21.620001,22.25,20.209999,21.67,138109500,21.67
"25",21.49,21.74,20.5,21.370001,86166500,21.370001
"26",21.440001,23.43,21.200001,23.030001,89722500,23.030001
"27",23.110001,23.99,22.5,23.57,85496200,23.57
"28",23.57,24.67,23.280001,24.370001,65914400,24.370001
"29",24.5,25.51,23.25,25.34,94664400,25.34
"30",25.299999,27.5,25.299999,27.18,115929000,27.18
"31",27.26,28.5,26.91,27.450001,112149600,27.450001
"32",27.84,28.6,27.379999,28.27,109985000,28.27
"33",28.440001,30.469999,27.950001,29.610001,91425200,29.610001
"34",29.629999,31.219999,28.639999,28.959999,135524800,28.959999
"35",28.950001,29.51,27.66,29.110001,136684000,29.110001
"36",29.08,32.27,27.77,30.48,117171300,30.48
"37",30.459999,32,29.5,31.030001,89174200,31.030001
"38",30.950001,33.740002,30.01,33.560001,70893100,33.560001
"39",33.73,37.470001,33.529999,35.34,101852200,35.34
"40",35.75,39.41,34.860001,38.169998,89846800,38.169998
"41",38.130001,40.549999,36.970001,37.869999,100163100,37.869999
"42",38.119999,44.73,37.43,44.130001,86506300,44.130001
"43",44.299999,44.68,41.259998,43.400002,70973100,43.400002
"44",43.380001,46.73,41.970001,45.41,70482200,45.41
"45",46.130001,57.07,42.43,55.57,102182600,55.57
"46",54.77,57.52,47.360001,48.830002,110807900,48.830002
"47",49.080002,55.299999,44.740002,50.779999,166860500,50.779999
"48",51.439999,52,45.110001,49.84,91804600,49.84
"49",49.959999,53.560001,48.419998,51.560001,57857500,51.560001
"50",51.860001,53.049999,48.950001,49.369999,112378800,49.369999
"51",49.32,49.790001,44.799999,48.599998,106103300,48.599998
"52",48.77,49,44.799999,45.490002,84303500,45.490002
"53",45.639999,56.099998,45.02,53.549999,126521600,53.549999
"54",53.599998,59.599998,52.330002,58.610001,64171200,58.610001
"55",58.27,58.860001,53.27,56.369999,64257200,56.369999
"56",56.540001,57.32,52.389999,53.150002,74167200,53.150002
"57",53.549999,58.369999,52.209999,57.330002,53824200,57.330002
"58",58,65.629997,54.810001,59.349998,123606900,59.349998
"59",58.439999,76.690002,57.459999,72.260002,348449300,72.260002
"60",72.720001,74.610001,69.489998,72.629997,119985300,72.629997
"61",72.419998,74.660004,71.309998,74.059998,39459500,74.059998
