"","stock_data$BA.Open","stock_data$BA.High","stock_data$BA.Low","stock_data$BA.Close","stock_data$BA.Volume","stock_data$BA.Adjusted"
"1",62.810001,69.339996,62.299999,62.75,98167600,55.908599
"2",62.48,69.75,60.650002,68.139999,110005400,60.710947
"3",69.010002,70,59.48,61.130001,99202500,54.796174
"4",61.790001,67.970001,61.66,66.540001,97619100,59.64563
"5",67.540001,72.489998,65.860001,70.639999,97535100,63.320818
"6",70.709999,71.889999,61.84,63.77,150042600,57.508777
"7",64.660004,67.389999,62.82,65.260002,103910300,58.852484
"8",66.150002,72.989998,66,69.480003,128661800,62.658146
"9",70,74.290001,69.599998,72.010002,91690200,65.317034
"10",71.93,74.470001,67.339996,73.93,119791900,67.058578
"11",74.290001,80.339996,70.879997,79.779999,95129600,72.364848
"12",80.349998,80.650002,75.129997,78.029999,87491500,71.15128
"13",77.949997,78.099998,70.290001,73.93,103740100,67.412716
"14",73.809998,76.199997,69.07,70.470001,106421300,64.257733
"15",71.610001,71.629997,56.009998,66.860001,194916400,61.3795
"16",66.959999,67.730003,57.529999,60.509998,124749900,55.550006
"17",60.099998,68.760002,56.900002,65.790001,127425600,60.397208
"18",64.230003,68.970001,62.119999,68.690002,114604000,63.461576
"19",68.699997,74.739998,68.510002,73.349998,116561100,67.766871
"20",74.699997,76.699997,72.739998,74.18,103787200,68.533696
"21",74.959999,76.739998,74.300003,74.949997,84337600,69.652628
"22",74.959999,75.809998,72.300003,74.370003,89633300,69.113627
"23",74,77.57,70.589996,76.800003,85289300,71.371878
"24",76.589996,77.830002,68.93,69.610001,88091800,65.069771
"25",68.669998,74.370003,66.82,74.300003,88430100,69.453874
"26",74.209999,75.959999,70.849998,73.910004,86964700,69.089311
"27",74.32,74.690002,70.019997,71.400002,85793400,67.143281
"28",71.5,73.269997,69.029999,69.599998,103075800,65.45059
"29",69.860001,75,69.199997,70.440002,92093600,66.240515
"30",70.589996,74.860001,69.300003,74.279999,101603600,70.280951
"31",74.410004,76.559998,72.93,75.360001,90048100,71.302808
"32",76.550003,78.019997,72.68,73.870003,191804200,69.893028
"33",74.489998,77.93,74.230003,76.900002,101429400,73.22727
"34",76.699997,86.839996,76.169998,85.849998,105390300,81.749817
"35",85.599998,93.379997,83.800003,91.410004,106380800,87.044277
"36",91.080002,101.470001,90.720001,99.019997,111622200,94.775743
"37",99.360001,104.150002,96.309998,102.440002,99711500,98.049158
"38",102.93,109.489998,98.989998,105.099998,152799000,100.59514
"39",105.989998,107.949997,101.769997,103.919998,79814700,99.918451
"40",105.129997,120.379997,104.620003,117.5,89293700,112.975541
"41",117.970001,131.880005,113.339996,130.5,102075200,125.474963
"42",130.899994,142,130.580002,134.25,88250600,129.550966
"43",134.990005,138.880005,130.550003,136.490005,78680000,131.712567
"44",136.009995,144.570007,123.080002,125.260002,113971400,120.875637
"45",124.239998,130.940002,118.769997,128.919998,119986800,125.109204
"46",127.18,131,121.370003,125.489998,97798400,121.780592
"47",126.239998,131.5,121.919998,129.020004,77966900,125.206254
"48",128.740005,135.440002,128.270004,135.25,61514500,131.988556
"49",135.5,138.389999,126.199997,127.230003,78754100,124.161955
"50",127.660004,130.580002,120.410004,120.480003,111816600,117.574725
"51",120.449997,129.130005,117.870003,126.800003,79252200,124.491716
"52",125.620003,129.869995,124.099998,127.379997,75364300,125.061152
"53",127.370003,128,116.32,124.910004,107425500,122.636123
"54",125.349998,135.779999,123.370003,134.360001,72413000,132.683794
"55",134.309998,134.399994,120.580002,129.979996,96837400,128.358432
"56",131.070007,148.25,126.18,145.369995,109090800,143.556433
"57",143.720001,158.830002,143.050003,150.850006,92510400,149.88945
"58",150.850006,156.910004,145.960007,150.080002,81607600,149.124349
"59",149.970001,155.5,142.75,143.339996,84509000,142.427261
"60",144.410004,148.300003,140.320007,140.520004,79187700,140.520004
"61",141.449997,145.059998,139.899994,141.619995,27118100,141.619995
