"","stock_data$CBG.Open","stock_data$CBG.High","stock_data$CBG.Low","stock_data$CBG.Close","stock_data$CBG.Volume","stock_data$CBG.Adjusted"
"1",14.41,16.129999,13.52,13.61,67752000,13.61
"2",13.63,17.15,12.81,17,105425000,17
"3",17.299999,17.6,15.7,16.42,72941600,16.42
"4",16.77,19,16.73,18.280001,68474700,18.280001
"5",18.42,20.379999,17.139999,18.35,90255100,18.35
"6",18.49,20.4,18.190001,19.190001,82062300,19.190001
"7",19.57,21.530001,18.860001,20.48,60230300,20.48
"8",20.68,22.66,20.290001,22.190001,73989900,22.190001
"9",22.379999,25.68,22.290001,25.040001,73870500,25.040001
"10",25.17,27.969999,24.299999,26.700001,86379100,26.700001
"11",26.99,29.879999,26.290001,26.709999,75485600,26.709999
"12",26.940001,27.959999,25.58,26.43,68076300,26.43
"13",26.4,26.610001,22.450001,25.110001,80570200,25.110001
"14",25.059999,26.290001,20.51,21.799999,89277800,21.799999
"15",22.110001,22.280001,13.42,15.16,166005500,15.16
"16",15.24,15.51,12.3,13.46,145077100,13.46
"17",13.34,19.610001,12.51,17.780001,120828200,17.780001
"18",17.280001,17.98,14.32,16.809999,105905300,16.809999
"19",16.790001,17.709999,14.18,15.22,105491600,15.22
"20",15.68,19.700001,15.56,19.299999,86129800,19.299999
"21",19.459999,19.66,17.76,18.33,71545400,18.33
"22",18.43,21.16,17.690001,19.959999,83551000,19.959999
"23",19.969999,20.459999,17.610001,18.809999,62137900,18.809999
"24",18.790001,19.66,15.73,16.450001,69914000,16.450001
"25",15.38,17.02,15.09,16.360001,62300000,16.360001
"26",16.49,16.58,14.97,15.58,57288400,15.58
"27",16.040001,18.450001,15.77,17.309999,55749500,17.309999
"28",17.309999,20.889999,16.73,18.41,85093200,18.41
"29",18.52,19.74,16.860001,18.02,64903800,18.02
"30",17.940001,19.049999,17.16,18.93,59205600,18.93
"31",18.93,20.549999,18.33,19.9,44701700,19.9
"32",20.34,22.290001,19.780001,21.58,55863200,21.58
"33",21.76,24.860001,21.59,24.17,69131400,24.17
"34",23.870001,25.450001,23.85,25.25,50994000,25.25
"35",25.280001,25.690001,23.17,24.219999,51180400,24.219999
"36",24.1,25.370001,22.969999,23.18,55510700,23.18
"37",23.24,23.559999,20.59,23.360001,65351600,23.360001
"38",23.549999,24.5,22.91,23.17,50257100,23.17
"39",23.360001,23.59,21.24,21.870001,56344000,21.870001
"40",22.190001,24.5,21.709999,23.129999,43453900,23.129999
"41",23.09,24.6,21.860001,23.23,74600900,23.23
"42",23.15,24.48,22,24.24,70724600,24.24
"43",24.25,26.58,24.049999,26.299999,44714600,26.299999
"44",26.27,27.43,25.469999,26.540001,49830600,26.540001
"45",26.48,28.059999,25.5,27.950001,50921900,27.950001
"46",27.790001,28.440001,26.16,27.43,43379500,27.43
"47",27.559999,28.059999,25.84,26.639999,34246000,26.639999
"48",29,29.870001,28.15,29.84,50160800,29.84
"49",29.889999,32.060001,29.780001,32.040001,44450000,32.040001
"50",32.040001,33.77,30.6,30.84,45148100,30.84
"51",30.66,32.049999,30.200001,31.780001,38605400,31.780001
"52",31.84,32.049999,29.51,29.74,38990500,29.74
"53",29.65,32.080002,27.49,32,42238500,32
"54",32,33.990002,31.65,33.740002,24583900,33.740002
"55",33.66,35.369999,31.950001,34.25,43076000,34.25
"56",34.509998,34.869999,32.290001,32.34,42722700,32.34
"57",32.490002,35.130001,31.75,34.259998,31866600,34.259998
"58",34.259998,38.990002,33.970001,38.709999,39159700,38.709999
"59",38.810001,39.77,37.93,38.34,29439200,38.34
"60",38.639999,39,36.52,38.240002,33837100,38.240002
"61",38.360001,38.709999,36.470001,37.099998,12166100,37.099998
