"","stock_data$PCP.Open","stock_data$PCP.High","stock_data$PCP.Low","stock_data$PCP.Close","stock_data$PCP.Volume","stock_data$PCP.Adjusted"
"1",106.449997,117.360001,102.190002,102.919998,22044700,102.579447
"2",102.599998,124.120003,100.989998,122.190002,29987800,121.785689
"3",124.080002,125.639999,111.160004,113.18,16974100,112.8055
"4",115.669998,131.740005,113.730003,127.349998,21304000,126.962268
"5",128.690002,141.210007,126.900002,136.580002,24274600,136.16417
"6",137,145.399994,129.809998,138.070007,22840700,137.649639
"7",140.449997,143.789993,136.889999,139.210007,14148100,138.816329
"8",140.380005,148.360001,138.190002,142.990005,16621700,142.585638
"9",144,151.960007,138.690002,141.75,15145700,141.349139
"10",142.639999,149.350006,136,147.179993,23419600,146.7957
"11",148.669998,155.740005,140.419998,154.520004,11107900,154.116546
"12",155.070007,159.360001,149.440002,157.100006,16627400,156.689812
"13",156.630005,165.119995,147.630005,164.649994,17474800,164.252334
"14",164.179993,171.429993,155.029999,161.380005,19979300,160.990243
"15",162.179993,168.729996,136.039993,163.850006,30506000,163.454279
"16",163.559998,173.979996,149.559998,155.460007,25620900,155.114343
"17",154.550003,178.979996,139.869995,163.149994,27099100,162.787231
"18",159.309998,169.990005,151.419998,164.75,16223600,164.38368
"19",164.050003,166.919998,152,164.789993,14477800,164.454033
"20",167.339996,179.470001,162.070007,163.679993,16800900,163.346295
"21",165.789993,173.240005,164.820007,167.429993,12214100,167.08865
"22",166.990005,176.75,164.610001,172.899994,13063300,172.578829
"23",172.410004,177.990005,163.190002,176.369995,12733700,176.042384
"24",176.550003,179,164.5,166.210007,16005400,165.901268
"25",163.110001,172.350006,156.839996,164.490005,14311900,164.215562
"26",164.839996,168.940002,155.259995,155.559998,15410400,155.300453
"27",156.559998,165.960007,150.529999,161.080002,13574100,160.811247
"28",160.789993,164.690002,157.509995,163.339996,14422100,163.097964
"29",163.479996,173.929993,160.779999,173.070007,13041000,172.813557
"30",173,184.360001,169.320007,183.389999,15457900,183.118257
"31",184.600006,189.580002,180.839996,189.419998,9537600,189.17055
"32",190.229996,194.949997,181.119995,183.399994,18567100,183.158474
"33",183.639999,191.279999,180.600006,186.589996,12113500,186.344275
"34",185.610001,196,184.029999,189.619995,10998300,189.400246
"35",189.210007,191.410004,180.059998,191.289993,13392200,191.068309
"36",189.660004,218.850006,188.110001,213.919998,15973600,213.672088
"37",214.509995,226.940002,207.470001,226.009995,13438000,225.779731
"38",226.949997,254.139999,220.779999,221.720001,17479600,221.494108
"39",223.539993,225.669998,210.789993,211.240005,13173800,211.024789
"40",212.800003,238.330002,212.559998,227.240005,13930000,227.040345
"41",227.440002,263.519989,227.410004,253.449997,15969200,253.227308
"42",253.550003,261.5,246.339996,258.450012,9207000,258.22293
"43",258.450012,271.98999,250.910004,269.299988,10306800,269.094865
"44",268.649994,274.959991,248.029999,254.75,15809300,254.55596
"45",254.529999,264.279999,244.050003,257.880005,14368800,257.683581
"46",255.289993,265.299988,243.179993,252.759995,13594200,252.596562
"47",249.229996,260.540009,240.5,253.089996,12484800,252.926351
"48",252.929993,264.98999,238.009995,252.979996,16795400,252.816421
"49",253.389999,275.089996,251.009995,252.399994,15545500,252.265875
"50",254.630005,261.48999,228.279999,228.800003,21958400,228.678424
"51",228.550003,244.509995,226.380005,244.059998,13958400,243.93031
"52",243.889999,249.119995,235.419998,236.880005,13557800,236.783571
"53",236.869995,236.869995,215.089996,220.699997,24661000,220.61015
"54",221.509995,239.990005,220.369995,237.899994,15264700,237.803145
"55",236.779999,245.050003,227.679993,240.880005,17556000,240.812567
"56",242.089996,242.199997,186.169998,200.100006,48625700,200.043986
"57",200.820007,219.610001,200.440002,216.300003,21928000,216.239447
"58",216.300003,219.279999,203.259995,210,20218400,209.970397
"59",208.860001,217.089996,200.270004,206.690002,29082500,206.660866
"60",207.929993,221.910004,204.899994,211.630005,25597300,211.600172
"61",212.940002,219.729996,207.289993,208.839996,7091400,208.839996
