"","stock_data$NE.Open","stock_data$NE.High","stock_data$NE.Low","stock_data$NE.Close","stock_data$NE.Volume","stock_data$NE.Adjusted"
"1",28.219998,32.230006,28.200002,30.91,151856600,22.696421
"2",30.91,33.459998,29.029996,32.500001,154590200,23.863917
"3",33.069997,36.950001,30.229995,31.120006,90268100,23.279961
"4",31.629999,36.000001,31.48,33.789999,104922300,25.277304
"5",34.119997,36.270007,32.950005,34.530007,87115600,25.830883
"6",34.909997,38.580008,33.500006,33.920003,90166700,25.470326
"7",34.520007,35.869997,33.120003,35.77,93452800,26.859478
"8",36.089998,38.380001,35.100004,38.249997,210903600,28.721693
"9",38.330007,44.759997,37.150008,44.710003,114687800,33.694228
"10",45.430004,46.720002,42.359999,45.62,127814100,34.380017
"11",45.930002,46.429996,40.799995,43.009997,80059200,32.413074
"12",43.149999,43.569996,39.020001,41.870003,89224800,31.656
"13",41.870003,42.480005,37.109999,39.41,81106400,29.796103
"14",39.380006,39.940005,35.950007,36.87,96111300,27.875725
"15",37.839998,37.929997,27.679997,33.760003,138293400,25.645647
"16",33.980006,35.840001,29.32,29.349996,97598700,22.295604
"17",28.740003,37.720005,27.330001,35.939998,126260900,27.301671
"18",34.610006,38.600004,32.380005,34.530007,104745000,26.342081
"19",34.480002,36.140003,29.850005,30.219997,86956800,23.054082
"20",31.210002,37.420001,29.850005,34.840007,104532400,26.578572
"21",35.29,40.450001,35.150009,40.180004,102897000,30.765941
"22",40.240009,41.710001,36.649997,37.470008,96711700,28.690889
"23",36.889996,38.77,35.110002,38.060001,64293300,29.142649
"24",38.350007,39.340001,30.740002,31.270005,100086600,24.030759
"25",30.459996,33.030003,28.730005,32.529997,91354400,24.999053
"26",32.529997,37.939995,31.980006,37.000004,98536500,28.434219
"27",37.279999,38.920004,35.750002,38.140002,57953100,29.412922
"28",37.860007,39.540004,35.110002,35.779998,75793500,27.592927
"29",36.060004,40.799995,34.480002,37.740001,92438000,29.104448
"30",37.740001,38.219999,33.020006,34.49,85589600,26.690044
"31",34.720001,36.4,33.580004,34.819998,64736200,26.945412
"32",35.6,40.709996,35.459998,40.500004,106264400,31.340878
"33",40.740003,41.489998,35.049999,35.820003,95740000,27.811335
"34",35.699997,38.409995,34.380005,38.15,94786100,29.620389
"35",38.249997,38.559999,34.65,37.500002,104405200,29.115718
"36",37.170004,42.340003,36.460003,38.750004,84662400,30.192675
"37",38.920004,39.860004,35.490005,37.580003,57311700,29.28105
"38",37.849996,41.600006,37.160006,38.200003,64959400,29.764133
"39",38.360005,40.709996,37.129999,37.199998,58202200,29.175902
"40",37.759997,39.819999,36.750007,37.769999,77517300,29.622953
"41",37.759997,38.850001,36.750007,37.700009,82679000,29.56806
"42",37.730003,40.660006,37.000004,38.120002,81439200,30.088229
"43",38.159998,38.709999,35.869997,37.470008,68480900,29.575187
"44",37.109999,37.570005,30.990002,31.030006,114857200,24.492075
"45",30.880004,31.920003,30.039999,31.050002,74513500,24.813038
"46",30.940007,32.780007,28.670002,32.739999,89876800,26.163569
"47",32.780007,32.97,29.579997,30.810003,114288600,24.621248
"48",30.359999,31.48,29.499998,31.460001,75331800,25.450452
"49",31.440003,34.65,30.740002,33.560009,77850600,27.149312
"50",33.740005,33.779999,30.960005,31.370002,78116900,25.377645
"51",31.16,31.370002,26.040001,28.459999,100057100,26.72033
"52",28.43,28.5,21.799999,22.219999,130101300,20.861761
"53",22.190001,22.370001,17.93,20.92,217470200,20.005945
"54",20.950001,22.35,17.620001,17.99,140123500,17.203965
"55",17.9,19.35,14.47,16.57,223355300,15.846009
"56",16.440001,17.469999,14.97,16.219999,148535000,15.511301
"57",16.540001,19.620001,16.16,16.639999,152487400,16.255999
"58",16.540001,16.540001,13.15,14.28,174940900,13.950461
"59",14.33,18.58,14.21,17.309999,164049500,17.309999
"60",17.360001,18.18,16.120001,16.75,179584500,16.75
"61",16.700001,17.459999,16.280001,17.299999,53741600,17.299999
