"","stock_data$CELG.Open","stock_data$CELG.High","stock_data$CELG.Low","stock_data$CELG.Close","stock_data$CELG.Volume","stock_data$CELG.Adjusted"
"1",51.880001,56.740002,49.540001,50.82,124557400,25.41
"2",50.290001,55.490002,48.02,55.150002,164069000,27.575001
"3",55.900002,58.009998,49.5,51.470001,145069400,25.735001
"4",52.200001,59,51.799999,57.610001,114732800,28.805
"5",58.209999,62.740002,56.599998,62.029999,133405600,31.014999
"6",61.5,63.459999,58.779999,59.380001,108657600,29.690001
"7",60.150002,60.669998,54.240002,59.139999,170197000,29.57
"8",59.740002,60.900002,50.950001,51.529999,165650200,25.764999
"9",51.990002,54.869999,48.919998,53.099998,247061000,26.549999
"10",53.209999,57.740002,51.41,57.580002,166534600,28.790001
"11",57.73,59.740002,54.830002,58.880001,124471600,29.440001
"12",59.25,61.700001,56.43,60.91,123488400,30.455
"13",60.849998,60.990002,57.34,60.32,106941400,30.16
"14",60.75,62.490002,58.639999,59.299999,108424000,29.65
"15",59.84,60.419998,51.700001,59.470001,207782800,29.735001
"16",59.849998,65.860001,56.790001,61.91,182918800,30.955
"17",61.599998,68.25,59.32,64.830002,151788000,32.415001
"18",63.189999,65.82,60,63.080002,134598800,31.540001
"19",63.169998,68.160004,60.889999,67.599998,135696800,33.799999
"20",68.510002,75.110001,66.279999,72.690002,154449800,36.345001
"21",72.720001,76.089996,71.510002,73.32,116186200,36.66
"22",73.559998,78.830002,71.300003,77.519997,110704000,38.759998
"23",77.57,80.419998,72.330002,72.93,132506000,36.465
"24",72.980003,73.309998,67.57,68.25,140163600,34.125
"25",67.440002,69.68,58.529999,64.160004,210418600,32.080002
"26",64.669998,71.419998,61.889999,68.459999,131286200,34.23
"27",69.290001,72.529999,66.870003,72.040001,119867000,36.02
"28",71.389999,78.629997,70.660004,76.400002,94544600,38.200001
"29",76.970001,81.239998,73.199997,73.349998,102800400,36.674999
"30",74.029999,79.809998,71.230003,78.589996,119899600,39.294998
"31",78.75,82.779999,77.220001,78.470001,118817800,39.235001
"32",80.120003,100.120003,79.75,98.959999,197672600,49.48
"33",99.940002,105.139999,96.779999,103.269997,127649200,51.634998
"34",103.25,116.949997,102.5,115.910004,127276600,57.955002
"35",116.510002,128.520004,114.519997,118.07,141760000,59.035
"36",117.919998,131.820007,114.050003,123.650002,136941200,61.825001
"37",124.120003,124.720001,110.529999,116.980003,122555200,58.490002
"38",119.300003,148.979996,118.150002,146.860001,121100800,73.43
"39",148.179993,149.919998,131.520004,139.979996,95576600,69.989998
"40",141.770004,156.039993,141.419998,154.139999,110978600,77.07
"41",154.699997,161.639999,143.130005,148.490005,129970200,74.245003
"42",149.270004,165.740005,142.100006,161.770004,115882400,80.885002
"43",161.869995,173.800003,157.179993,168.970001,100747800,84.485001
"44",169.009995,174.660004,147.830002,151.929993,149068400,75.964996
"45",151.809998,167.259995,147.770004,160.75,120668600,80.375
"46",159.050003,165.210007,139.009995,139.600006,172668000,69.800003
"47",142,149.690002,133.699997,147.009995,174663200,73.504997
"48",147.25,155.880005,142.630005,153.029999,104454200,76.514999
"49",152.570007,174.740005,84.57,85.879997,100603100,85.879997
"50",86.449997,90.5,82.900002,87.150002,107957000,87.150002
"51",86.610001,96.150002,84.849998,95.019997,80337800,95.019997
"52",95.5,96.5,88.220001,94.779999,89705600,94.779999
"53",95.239998,109.25,83.160004,107.089996,142804800,107.089996
"54",106.529999,114.5,102.129997,113.690002,76285900,113.690002
"55",113.709999,119.839996,103.690002,111.860001,128633000,111.860001
"56",112.879997,124.599998,109.459999,119.160004,110672300,119.160004
"57",119.57,125.449997,112.779999,121.529999,101488300,121.529999
"58",122.589996,129.059998,114.019997,115.279999,128506100,115.279999
"59",114.879997,120.720001,107.019997,108.059998,118651600,108.059998
"60",108.059998,117.720001,106.449997,114.440002,85753100,114.440002
"61",115.010002,116.019997,109.040001,112.059998,34954400,112.059998
