"","stock_data$EBAY.Open","stock_data$EBAY.High","stock_data$EBAY.Low","stock_data$EBAY.Close","stock_data$EBAY.Volume","stock_data$EBAY.Adjusted"
"1",21.950001,22.92,19.540001,19.610001,246992300,19.610001
"2",19.6,21.540001,19.059999,20.91,317836200,20.91
"3",21.280001,23.610001,20.700001,23.23,354786200,23.23
"4",23.219999,25.16,23.219999,24.4,298921300,24.4
"5",24.6,29.9,23.93,29.860001,332694400,29.860001
"6",29.459999,31.639999,28.790001,29.139999,306710600,29.139999
"7",29.620001,30.82,27.690001,27.83,228662800,27.83
"8",28.209999,31.200001,27.219999,30.360001,256125900,30.360001
"9",30.6,35.349998,30.52,33.509998,221911100,33.509998
"10",33.73,33.73,29.610001,31.040001,247277500,31.040001
"11",31.440001,34.650002,30.190001,34.389999,189745600,34.389999
"12",33.709999,34.380001,30.33,31.17,189706500,31.17
"13",31.120001,32.82,28.16,32.27,351931500,32.27
"14",32.259998,34.990002,31.92,32.75,260374800,32.75
"15",33.119999,33.360001,26.860001,30.870001,348647900,30.870001
"16",30.77,33.900002,28.280001,29.49,320763000,29.49
"17",29.18,34.43,27.41,31.83,286953800,31.83
"18",30.780001,33.099998,28.15,29.59,216684100,29.59
"19",29.530001,31.77,29.08,30.33,189066500,30.33
"20",30.83,32.450001,29.549999,31.6,252240400,31.6
"21",31.9,36.799999,31.75,35.740002,206388300,35.740002
"22",35.869999,38.18,34.830002,36.900002,221180600,36.900002
"23",36.68,41.959999,35.310001,41.02,280773500,41.02
"24",40.689999,41.66,38.220001,39.189999,287452200,39.189999
"25",38.34,43.939999,38,42.009998,288960100,42.009998
"26",42.209999,46.150002,38.060001,44.299999,270007300,44.299999
"27",44.700001,48.080002,43.259998,47.470001,222123100,47.470001
"28",47.470001,50.650002,46.360001,48.369999,198220100,48.369999
"29",48.57,50.939999,46.119999,48.259998,256040500,48.259998
"30",48.439999,53,45.66,52.82,193488500,52.82
"31",53.07,53.150002,49.200001,51,174158000,51
"32",52.400002,56.66,51.880001,55.970001,232837400,55.970001
"33",56.41,57.27,53.119999,54.709999,148438900,54.709999
"34",54.59,56,49.549999,54.220001,278613500,54.220001
"35",55.639999,58.040001,51.16,52.389999,247028600,52.389999
"36",52.380001,57.110001,51.919998,54.099998,199602200,54.099998
"37",53.860001,53.889999,50.09,51.720001,215440000,51.720001
"38",52.200001,57.5,50.919998,51.689999,245657200,51.689999
"39",52.139999,54.52,49.619999,49.990002,183268400,49.990002
"40",50.580002,56.900002,50.080002,55.799999,173383700,55.799999
"41",55.650002,56.25,50.23,52.709999,263057200,52.709999
"42",52.939999,53.849998,48.060001,50.52,292724900,50.52
"43",52.209999,55.32,50.509998,54.869999,232586500,54.869999
"44",54.970001,55.900002,51.110001,53.200001,393629700,53.200001
"45",53.139999,59.700001,52.040001,58.77,247345400,58.77
"46",57.880001,59.650002,54.23,55.240002,191799300,55.240002
"47",55.59,56.25,50.880001,51.830002,264216000,51.830002
"48",52.02,52.75,49.77,50.73,278267200,50.73
"49",50.68,50.939999,48.139999,50.060001,268230400,50.060001
"50",50.189999,53.580002,49.740002,52.830002,244775200,52.830002
"51",52.779999,57.049999,52.139999,55.5,246201400,55.5
"52",55.48,57.299999,50.040001,56.630001,367738000,56.630001
"53",55.150002,56.080002,46.34,52.5,284531800,52.5
"54",52.32,55.66,52.290001,54.880001,123144500,54.880001
"55",54.759998,57.939999,54.419998,56.119999,199029400,56.119999
"56",56.380001,57.279999,52.759998,53,204997600,53
"57",53.110001,58.860001,52.540001,57.91,137845100,57.91
"58",57.549999,60.93,56.689999,57.68,210268000,57.68
"59",57.330002,60.139999,55.400002,58.259998,150442100,58.259998
"60",58.259998,61.639999,56.93,61.360001,120278800,61.360001
"61",61.549999,63.299999,59.740002,60.470001,75872500,60.470001
