"","stock_data$AMZN.Open","stock_data$AMZN.High","stock_data$AMZN.Low","stock_data$AMZN.Close","stock_data$AMZN.Volume","stock_data$AMZN.Adjusted"
"1",120,127.980003,106.010002,109.260002,88759700,109.260002
"2",108.900002,124.879997,105.800003,117.889999,175326200,117.889999
"3",119.150002,130.809998,117.57,124.830002,113419800,124.830002
"4",126.360001,161.779999,126.169998,157.059998,134321000,157.059998
"5",157.080002,171.990005,151.399994,165.229996,142883500,165.229996
"6",164.449997,181.839996,156.770004,175.399994,131011400,175.399994
"7",179.160004,185.649994,173.089996,180,93661700,180
"8",181.369995,191.600006,166.899994,169.639999,113611300,169.639999
"9",170.520004,191.399994,169.509995,173.289993,95776400,173.289993
"10",173.529999,181.570007,160.589996,180.130005,118979100,180.130005
"11",181.580002,197.800003,175.369995,195.809998,116749400,195.809998
"12",196.570007,206.389999,190.880005,196.690002,106274500,196.690002
"13",196.059998,206.25,181.589996,204.490005,95563700,204.490005
"14",205.550003,227.199997,203.610001,222.520004,92808500,222.520004
"15",225,227.449997,177.100006,215.229996,155194700,215.229996
"16",215.279999,244,204.470001,216.229996,143623300,216.229996
"17",217.009995,246.710007,196.509995,213.509995,159214400,213.509995
"18",208.110001,222.350006,181.509995,192.289993,136588100,192.289993
"19",191.850006,199.660004,166.970001,173.100006,125595200,173.100006
"20",175.889999,196.5,173.5,194.440002,110536900,194.440002
"21",173.809998,193.570007,172,179.690002,146580400,179.690002
"22",179.889999,209.850006,176.580002,202.509995,112975100,202.509995
"23",198.020004,233.839996,183.649994,231.899994,110535400,231.899994
"24",229.399994,232.970001,207.110001,212.910004,92774300,212.910004
"25",208.440002,228.350006,206.369995,228.350006,65745600,228.350006
"26",229.300003,240.740005,212.610001,233.300003,77340200,233.300003
"27",234.139999,250,228.660004,248.270004,60192400,248.270004
"28",248.270004,264.109985,244.660004,254.320007,63570500,254.320007
"29",255.399994,261.899994,222.919998,232.889999,81568500,232.889999
"30",234.229996,252.649994,218.179993,252.050003,67213600,252.050003
"31",252.539993,263.109985,242.75,250.869995,60871200,250.869995
"32",256.079987,284.720001,253.259995,265.5,84226400,265.5
"33",268.929993,274.299988,255.110001,264.269989,68661700,264.269989
"34",263.269989,277.399994,252.070007,266.48999,58505700,266.48999
"35",266.980011,275.799988,248.559998,253.809998,76916200,253.809998
"36",253.899994,271.910004,245.75,269.200012,59050500,269.200012
"37",268.959991,283.339996,262.950012,277.690002,58575800,277.690002
"38",279,313.619995,277.160004,301.220001,67536900,301.220001
"39",303.079987,306.209991,279.329987,280.980011,43773900,280.980011
"40",284.730011,320.570007,284.170013,312.640015,43468800,312.640015
"41",314.220001,368.399994,296.5,364.029999,77295400,364.029999
"42",365.630005,394.100006,341.880005,393.619995,54207700,393.619995
"43",399,405.630005,379.5,398.790009,55686700,398.790009
"44",398.799988,408.059998,357.76001,358.690002,81011900,358.690002
"45",358.980011,365.869995,337.730011,362.100006,83009000,362.100006
"46",358.73999,383.109985,330.880005,336.369995,75253500,336.369995
"47",338.089996,348.299988,288,304.130005,138278700,304.130005
"48",304.130005,314.869995,284.380005,312.549988,78579200,312.549988
"49",312.589996,340.720001,303.839996,324.779999,76580100,324.779999
"50",325.859985,364.850006,311.859985,312.98999,99426000,312.98999
"51",313.690002,346.670013,304.589996,339.040009,62037700,339.040009
"52",339.980011,349.380005,317.640015,322.440002,68032800,322.440002
"53",322.040009,325.160004,284,305.459991,111051700,305.459991
"54",306.23999,341.26001,292.290009,338.640015,68972500,338.640015
"55",338.119995,340.640015,293.029999,310.350006,86808300,310.350006
"56",312.579987,359.5,285.25,354.529999,103039700,354.529999
"57",350.049988,389.369995,350.01001,380.160004,70825100,380.160004
"58",380.850006,388.420013,365.649994,372.100006,55502800,372.100006
"59",372.100006,452.649994,368.339996,421.779999,84404800,421.779999
"60",423.820007,439,414.549988,429.230011,51578700,429.230011
"61",430.399994,438.390015,419.140015,430.769989,17650500,430.769989
