"","stock_data$TWX.Open","stock_data$TWX.High","stock_data$TWX.Low","stock_data$TWX.Close","stock_data$TWX.Volume","stock_data$TWX.Adjusted"
"1",31.029999,33.479995,28.809996,28.909999,129853800,24.73671
"2",28.869999,32.189994,27.99,31.459999,153280400,26.918606
"3",31.859998,33.23,29.209997,29.980003,131998800,25.836244
"4",30.330002,32.249997,30.290002,30.650005,140029400,26.41364
"5",30.979999,32.669992,30.049997,32.509997,184604800,28.016549
"6",32.57,32.900006,29.419995,29.490001,191159400,25.593469
"7",29.900005,32.400001,29.890002,32.169999,135240600,27.919358
"8",32.289997,34.040006,31.440004,31.449996,175380900,27.294489
"9",31.690001,38.340001,31.650001,38.199998,206698000,33.361619
"10",38.290001,38.340001,34.539997,35.700003,206389500,31.178271
"11",35.740001,38.109999,34.839997,37.860003,142470000,33.064688
"12",38.030003,38.619996,35.090004,36.429996,148019200,32.025911
"13",36.27,36.49,34.229998,36.369993,179761700,31.973162
"14",36.400001,37.259995,34.650004,35.159998,134108400,30.909445
"15",35.379998,35.450004,27.619996,31.660003,308616500,28.052906
"16",31.669996,32.369994,28.26,29.97,216441000,26.555449
"17",29.860004,35.999999,28.429999,34.989999,168585200,31.003507
"18",33.97,35.379998,32.090001,34.820004,165175100,31.078571
"19",34.650004,36.689994,33.410002,36.140003,146527600,32.256735
"20",36.649996,38.449997,36.05,37.06,124287700,33.077878
"21",37.380002,39.240006,36.829998,37.209994,135626200,33.442454
"22",37.330001,38.16,35.329997,37.749995,213616100,33.92778
"23",37.749995,38.21,35.239998,37.470004,121671900,33.676138
"24",37.5,38.16,33.959997,34.470003,132743000,31.213767
"25",34.210005,38.499998,33.619999,38.499998,156833500,34.863066
"26",38.51,39.490001,36.949996,39.119999,150902900,35.424498
"27",38.989998,43.050001,37.959997,41.55,203553600,37.861981
"28",41.489997,46.56,41.030004,45.340002,145719600,41.315579
"29",45.430001,46.589996,42.939997,43.469996,119649600,39.611556
"30",43.670002,47.400001,42.610001,47.299996,148880300,43.343431
"31",47.370002,48.539999,45.880003,47.829998,132711600,43.8291
"32",48.709998,51.290005,48.550001,50.519997,113582900,46.294085
"33",50.769997,53.899995,49.899996,53.170002,131293200,48.994722
"34",53.040001,58.020001,52.659997,57.620004,152979800,53.095278
"35",57.649999,60.719995,57.170002,59.780004,159602100,55.08566
"36",59.500001,61.729995,58.230003,58.370002,121367000,54.04365
"37",58.320001,59.179996,55.709999,57.819999,103569200,53.534412
"38",58.119995,63.049994,58.119995,62.259998,93573600,57.645321
"39",63.040004,66.009998,60.069998,60.529995,92320100,56.306265
"40",61.379994,66.379992,60.880003,65.809991,89282200,61.217828
"41",65.829996,70.690002,64.199998,68.739995,97475700,63.943379
"42",68.940006,70.769998,65.019994,65.710002,94078100,61.389246
"43",65.659997,70.099996,64.729997,69.720004,86732500,65.135571
"44",69.470004,69.559995,62.080004,62.829994,133238900,58.698614
"45",62.829994,67.629993,60.719995,67.129994,121369200,63.025253
"46",66.719998,69.330001,63.269994,65.330005,112086500,61.335327
"47",65.710002,68.890001,62.439995,66.46,134419600,62.396227
"48",67.160002,71.400006,65.639996,69.829999,113836700,65.862783
"49",70.050007,71.620006,67.599998,70.25,117159500,69.108055
"50",68.879997,88.129997,68.800003,83.019997,238625800,81.67047
"51",83,87.269997,71.580002,77.029999,155443300,76.092175
"52",76.830002,78.309998,74.830002,75.209999,98476800,74.294334
"53",75.150002,80.830002,67.779999,79.470001,147368900,78.502471
"54",79.57,85.440002,74.970001,85.120003,95905700,84.413339
"55",84.93,87.440002,80.489998,85.419998,78696900,84.710844
"56",85.980003,86.720001,77.68,77.93,100043100,77.283028
"57",77.93,84.739998,76.940002,81.860001,90435700,81.521616
"58",81.650002,88.25,81.629997,84.440002,86058400,84.090953
"59",83.809998,86.440002,82.169998,84.410004,82558800,84.061078
"60",84.82,86.25,82.209999,84.480003,61379100,84.480003
"61",84.57,86.440002,83.830002,85.629997,27419500,85.629997
