"","stock_data$AVP.Open","stock_data$AVP.High","stock_data$AVP.Low","stock_data$AVP.Close","stock_data$AVP.Volume","stock_data$AVP.Adjusted"
"1",27.75,29.5,26.450001,26.5,59795900,23.017261
"2",26.41,31.49,26.18,31.129999,79826900,27.038766
"3",31.450001,31.92,28.700001,29.1,63004300,25.464245
"4",29.52,32.919998,29.26,32.110001,56441200,28.098176
"5",32.119999,36.200001,29.01,30.450001,132897500,26.645577
"6",30.450001,30.450001,28.370001,28.559999,100562400,25.179814
"7",28.93,29.84,28.559999,29.059999,60364000,25.620637
"8",29.290001,30.280001,28.059999,28.309999,67296300,24.959402
"9",28.370001,29.73,27.32,27.809999,110529100,24.711836
"10",27.93,27.940001,26.120001,27.040001,69572800,24.027619
"11",27.09,29.629999,27.07,29.379999,57390300,26.10693
"12",29.879999,31.6,28.5,29.709999,83924100,26.602366
"13",29.709999,29.709999,27.01,28,60050300,25.071231
"14",27.9,28.959999,26,26.23,60607300,23.486371
"15",26.389999,26.4,20.25,22.559999,126710100,20.429684
"16",22.49,22.76,19.5,19.6,85022500,17.749194
"17",19.360001,23.940001,18.030001,18.280001,127134900,16.55384
"18",17.66,19.040001,16.09,17,147932000,15.587457
"19",16.98,17.93,16.129999,17.469999,114818400,16.018403
"20",17.790001,18.67,17.200001,17.77,106005000,16.293477
"21",17.85,19.83,16.870001,18.690001,167330700,17.34525
"22",18.719999,19.42,18.09,19.360001,71791900,17.967044
"23",23.16,23.58,21.450001,21.6,225434400,20.045875
"24",20.84,22.709999,16.07,16.549999,281883000,15.529633
"25",16.280001,16.5,14.89,16.209999,104206200,15.210595
"26",16.17,16.98,15.01,15.49,173830900,14.534986
"27",15,16.610001,14.45,15.45,140730600,14.705205
"28",15.46,16.889999,15.07,15.95,89446100,15.181101
"29",15.97,17.559999,15.21,15.49,106083900,14.743276
"30",14.95,16.08,13.7,13.95,129899000,13.33342
"31",14.01,14.81,13.77,14.36,94417300,13.725298
"32",14.6,17.15,14.57,16.98,145439500,16.229496
"33",17.129999,21.42,16.59,19.549999,140721000,18.740997
"34",19.43,20.879999,19.23,20.73,59803300,19.872168
"35",20.68,24.299999,19.91,23.16,100118800,22.201612
"36",23.15,24.530001,22.52,23.57,70969000,22.653029
"37",23.57,23.91,19.950001,21.030001,88728200,20.211847
"38",21.059999,23.450001,20.74,22.860001,62470900,21.970652
"39",23.49,24.709999,19.559999,19.77,77797700,19.052922
"40",19.98,21.940001,19.370001,20.6,46869800,19.852817
"41",20.57,22.860001,17.02,17.5,95090400,16.865257
"42",17.559999,18.389999,17.01,17.83,110691100,17.24323
"43",17.860001,18.09,16.52,17.219999,61327900,16.653304
"44",17.23,17.25,14.62,14.89,92437500,14.399983
"45",14.77,15.67,14.24,15.47,91456300,15.019185
"46",15.3,15.37,14.27,14.64,71009400,14.213372
"47",14.69,15.8,14.11,15.28,105823900,14.834721
"48",14.1,14.45,13.22,14.29,108666100,13.934553
"49",14.38,15.1,14.08,14.61,68295200,14.246594
"50",14.65,14.76,12.8,13.2,96306300,12.871666
"51",13.14,14.26,13.08,14.04,69317400,13.75047
"52",14.08,14.1,12.45,12.6,86188200,12.340166
"53",12.58,12.6,9.76,10.4,213663400,10.185533
"54",10.39,10.78,9.32,9.78,168009900,9.632948
"55",9.71,10.2,8.95,9.39,218049800,9.248813
"56",9.46,9.54,7.25,7.74,286615800,7.623622
"57",7.75,9.19,7.75,8.51,197250500,8.437677
"58",8.56,9.26,7.1,7.99,366484900,7.922096
"59",8.03,9.47,7.79,8.17,253446300,8.100566
"60",8.17,8.32,6.55,6.72,324406900,6.72
"61",6.74,6.94,6.34,6.8,75949300,6.8
