"","stock_data$BXP.Open","stock_data$BXP.High","stock_data$BXP.Low","stock_data$BXP.Close","stock_data$BXP.Volume","stock_data$BXP.Adjusted"
"1",75.800003,81.800003,71.07,71.339996,24716900,60.341438
"2",71.559998,82.559998,68.470001,81.900002,30852100,69.273397
"3",83.760002,86.080002,79.209999,81.400002,28140000,68.850483
"4",82.800003,89.260002,82.190002,83.120003,26438600,70.721167
"5",83.900002,91.449997,82.709999,86.190002,23355100,73.333221
"6",86.589996,90.510002,81.019997,83.800003,21378300,71.299733
"7",85.099998,87.330002,81.110001,86.099998,18525500,73.68063
"8",86.860001,94.940002,83.900002,94.370003,26318400,80.75774
"9",94.919998,96.589996,92.059998,95.919998,20604300,82.084158
"10",96.099998,96.150002,89.82,94.849998,24953200,81.606301
"11",95.529999,104.580002,93.290001,104.529999,18805200,89.934704
"12",105.190002,108.349998,102.360001,108.349998,20408400,93.221325
"13",107.68,108.199997,100,106.160004,28142700,91.778954
"14",106,112.839996,105.269997,107.360001,19073300,92.816392
"15",108.769997,108.980003,89.019997,104.290001,42957300,90.162272
"16",104.32,104.720001,89.019997,89.099998,32778500,77.445659
"17",88.349998,100.080002,81.519997,98.989998,35064200,86.04204
"18",96.739998,100.639999,88.400002,95.379997,22396500,82.90423
"19",94.940002,102.32,91.849998,99.599998,17187100,87.043496
"20",101.739998,104.690002,96.730003,104.050003,20605400,90.932491
"21",104.239998,107.870003,100.980003,101.550003,18261600,88.747665
"22",101.529999,106.360001,101.260002,104.989998,20982100,92.24114
"23",104.989998,108.300003,98.919998,108.25,18886200,95.105282
"24",108.349998,110.169998,100.470001,102.93,21813800,90.431286
"25",101.199997,108.370003,99.330002,108.370003,18869300,95.716422
"26",109.230003,112.089996,107.519997,110.900002,14286800,97.951012
"27",111.209999,113.830002,109.839996,112.129997,15471100,99.03739
"28",112.099998,117,110.220001,110.610001,15561600,98.182151
"29",110.669998,111.559998,105.410004,106.300003,14636500,94.356413
"30",106.449997,108,99.230003,102.629997,18926300,91.09876
"31",102.970001,106.870003,101.959999,105.809998,15976600,94.503049
"32",106.760002,109.650002,105.129997,105.279999,16381600,94.029686
"33",105.610001,107.839996,103,103.879997,18661800,92.77929
"34",103.57,105.900002,99.849998,101.059998,21737700,90.845925
"35",100.860001,110.900002,100,109.43,27284100,98.369977
"36",108.879997,115.849998,106.550003,106.580002,25808900,95.808026
"37",106.879997,113.190002,99.589996,105.470001,25257000,95.414333
"38",106.269997,111.82,103.150002,106.949997,18057300,96.753223
"39",106.919998,107.459999,98.209999,102.5,19596000,92.727496
"40",103.099998,112.93,100.790001,106.900002,18206400,97.302924
"41",107.059998,109.830002,102.879997,103.5,21306100,94.208161
"42",103.959999,104.989998,98.709999,99.489998,15039900,90.558162
"43",99.849998,105.220001,98.040001,100.370003,19229300,93.979758
"44",100.220001,108.629997,99.550003,108.089996,18354700,101.208243
"45",107.93,112.959999,105.82,112.43,14227400,105.271933
"46",111.980003,115.199997,109.940002,114.529999,16497900,107.862318
"47",114.580002,118.980003,113.82,117.139999,17603700,110.320371
"48",117.330002,121.050003,116.470001,120.68,14545200,113.654281
"49",120.470001,122.400002,113.620003,118.18,17390000,111.914639
"50",118.349998,122,116.970001,119.449997,13471500,113.117306
"51",119.519997,124.040001,117.760002,121.419998,10433000,114.982867
"52",121.269997,123.330002,112.75,115.760002,15984100,110.253459
"53",115.440002,126.919998,115.059998,126.75,22203900,120.720678
"54",127.07,131.149994,126.040001,129.639999,17529300,123.473204
"55",129.479996,137.149994,128.350006,128.690002,18900200,127.418767
"56",129.339996,146.070007,129.289993,138.800003,16768300,137.428898
"57",139.449997,143.929993,135.570007,137.410004,16134100,136.052629
"58",137.740005,145.899994,133.639999,140.479996,18065400,139.739188
"59",140.479996,143.089996,131.470001,132.309998,13226800,131.612274
"60",132.899994,135.490005,128.380005,130.029999,14742200,129.344298
"61",130.080002,131.860001,123.389999,126.220001,6008500,125.554392
