"","stock_data$AXP.Open","stock_data$AXP.High","stock_data$AXP.Low","stock_data$AXP.Close","stock_data$AXP.Volume","stock_data$AXP.Adjusted"
"1",38.700001,43.139999,38.669998,39.700001,161663500,37.090014
"2",39.549999,45.68,38.419998,44.639999,195904500,41.705244
"3",45.009998,45.200001,39.139999,39.869999,180947900,37.248836
"4",40.549999,43.93,39.759998,42.029999,213981000,39.266832
"5",42.369999,42.560001,37.330002,41.459999,383508900,38.917303
"6",41.490002,44.27,41.349998,43.220001,185665800,40.569367
"7",43.84,46.779999,41.25,42.919998,203583700,40.287762
"8",43.299999,46.709999,43.110001,43.380001,181823600,40.887008
"9",43.540001,46.93,43.009998,43.57,162975100,41.066088
"10",43.700001,46.290001,42.189999,45.200001,161901000,42.602415
"11",45.700001,49.150002,45.099998,49.080002,132384700,46.443494
"12",49.369999,51.970001,49.169998,51.599998,150391500,48.828121
"13",51.310001,51.82,46.919998,51.700001,155151400,49.10015
"14",51.689999,53.799999,49.540001,50.040001,122374900,47.523627
"15",50.490002,50.610001,42.029999,49.709999,253292100,47.21022
"16",49.639999,50.529999,44.869999,44.900002,180539400,42.642104
"17",44.52,52.349998,41.299999,50.619999,216452700,48.274537
"18",49.580002,51.82,44.700001,48.040001,144928800,45.814083
"19",47.700001,49.389999,45.889999,47.169998,125137900,44.984391
"20",48.299999,51,47.400002,50.139999,127316500,47.99531
"21",50.369999,54.450001,50.27,52.889999,120114000,50.627681
"22",53.029999,59.259998,51.540001,57.860001,139018900,55.385096
"23",57.900002,60.959999,56.139999,60.209999,130045000,57.833969
"24",59.950001,61.419998,54.799999,55.830002,130999300,53.626817
"25",54.619999,58.209999,53.18,58.209999,115585100,55.912894
"26",58.509998,59.73,54.349998,57.709999,115339800,55.621011
"27",57.52,58.439999,55.369999,58.299999,99516100,56.189655
"28",58.310001,59.369999,56.049999,56.860001,102389100,54.801781
"29",57.18,59.400002,54.950001,55.970001,110170500,54.13334
"30",56.150002,57.48,53.02,55.900002,112897900,54.065637
"31",56.09,58.349998,55.470001,57.48,103366200,55.593788
"32",58.330002,61.970001,58.310001,58.810001,122718400,57.078751
"33",59.330002,63,59.209999,62.150002,107254600,60.320429
"34",61.84,67.480003,61.509998,67.459999,101367800,65.47411
"35",67.419998,69.050003,63.43,68.410004,121827000,66.59305
"36",68.25,77.389999,68.160004,75.709999,121571700,73.699159
"37",75.889999,78.610001,71.68,74.760002,121769400,72.774394
"38",75.529999,78.629997,73.470001,73.769997,126314000,72.029708
"39",74.529999,77.269997,71.470001,71.910004,69917600,70.213593
"40",72.589996,77.900002,72.139999,75.519997,74592300,73.738424
"41",75.639999,83.830002,72.080002,81.800003,102592600,80.112952
"42",82.120003,86.190002,80.220001,85.800003,62754400,84.030455
"43",86.019997,90.790001,83.209999,90.730003,67589400,88.858779
"44",90.900002,93.620003,84.910004,85.019997,104874000,83.481401
"45",84.989998,92.139999,82.629997,91.279999,76173800,89.628117
"46",90.599998,94.349998,89.160004,90.029999,71488400,88.400738
"47",90.400002,91.400002,83.989998,87.43,84786400,86.064912
"48",87.529999,91.68,85.75,91.5,65091900,90.071365
"49",91.790001,96.040001,91.269997,94.870003,60522000,93.38875
"50",95.419998,96.239998,87.989998,88,68452900,86.864832
"51",87.410004,90.220001,85.75,89.550003,83077800,88.39484
"52",89.900002,90.68,86.760002,87.540001,85341400,86.410767
"53",86.900002,90.599998,78.410004,89.949997,120822100,89.05417
"54",90.32,92.589996,89.650002,92.419998,62026200,91.499573
"55",92.07,94.889999,88.190002,93.040001,81715600,92.113401
"56",93.169998,93.940002,80.559998,80.690002,122783500,80.121438
"57",80.959999,86.18,77.120003,81.589996,211894500,81.01509
"58",81.589996,83.540001,77.620003,78.120003,154668200,77.828811
"59",78.050003,81.169998,76.529999,77.449997,133853700,77.161302
"60",77.849998,81.599998,77.309998,79.720001,103420200,79.422845
"61",79.940002,81.269997,78.800003,80.190002,39746000,79.891095
