"","stock_data$AIG.Open","stock_data$AIG.High","stock_data$AIG.Low","stock_data$AIG.Close","stock_data$AIG.Volume","stock_data$AIG.Adjusted"
"1",34.740002,39.709999,34.200001,34.439999,67665400,28.067271
"2",34.41,40.110001,32.5,38.470001,88341700,31.351567
"3",39.099998,42.189999,33.349998,33.93,90486200,27.651642
"4",34.689999,40.139999,34.389999,39.099998,85775400,31.864991
"5",38.990002,43.57,38.299999,42.009998,86575700,34.236528
"6",41.939999,45.950001,40.599998,41.290001,72694000,33.649758
"7",41.759998,61.68,41.650002,57.619999,175933200,46.958077
"8",58.34,62.869999,40.200001,40.349998,200757700,39.643809
"9",40.73,43.200001,37.060001,37.060001,119103300,36.411392
"10",37.34,38.439999,34.950001,35.139999,99879300,34.524993
"11",35.200001,35.57,31.110001,31.15,84028200,30.604825
"12",31.389999,31.799999,27.5,28.5,429335700,28.001205
"13",28.370001,29.48,27.1,29.32,314760900,28.806853
"14",29.25,30.34,27.049999,28.700001,130194900,28.197705
"15",29.08,29.190001,21.459999,25.33,232266700,24.886685
"16",25.200001,25.620001,21.190001,21.950001,132830900,21.565841
"17",21.719999,27.16,19.18,24.690001,166786500,24.257886
"18",23.43,24.780001,19.959999,23.309999,130811100,22.902037
"19",23.15,24.58,22.190001,23.200001,105934900,22.793964
"20",23.77,25.9,23.4,25.110001,89599800,24.670536
"21",25.66,30.09,25.360001,29.219999,127467700,28.708603
"22",29.389999,31.299999,27.6,30.83,367554300,30.290426
"23",30.85,34.91,30.370001,34.029999,267245400,33.43442
"24",34.25,35.049999,27.889999,29.18,523586400,28.669304
"25",28.16,32.349998,27.18,32.09,269796500,31.528374
"26",32.380001,32.619999,29.9,31.27,159655600,30.722726
"27",31.360001,35,30.27,34.330002,329142200,33.729172
"28",34.369999,35.419998,32.099998,32.790001,868507600,32.216124
"29",33.02,37.669998,32.990002,34.93,401250000,34.31867
"30",35.150002,35.560001,30.639999,33.130001,417104400,32.550173
"31",33.34,35.82,33.080002,35.299999,730436800,34.682193
"32",36.290001,38.049999,34.560001,37.830002,375715700,37.167917
"33",38.189999,39.900002,36.68,38.009998,389249700,37.344763
"34",37.459999,39.790001,37.150002,38.82,284671500,38.140588
"35",38.799999,42.66,36.900002,41.419998,378634600,40.695082
"36",42,46.459999,41.119999,44.459999,382899100,43.681878
"37",44.68,46.450001,41.529999,44.700001,372093400,43.91768
"38",44.82,47.68,44.169998,45.509998,229156700,44.713501
"39",46.02,49.5,45.939999,46.459999,243053000,45.646875
"40",47.099998,50.990002,47.040001,48.630001,180145300,47.876227
"41",48.52,53.330002,47.18,51.650002,181848000,50.849417
"42",48.669998,50.400002,47.110001,49.75,255719900,48.978866
"43",49.77,51.470001,48.029999,51.049999,186802600,50.360022
"44",50.810001,52.470001,46.810001,47.959999,197538800,47.311786
"45",48,50.43,46.799999,49.77,214279500,49.097324
"46",49.130001,51.860001,48.27,50.009998,184752500,49.454676
"47",50.32,53.200001,48.950001,53.130001,175759000,52.540034
"48",53.02,54.310001,50.189999,54.07,173192500,53.469594
"49",54.16,56,53.669998,54.580002,148268300,54.096993
"50",54.990002,55.990002,51.900002,51.98,132611300,51.519999
"51",51.82,56.310001,51.610001,56.060001,170056000,55.563895
"52",56.290001,56.560001,53.509998,54.02,151051000,53.663203
"53",54.040001,54.099998,48.560001,53.57,249574600,53.216175
"54",53.790001,55.189999,52.900002,54.799999,140641800,54.43805
"55",54.560001,56.790001,52.849998,56.009998,155003300,55.768131
"56",56.529999,56.599998,48.68,48.869999,199498400,48.658964
"57",49.029999,55.610001,49.009998,55.330002,189421400,55.09107
"58",55.330002,56.689999,53.919998,54.790001,166629400,54.675204
"59",54.610001,58.73,54.23,56.290001,149895200,56.172061
"60",56.900002,60.700001,56.799999,58.610001,131226600,58.4872
"61",58.91,61.779999,58.330002,61.68,69388500,61.68
