"","stock_data$PM.Open","stock_data$PM.High","stock_data$PM.Low","stock_data$PM.Close","stock_data$PM.Volume","stock_data$PM.Adjusted"
"1",44.59,47.080002,43.09,45.84,169438400,37.388087
"2",45.77,51.549999,45.549999,51.040001,156133600,41.629319
"3",51.470001,53.240002,50.540001,51.360001,154365400,41.890317
"4",51.880001,57.110001,51.880001,56.02,151489800,46.218954
"5",56.040001,59.849998,55.099998,58.509998,146381600,48.273311
"6",58.610001,60.869999,56.75,56.889999,151210900,46.936741
"7",57.369999,60.139999,56.709999,58.529999,131809500,48.814256
"8",58.880001,58.990002,55.849998,57.240002,142677900,47.738393
"9",57.52,63.119999,57.330002,62.779999,112672100,52.358773
"10",63.060001,65.919998,61.349998,65.629997,171779900,55.297887
"11",65.870003,69.790001,64.489998,69.440002,119448500,58.508084
"12",69.809998,71.75,67.839996,71.75,132389600,60.454419
"13",71.699997,71.75,64.68,66.769997,150506200,56.784502
"14",66.660004,72.739998,66.169998,71.169998,124137100,60.526481
"15",71.620003,71.660004,64.230003,69.32,233093800,58.953151
"16",69.419998,70.07,62.32,62.380001,219327000,53.687415
"17",62.240002,72.489998,60.450001,69.870003,174761100,60.133693
"18",68.18,76.400002,67.75,76.239998,132014400,65.616036
"19",76.099998,79.419998,74.389999,78.480003,115149500,68.233398
"20",79.160004,79.959999,72.849998,74.769997,124239100,65.007782
"21",75.190002,84.300003,75.150002,83.519997,105317700,72.615354
"22",83.5,88.860001,82.910004,88.610001,118464900,77.719678
"23",88.860001,90.629997,86.099998,89.510002,113298100,78.509067
"24",89.309998,91.050003,83.779999,84.510002,112116200,74.123576
"25",83.160004,88.93,81.099998,87.260002,122184900,77.226968
"26",87.339996,91.809998,86.830002,91.440002,99888800,80.926358
"27",91.449997,93.599998,88.279999,89.300003,90812000,79.032413
"28",89.440002,92.589996,86.110001,89.940002,134386400,80.340048
"29",90.269997,94.129997,87.400002,88.559998,92848000,79.107341
"30",88.970001,90.839996,82.099998,89.879997,110799000,80.286448
"31",90.010002,90.489998,82.440002,83.639999,106731900,74.821794
"32",84.699997,90.290001,84.330002,88.160004,106238400,78.865252
"33",88.919998,93.610001,86.800003,91.75,94565700,82.076753
"34",91.690002,92.940002,90.040001,92.709999,108999200,83.709022
"35",92.739998,96.599998,90.699997,95.589996,99218600,86.309408
"36",95.32,96.730003,90.889999,90.910004,115908400,82.083784
"37",90.949997,93.169998,86.050003,86.620003,119759300,78.983296
"38",87.110001,91.400002,86.580002,89.18,97688900,81.317596
"39",89.610001,89.900002,82.860001,83.440002,94747300,76.083655
"40",83.830002,91.25,83.160004,86.589996,113585800,79.791636
"41",86.730003,90.660004,84.160004,89.120003,110473000,82.123007
"42",89.360001,91.809998,84.860001,85.540001,102889500,78.824078
"43",85.330002,87.339996,83.809998,87.129997,99812100,81.181557
"44",87,87.199997,77.190002,78.139999,136015900,72.805314
"45",78.089996,81.599998,75.279999,80.910004,117411700,75.386208
"46",80.25,81.949997,78.790001,81.870003,106948700,77.182826
"47",81.739998,85.830002,81.699997,85.43,104308200,80.539009
"48",85.489998,88.800003,84.82,88.540001,80180200,83.470957
"49",88.330002,91.629997,84.050003,84.309998,111587100,80.318016
"50",84.349998,86.849998,82,82.010002,92184600,78.126922
"51",82,85.690002,81.190002,85.580002,63802800,81.527887
"52",85.300003,86.07,82.279999,83.400002,98199400,80.385277
"53",83.25,89.239998,81.900002,89.010002,113236000,85.792489
"54",88.849998,90.25,85.489998,86.93,76964500,83.787674
"55",86.370003,87.68,81.160004,81.449997,101391600,79.462564
"56",81.599998,85.290001,79.860001,80.239998,118534900,78.28209
"57",80.239998,83.860001,80.059998,82.959999,85261700,80.935721
"58",82.959999,83.220001,75.300003,75.330002,132574200,74.423831
"59",75.269997,85.75,75.269997,83.470001,128987000,82.465911
"60",83.470001,86.910004,82.559998,83.07,70039200,82.070722
"61",82.900002,83.519997,79.379997,82.290001,33937300,81.300106
