"","stock_data$COST.Open","stock_data$COST.High","stock_data$COST.Low","stock_data$COST.Close","stock_data$COST.Volume","stock_data$COST.Adjusted"
"1",57.82,59.18,54.689999,54.830002,51603200,46.793851
"2",54.73,57.400002,53.41,56.709999,90675600,48.398307
"3",57.060001,57.610001,54.049999,56.5,75912600,48.394521
"4",56.93,65.220001,56.759998,64.489998,76683600,55.238276
"5",64.919998,65.459999,61.900002,62.77,86190200,53.93867
"6",63.049999,68,62.709999,67.610001,70219900,58.097714
"7",68.209999,73.160004,68.010002,72.209999,69379200,62.050523
"8",72.75,73.699997,70.010002,71.839996,51344400,61.732577
"9",72.220001,75.480003,70.540001,74.790001,41166300,64.444154
"10",75.110001,75.389999,69.540001,73.32,61283600,63.177501
"11",73.160004,81.5,73.139999,80.889999,51728400,69.700328
"12",81.209999,83.949997,79.139999,82.480003,48334900,71.278417
"13",82.339996,82.510002,77.309998,81.239998,51884700,70.206817
"14",81.5,83.449997,77.190002,78.25,36468100,67.622889
"15",79.32,79.349998,70.220001,78.540001,83484600,68.089007
"16",78.980003,86.339996,76.589996,82.129997,58581700,71.201297
"17",81.720001,86.139999,78.410004,83.25,61642600,72.172266
"18",82.370003,85.82,80.300003,85.300003,46929900,74.160969
"19",85,88.68,81.849998,83.32,48945600,72.439527
"20",84.279999,85.080002,78.809998,82.269997,51275200,71.52664
"21",82.919998,87.199997,82.779999,86.059998,44535200,75.034683
"22",86.540001,91.779999,85.690002,90.800003,44799200,79.167437
"23",90.940002,92.099998,86.029999,88.18,43518200,76.883088
"24",86.910004,88,81.980003,86.389999,59100800,75.571657
"25",86,95.110001,85.169998,95,49076200,83.103454
"26",95,97.760002,93.110001,96.18,34993500,84.135687
"27",96.43,99.279999,94.389999,97.870003,31041300,85.860522
"28",97.790001,103.510002,97.07,100.160004,31903500,87.86952
"29",100.629997,104.43,93.839996,98.43,69043500,86.351803
"30",98.589996,104.5,93.510002,103.919998,62802000,91.430892
"31",104.82,105.970001,96.510002,98.730003,64890300,93.009681
"32",100.599998,103.529999,99.699997,102.339996,42633600,96.410514
"33",102.889999,104.349998,98.949997,101.290001,41548000,95.676034
"34",100.82,107.059998,100.260002,106.110001,43804300,100.228887
"35",106,109.75,103.199997,108.43,40330300,102.420301
"36",108.129997,115.769997,107.720001,109.629997,40045500,103.842782
"37",109.919998,112.589996,107.379997,110.57,34143100,104.733163
"38",111.550003,119.389999,110.059998,117.419998,30468900,111.221559
"39",118.07,120.199997,110.190002,111.870003,31715100,106.240141
"40",112.809998,119.470001,111.349998,115.169998,33037000,109.374064
"41",115.110001,118.989998,110.150002,118,42905200,112.061646
"42",118.709999,126.120003,118.550003,125.43,31793400,119.420061
"43",125.660004,125.690002,115.849998,119.019997,43396100,113.317191
"44",118.709999,119.300003,111.129997,112.360001,54683000,106.976307
"45",112.959999,117.470001,109.5,116.800003,41383300,111.504172
"46",116.220001,117.07,111.150002,111.68,54850200,106.616316
"47",112.209999,116.610001,110.360001,115.68,51977100,110.434952
"48",115.68,116.910004,111.610001,116.019997,40532600,111.098681
"49",115.839996,118.849998,114.510002,115.160004,33693000,110.275167
"50",115.540001,119.599998,114.900002,117.540001,39082200,112.89542
"51",117.800003,122.059998,117.110001,121.080002,32837700,116.295538
"52",121,127.779999,120.900002,125.32,39512400,120.367993
"53",125.25,134.5,122.050003,133.369995,56709700,128.099893
"54",133.820007,142.970001,133.369995,142.119995,33457300,136.858641
"55",143.320007,146.820007,136.550003,141.75,46512000,136.502343
"56",141.869995,146.100006,138.220001,142.990005,42032800,137.696443
"57",144,156.850006,140.130005,146.960007,62295800,146.559049
"58",147.320007,154.229996,145.779999,151.5,48746100,151.086656
"59",151.830002,152.949997,142.539993,143.050003,39579200,143.050003
"60",143.460007,147.559998,141.529999,142.589996,40627300,142.589996
"61",143.050003,143.25,137.809998,139.429993,17689200,139.429993
