"","stock_data$PCL.Open","stock_data$PCL.High","stock_data$PCL.Low","stock_data$PCL.Close","stock_data$PCL.Volume","stock_data$PCL.Adjusted"
"1",35.330002,37.849998,34.459999,34.529999,30153400,28.081135
"2",34.360001,38.900002,33.189999,35.880001,39518200,29.179009
"3",36.32,37.09,33.110001,34.470001,32654100,28.366441
"4",34.959999,36.200001,34.049999,35.299999,30285600,29.049472
"5",35.59,37.549999,35.18,36.84,29389000,30.316787
"6",37,39.34,35.580002,36.040001,31775700,29.986246
"7",36.650002,37.959999,35.5,37.450001,30656000,31.159404
"8",37.669998,42.5,37.52,41.869999,32429500,34.83696
"9",40.189999,42.709999,39.799999,41.959999,24036000,35.260049
"10",42.150002,43.720001,40.310001,43.610001,27869800,36.646587
"11",43.810001,44.279999,41.669998,43.09,20662500,36.209617
"12",43.310001,43.490002,39.459999,40.52,22876200,34.396673
"13",40.43,40.91,38.130001,40.540001,24923800,34.413651
"14",40.59,41.599998,38,38.220001,20498000,32.444247
"15",38.689999,38.759998,34,37.970001,52618200,32.602307
"16",38.040001,38.07,34.34,34.709999,35424400,29.80316
"17",34.549999,38.599998,33.02,37.66,38352100,32.336129
"18",36.889999,37.700001,34.220001,36.84,26324500,31.999255
"19",36.799999,37.25,34.5,36.560001,24678300,31.756048
"20",37.07,40.700001,36.34,38.779999,25691500,33.68434
"21",38.98,40.040001,38.099998,39.16,18932000,34.380249
"22",39.169998,41.860001,39.169998,41.560001,17331100,36.487314
"23",41.610001,42.099998,40.310001,42.040001,16297500,36.908726
"24",40.610001,41.189999,36.040001,36.5,25259000,32.400692
"25",35.720001,39.75,35.43,39.700001,17740900,35.241301
"26",39.900002,41.509998,39.169998,40.59,15354000,36.031345
"27",40.73,41.040001,39.77,40.93,14700000,36.712571
"28",40.939999,44.990002,40.509998,43.84,18603600,39.322725
"29",43.459999,44.529999,41.560001,43.900002,21603200,39.376544
"30",43.790001,43.790001,40.599998,42.849998,17084900,38.816807
"31",43.029999,44.830002,41.939999,44.369999,14293300,40.19374
"32",44.939999,49.689999,44.73,48.18,16385700,43.645131
"33",48.34,49.09,47.099998,48.5,12891500,44.319922
"34",48.48,52.279999,48.049999,52.200001,14667400,47.70103
"35",52.07,53.68,49.400002,51.540001,18785300,47.097913
"36",51.220001,54.619999,47.189999,47.700001,20400700,43.953772
"37",48.360001,48.880001,44.009998,46.669998,22696200,43.004663
"38",46.939999,50.060001,45.5,48.779999,13077800,44.94895
"39",49.009998,49.209999,43.73,44.310001,18104100,41.221412
"40",44.75,49.060001,43.150002,46.830002,17930100,43.565758
"41",47.009998,50.080002,44.32,45.400002,34010000,42.235435
"42",45.48,46.27,42.950001,43.740002,26060800,41.1001
"43",43.73,46.990002,43.450001,46.509998,22091400,43.702915
"44",46.360001,46.740002,42.32,43.07,28092600,40.470535
"45",43.09,43.580002,41.630001,43.290001,17787300,41.096317
"46",42.990002,44.060001,40.73,42.040001,24274100,39.90966
"47",42.07,44.080002,40.57,43.599998,16306300,41.390606
"48",43.619999,45.439999,42.43,45.099998,18157800,43.251581
"49",45.110001,45.450001,43.68,45.099998,15115600,43.251581
"50",45.259998,45.310001,41.150002,41.369999,18603600,39.674455
"51",41.349998,41.57,40.240002,40.630001,19735900,39.384274
"52",40.619999,41.630001,38.700001,39.009998,26259100,37.813941
"53",39,41.560001,38.779999,41.009998,28744000,39.752621
"54",40.990002,42.16,40.299999,41.68,24800200,40.838966
"55",41.650002,43.630001,40.959999,42.790001,20660700,41.926568
"56",42.970001,45.189999,42.560001,44.52,18653400,43.621659
"57",44.509998,45.259998,42.549999,43.439999,21233200,42.985346
"58",43.540001,44.139999,41.75,43.450001,21052700,42.995244
"59",43.43,43.860001,41.98,42.200001,17019000,41.758326
"60",42.209999,43.360001,41.16,41.259998,17655000,41.259998
"61",41.279999,41.689999,40.509998,41.110001,9106600,41.110001
