"","stock_data$GS.Open","stock_data$GS.High","stock_data$GS.Low","stock_data$GS.Close","stock_data$GS.Volume","stock_data$GS.Adjusted"
"1",137.600006,140.899994,131.020004,131.270004,157722000,122.998043
"2",131.690002,153.410004,129.5,150.820007,229090000,141.316105
"3",152.820007,157.25,135.789993,136.929993,135451900,128.6235
"4",139.009995,154.699997,137.800003,144.580002,140199700,135.809442
"5",145.199997,163.789993,144.699997,161.130005,141630000,151.355483
"6",161.770004,171.610001,156.139999,156.139999,119779000,146.991181
"7",158.449997,171.229996,157,168.160004,93645400,158.306888
"8",170.550003,175.339996,160.119995,163.619995,116535100,154.032896
"9",163.860001,169.899994,161.320007,163.779999,82986600,154.511041
"10",163.550003,165.179993,153.259995,158.600006,112097700,149.624205
"11",159.770004,164.399994,149.550003,151.009995,101954000,142.463742
"12",152.199997,153.070007,133.639999,140.729996,144717100,133.10743
"13",139.949997,140,128.300003,133.089996,135783900,125.881247
"14",133.429993,139.25,125.5,134.970001,113317000,127.659423
"15",136.919998,137.339996,103.160004,116.220001,230480100,110.25748
"16",115.550003,115.550003,91.400002,94.550003,166764200,89.699234
"17",93.739998,118.07,84.269997,109.550003,179485000,103.929678
"18",103.489998,109.260002,87.599998,95.860001,150193800,91.294005
"19",94.580002,106.099998,86.900002,90.43,158615200,86.122646
"20",92.970001,112.5,92.419998,111.470001,159706200,106.160471
"21",112.610001,118.660004,111.400002,115.139999,114450200,109.986856
"22",115.970001,128.720001,113.110001,124.370003,148682900,118.803766
"23",124.139999,125.540001,110.07,115.150002,118236700,109.99641
"24",114.839996,116.480003,93.699997,95.699997,121117300,91.85385
"25",94.07,97.599998,90.43,95.860001,104497000,92.007423
"26",96.559998,102.18,91.150002,100.900002,96498800,96.844868
"27",101.269997,107.339996,96.720001,105.720001,70895400,101.917136
"28",105.550003,122.599998,105.540001,113.68,91155600,109.590805
"29",116.669998,126.480003,116.220001,122.389999,96115200,117.987496
"30",122.82,126.730003,113.839996,117.790001,78473200,114.034488
"31",118.419998,129.720001,115.620003,127.559998,80380300,123.492987
"32",131.300003,148,129.619995,147.860001,98912700,143.145762
"33",148.509995,159,146.619995,149.759995,92481400,145.477826
"34",148.119995,157.190002,144.679993,147.149994,82855700,142.942455
"35",146.669998,151.449997,137.289993,146.070007,81816700,141.893349
"36",145.830002,165.830002,140.389999,162.080002,89480300,157.943117
"37",161.559998,168.199997,148.710007,151.25,76021100,147.389537
"38",152.779999,167.410004,149.279999,164.029999,65295900,159.843343
"39",165.740005,169.690002,151.330002,152.130005,52123900,148.7324
"40",154.479996,170,153.419998,158.210007,78759300,154.676614
"41",158.860001,163.350006,152.830002,160.860001,75131900,157.267424
"42",161.029999,170.690002,159.610001,168.940002,57399200,165.70934
"43",169.880005,177.440002,164.770004,177.259995,55718100,173.870227
"44",176.949997,181.130005,163.300003,164.119995,67649400,160.981506
"45",165.149994,167.820007,159.770004,166.449997,70386800,163.818093
"46",164.220001,175.589996,160.770004,163.850006,69380700,161.259213
"47",164.759995,167.669998,151.649994,159.820007,78693500,157.292937
"48",159.800003,163.429993,153.710007,159.809998,51072500,157.819652
"49",159.779999,171.080002,157.910004,167.440002,48257200,165.354629
"50",166.350006,177.479996,161.529999,172.869995,59896200,170.716994
"51",172.380005,179.860001,168.020004,179.110001,45999300,177.427827
"52",179.259995,188.580002,176.619995,183.570007,52395400,181.845946
"53",183.190002,190,171.259995,189.990005,82923700,188.205649
"54",190.350006,192.679993,187.550003,188.410004,40105200,187.236401
"55",188,198.059998,182.399994,193.830002,70217700,192.622638
"56",195.300003,195.729996,172.320007,172.410004,64102500,171.336065
"57",172.990005,193.279999,172.259995,189.789993,50123400,189.199906
"58",190,194.25,182.710007,187.970001,50310800,187.385573
"59",187.940002,202.869995,186.960007,196.419998,55748200,195.809298
"60",198.449997,209.679993,194.009995,206.190002,46686800,206.190002
"61",207.320007,213.399994,205.649994,213.130005,20421200,213.130005
