"","stock_data$LEN.Open","stock_data$LEN.High","stock_data$LEN.Low","stock_data$LEN.Close","stock_data$LEN.Volume","stock_data$LEN.Adjusted"
"1",14.7,15.94,13.81,13.91,107679200,13.48685
"2",13.9,15.75,13.3,14.77,108354800,14.361577
"3",15.04,15.26,11.93,13.15,97470300,12.786372
"4",13.43,15.64,13.42,15.38,94190600,14.954708
"5",15.66,16.610001,14.11,14.51,99949500,14.143495
"6",14.61,16.540001,14.41,15.19,110839200,14.806319
"7",15.49,19.059999,15.41,18.75,103703000,18.276398
"8",18.889999,20.700001,18.43,19.360001,101597200,18.909036
"9",19.51,21.540001,18.940001,20.16,77422200,19.690401
"10",20.309999,20.6,18.059999,18.120001,104064500,17.697921
"11",18.25,19.389999,17.67,18.99,80832500,18.586971
"12",19.129999,19.129999,17.34,18.98,73757000,18.577183
"13",18.9,19.02,16.389999,18.15,88904400,17.764799
"14",18.18,19.1,17.139999,17.690001,66977400,17.351559
"15",17.91,18,12.39,14.7,135519400,14.418763
"16",14.79,14.98,12.91,13.54,102414800,13.280956
"17",13.41,17.41,12.14,16.540001,124033300,16.266059
"18",16.030001,18.82,15.61,18.41,137808300,18.105086
"19",18.32,20.190001,18.120001,19.65,113298600,19.324548
"20",20.07,23.110001,19.559999,21.49,139565800,21.171931
"21",21.74,24.35,21.49,23.379999,116234100,23.033957
"22",23.52,28.280001,22.200001,27.18,154893700,26.777715
"23",26.959999,28.719999,24.299999,27.74,127688500,27.371913
"24",27.75,30.120001,25.4,27.290001,164938400,26.927885
"25",26.23,30.93,23.48,30.91,179236200,30.499849
"26",31.139999,31.9,28.950001,29.209999,118766300,28.858695
"27",29.4,32.849998,28.51,32.43,96768100,32.03997
"28",32.400002,38.27,32.169998,34.77,110254800,34.351827
"29",35.27,39.25,34.400002,37.470001,108542800,37.059661
"30",37.630001,39.330002,33.919998,38.040001,120440500,37.623419
"31",38.310001,39.880001,35.509998,38.669998,82444700,38.246517
"32",39.950001,43.220001,39.459999,41.540001,89879000,41.123631
"33",41.849998,42.27,36.610001,38.59,77001900,38.203199
"34",38.439999,43.900002,37.779999,41.48,80716500,41.064231
"35",41.380001,42.900002,36.759998,41.220001,103759300,40.849645
"36",40.799999,44.400002,39.259998,39.32,85024700,38.966715
"37",39.580002,39.970001,33.360001,36.040001,171869000,35.716186
"38",36.299999,37.869999,31.950001,33.869999,146734300,33.605299
"39",34.32,35.060001,30.9,31.809999,116688000,31.561399
"40",32.139999,37.84,31.09,35.400002,121996600,35.123344
"41",35.34,37.790001,32.66,35.549999,115670300,35.31454
"42",35.66,36.610001,32.150002,35.759998,111240900,35.523148
"43",35.82,39.91,34.09,39.560001,91018900,39.297983
"44",39.16,40.84,36.41,40.16,91160000,39.937288
"45",40,44.400002,38.740002,43.880001,89671600,43.636659
"46",43.380001,44.299999,38.349998,39.619999,106362100,39.400282
"47",39.630001,41.619999,37.32,38.59,69884500,38.416199
"48",38.369999,41.27,37.459999,40.900002,70332700,40.715797
"49",40.869999,42.490002,40.009998,41.98,59738700,41.790931
"50",41.900002,42.669998,36.060001,36.23,60840700,36.101981
"51",36.439999,39.57,35.740002,39.18,55582300,39.041558
"52",39.349998,41.970001,38.110001,38.830002,66935000,38.692797
"53",38.82,44.25,37.5,43.080002,85976500,42.972577
"54",43.360001,48,42.459999,47.240002,60730100,47.122203
"55",47.25,47.25,41.299999,44.810001,64660200,44.698262
"56",44.990002,48.52,41.25,44.91,108940200,44.837966
"57",45.009998,51.509998,43.889999,50.209999,62146400,50.129464
"58",50.209999,52.169998,48.07,51.810001,70622600,51.7269
"59",51.880001,53.669998,45.5,45.799999,68779800,45.764219
"60",45.720001,50.139999,44.759998,46.630001,55815400,46.593572
"61",46.869999,47.720001,45.779999,47.169998,18965200,47.133147
