"","stock_data$ATI.Open","stock_data$ATI.High","stock_data$ATI.Low","stock_data$ATI.Close","stock_data$ATI.Volume","stock_data$ATI.Adjusted"
"1",49.68,55.09,44.009998,44.189999,29390300,40.148579
"2",44.16,53.41,42.52,47.610001,40559000,43.255803
"3",48.73,49.720001,39.349998,40.720001,43808400,36.995932
"4",41.810001,47.990002,41.580002,46.450001,29677700,42.361714
"5",47.27,52.880001,45.189999,52.689999,35342500,48.0525
"6",53.169998,56.869999,47.02,51.700001,40872600,47.149636
"7",52.900002,59.41,51.91,55.18,25136700,50.491806
"8",55.939999,65.910004,53.73,65.190002,38440000,59.65134
"9",65.989998,69.75,62.619999,67.080002,25020600,61.380762
"10",67.489998,68.470001,59.900002,67.720001,30822700,62.14124
"11",68.360001,73.529999,61.869999,72,29308700,66.068653
"12",72.470001,72.68,62.189999,67,41463800,61.654114
"13",66.32,67.110001,57.66,63.470001,47607600,58.405772
"14",63.389999,66.389999,57.310001,58.189999,62496300,53.547057
"15",59.57,59.950001,42.259998,50.119999,58527700,46.120957
"16",49.799999,50.73,35.91,36.990002,57331700,34.166773
"17",36.529999,50.5,30.790001,46.400002,64284300,42.858563
"18",43.560001,51,42.5,50.220001,41350600,46.387005
"19",49.93,51.25,42.639999,47.799999,29164700,44.332864
"20",49.779999,53,44.450001,45.389999,39861600,42.097672
"21",45.990002,49,43.139999,43.869999,33513900,40.687924
"22",43.919998,44.959999,39.779999,41.169998,37983200,38.350912
"23",41.049999,43.619999,38.189999,42.939999,30664400,39.999713
"24",42.970001,44.169998,31.549999,32.119999,34749700,30.076261
"25",31.26,32.669998,27.610001,31.889999,50696800,29.860896
"26",31.790001,33.27,27.68,30.030001,33264300,28.119246
"27",30.33,34.099998,28.15,29.639999,30356500,27.75406
"28",29.639999,37.02,28.52,31.9,32811800,30.017283
"29",32.259998,33.950001,26.26,26.35,35920600,24.794841
"30",26.49,28.870001,25.35,26.18,31333300,24.634874
"31",26.48,30.6,25.51,30.360001,28253700,28.752749
"32",31.450001,32.52,28.969999,31.65,47476300,29.974456
"33",32,34.18,29.299999,30.469999,34174600,28.856924
"34",30.34,32.990002,29.25,31.709999,27757100,30.196843
"35",31.799999,31.92,26.219999,26.98,44494400,25.692552
"36",26.6,31.629999,25.719999,27.57,39642400,26.414107
"37",27.65,28.41,25.6,26.309999,32805800,25.206934
"38",26.440001,28.200001,25.6,27.57,36828400,26.414107
"39",27.91,29.41,26.389999,26.709999,23713400,25.760701
"40",27.25,32.740002,26.450001,30.52,25237900,29.435291
"41",30.41,34.130001,29.49,33.099998,38586100,31.923593
"42",33.16,34.490002,32.369999,33.220001,21138300,32.039331
"43",33.310001,35.889999,31.82,35.630001,19432400,34.553357
"44",35.470001,36.700001,31.32,31.440001,31038700,30.489967
"45",31.379999,32.150002,29.74,31.780001,21700500,30.819693
"46",31.42,38.299999,31.129999,37.68,25359900,36.736067
"47",37.779999,41.470001,37.560001,41.200001,46186200,40.167887
"48",40.98,42.66,39.869999,41.07,23755200,40.041143
"49",41.18,45.259998,39.130001,45.099998,21134600,44.165561
"50",45.549999,46.32,37.630001,37.650002,28806000,36.869922
"51",37.599998,43.279999,37.490002,42.169998,21268900,41.476863
"52",42.150002,43.259998,36.740002,37.099998,21879000,36.490197
"53",36.900002,36.990002,30.65,32.849998,38768700,32.310053
"54",32.790001,35.580002,30.360001,33.689999,19401200,33.136246
"55",33.540001,35.630001,30.02,34.77,22482800,34.391345
"56",34.849998,35.099998,27.120001,28.530001,28478500,28.2193
"57",28.870001,34.34,28.559999,33.66,17050100,33.293432
"58",33.66,33.900002,28.91,30.01,22118800,29.853017
"59",29.73,35.080002,29.049999,33.990002,24840100,33.812199
"60",34.349998,37.759998,31.780001,32.5,19516900,32.5
"61",32.529999,33.970001,31.93,32.830002,5861900,32.830002
