"","stock_data$ORCL.Open","stock_data$ORCL.High","stock_data$ORCL.Low","stock_data$ORCL.Close","stock_data$ORCL.Volume","stock_data$ORCL.Adjusted"
"1",21.879999,23.66,21.389999,21.459999,423676900,20.321181
"2",21.459999,24.68,21.24,23.639999,642202900,22.433491
"3",23.870001,24.59,21.66,21.84,528516600,20.725358
"4",22.15,27.629999,22.1,26.85,1059329600,25.479665
"5",27.18,29.709999,26.889999,29.379999,758714400,27.93181
"6",29.52,29.82,26.809999,27.049999,606355000,25.71666
"7",27.540001,32.27,27.41,31.299999,596463200,29.75717
"8",31.59,33.299999,30.799999,32.029999,582169300,30.500097
"9",32.169998,33.709999,31.639999,32.900002,400603500,31.328544
"10",33.02,34.099998,29.620001,33.43,668810300,31.833228
"11",33.700001,36.049999,33.080002,35.959999,532918200,34.303747
"12",35.84,36.5,32.919998,34.220001,510709400,32.64389
"13",34.23,34.299999,30.65,32.91,700288400,31.394225
"14",32.889999,34.130001,30.26,30.58,560121200,29.223202
"15",30.969999,31.209999,24.719999,28.07,1107143700,26.824567
"16",28.030001,30.959999,25.709999,28.74,880744000,27.46484
"17",28.59,33.810001,27,32.77,667246000,31.378646
"18",31.959999,33.759998,28.610001,31.35,539825600,30.018937
"19",31.4,32.240002,24.91,25.65,744294800,24.560947
"20",26.33,28.950001,25.549999,28.209999,721581300,27.072573
"21",28.48,29.540001,27.92,29.25,565502700,28.070641
"22",29.4,31.15,28.52,29.16,813941300,27.984269
"23",29.120001,29.700001,28.040001,29.4,528345200,28.271977
"24",29.450001,29.82,25.33,26.469999,650683000,25.454396
"25",25.98,29.709999,25.84,29.700001,642899400,28.560468
"26",29.530001,31.110001,28.610001,30.200001,480418900,29.10139
"27",30.34,32.299999,29.74,31.65,397712100,30.498641
"28",31.629999,33.290001,30.57,31.459999,493825400,30.315552
"29",31.709999,32.09,30.309999,31.08,485591400,30.008121
"30",31.200001,32.240002,29.52,32.18,407092800,31.070185
"31",32.369999,34.349998,31.309999,33.32,503002900,32.350928
"32",34.080002,35.880001,33.93,35.509998,401941600,34.477233
"33",35.869999,36.310001,34.060001,34.240002,347205100,33.244173
"34",34.119999,36.43,31.16,32.330002,640045400,31.389723
"35",32.360001,33.950001,31.67,32.779999,543579600,31.826632
"36",32.75,35.32,32.720001,33.779999,474311500,32.797548
"37",33.849998,34.75,29.860001,30.709999,701001000,29.816836
"38",30.889999,32.75,29.950001,32.349998,675439200,31.529173
"39",32.619999,33.650002,31.559999,31.860001,346619900,31.051608
"40",32.169998,34.34,31.82,33.169998,454916400,32.328367
"41",33.200001,33.950001,32,33.5,421757800,32.768293
"42",33.700001,35.419998,33.41,35.290001,323481000,34.519197
"43",35.369999,38.34,33.220001,38.259998,468655300,37.424323
"44",37.779999,38.77,36.490002,36.900002,334053900,36.208858
"45",37.09,39.369999,35.439999,39.110001,254578900,38.377464
"46",38.720001,41.43,37.380001,40.91,439593500,40.143749
"47",41.040001,42,38.970001,40.880001,384502100,40.233907
"48",40.720001,42.349998,40.490002,42.02,267018700,41.355889
"49",41.959999,43.189999,39.93,40.529999,325033500,39.889436
"50",40.41,41.360001,39.860001,40.389999,279906500,39.867375
"51",40.189999,42.040001,39.529999,41.529999,206012100,40.992623
"52",41.599998,42.09,38.139999,38.279999,412463900,37.784677
"53",38.32,39.240002,35.82,39.049999,355956500,38.664017
"54",39.02,42.509998,38.759998,42.41,210663400,41.990807
"55",42.009998,46.709999,39.919998,44.970001,352602100,44.525504
"56",45.02,45.330002,41.82,41.889999,314356600,41.588524
"57",42.209999,44.369999,41.560001,43.82,215775000,43.504634
"58",43.810001,44.939999,41.259998,43.150002,345114300,42.839458
"59",42.990002,44.900002,42.209999,43.619999,278212900,43.457884
"60",43.439999,44.849998,43,43.490002,182137100,43.32837
"61",43.84,44.110001,42.82,43.939999,86159700,43.776694
