"","stock_data$BAC.Open","stock_data$BAC.High","stock_data$BAC.Low","stock_data$BAC.Close","stock_data$BAC.Volume","stock_data$BAC.Adjusted"
"1",15.27,16.1,14.3,14.37,1978203700,13.977754
"2",14.32,15.72,13.3,14.04,3560000600,13.656762
"3",14.38,14.47,12.18,12.46,3010148900,12.11989
"4",12.64,14.06,12.6,13.1,2967673000,12.752655
"5",13.22,13.66,11.03,11.45,5735593000,11.146404
"6",11.5,12.74,10.91,10.95,3930562800,10.659662
"7",11.17,13.49,10.97,13.34,4011807900,12.998162
"8",13.85,15.31,13.4,13.73,4651422300,13.378168
"9",13.9,14.95,13.79,14.29,2791930400,13.923818
"10",14.32,14.7,13.16,13.33,3277514600,12.997749
"11",13.45,13.88,12.15,12.28,2527300900,11.97392
"12",12.36,12.71,11.29,11.75,2552522700,11.457131
"13",11.71,11.74,10.4,10.96,3728992400,10.695924
"14",10.98,11.14,9.4,9.71,3304704200,9.476042
"15",10.04,10.05,6.01,8.17,8796781400,7.982979
"16",8.18,8.18,6,6.12,5435305600,5.979906
"17",6.08,7.43,5.13,6.83,5937891600,6.673653
"18",6.38,6.98,5.03,5.44,5670137400,5.325956
"19",5.37,5.95,4.92,5.56,4971016200,5.443441
"20",5.75,7.5,5.62,7.13,6068763900,6.980527
"21",7.25,8.35,7.21,7.97,5963971300,7.812539
"22",8.09,10.1,7.66,9.57,6820535600,9.380928
"23",9.54,9.78,7.95,8.11,4327576600,7.949773
"24",8.11,8.4,6.72,7.35,4223024800,7.214485
"25",7.12,8.22,6.85,8.18,4061071900,8.029182
"26",8.2,8.21,6.9,7.34,2814377800,7.204669
"27",7.35,8.4,7.1,7.99,2311106700,7.842685
"28",8,9.79,7.93,8.83,3169072100,8.678045
"29",8.87,9.65,8.85,9.32,2981868800,9.159612
"30",9.34,9.97,8.92,9.86,3166055300,9.69032
"31",9.93,11.69,9.77,11.61,3505653600,11.421729
"32",12.05,12.2,11.02,11.32,3342902200,11.136432
"33",11.41,12.42,10.98,11.23,3261268700,11.057827
"34",11.13,12.94,11.02,12.18,3198847600,11.993263
"35",12.15,12.54,11.23,12.31,2917832000,12.12127
"36",12.2,13.99,12.05,13.66,2929147100,13.450571
"37",13.69,13.73,12.13,12.86,2590843100,12.672321
"38",12.95,15.03,12.73,14.6,2461055900,14.386929
"39",14.85,14.97,13.98,14.12,1933732700,13.913933
"40",14.3,14.83,13.6,13.8,1715010800,13.608153
"41",13.85,14.72,13.68,13.97,2047949700,13.77579
"42",14,15.98,13.8,15.82,2059558200,15.600071
"43",15.84,15.97,15.06,15.57,1661429900,15.363433
"44",15.69,17.42,15.68,16.75,2581396100,16.527778
"45",16.77,16.92,16.129999,16.530001,2055235400,16.310697
"46",16.299999,18.030001,16.190001,17.200001,2337288800,16.981959
"47",17.280001,17.4,14.86,15.14,2245029800,14.948073
"48",15.14,15.31,14.37,15.14,1462446400,14.948073
"49",15.16,15.94,15.05,15.37,1256722300,15.184922
"50",15.38,16.23,15.13,15.25,1499968200,15.066367
"51",15.18,16.459999,14.84,16.09,1445234500,15.896252
"52",16.139999,17.200001,15.9,17.049999,1790149200,16.896617
"53",17.07,17.41,15.43,17.16,2207852800,17.005628
"54",17.18,17.459999,16.83,17.040001,942013300,16.886709
"55",16.92,18.209999,16.59,17.889999,1711416700,17.7809
"56",17.99,18.030001,14.97,15.15,2211366600,15.05761
"57",15.27,16.790001,15.12,15.81,1904277800,15.713586
"58",15.79,16.620001,15.26,15.39,1855236900,15.343978
"59",15.42,16.049999,15.25,15.93,1464221900,15.882363
"60",16,16.85,15.92,16.5,1403264600,16.450658
"61",16.58,17.620001,16.469999,17.59,634838500,17.59
