"","stock_data$SIAL.Open","stock_data$SIAL.High","stock_data$SIAL.Low","stock_data$SIAL.Close","stock_data$SIAL.Volume","stock_data$SIAL.Adjusted"
"1",51.34,54.43,49.73,49.830002,10464700,47.382571
"2",49.619999,58,48.799999,56.099998,18365400,53.344613
"3",56.610001,57.810001,51.439999,53.169998,13150600,50.710208
"4",53.950001,61.5,53.599998,60.380001,12376300,57.586657
"5",61,63.700001,58.93,63.490002,16017000,60.55278
"6",64,66.010002,62.009998,63.220001,12751900,60.445679
"7",64.239998,67.760002,64.169998,66.559998,10556000,63.639104
"8",67.099998,67.919998,62.18,63.650002,12553400,60.856809
"9",63.990002,65.580002,60.939999,63.889999,15556200,61.263422
"10",63.950001,64.980003,58.869999,63.639999,15323200,61.0237
"11",64.019997,72.370003,62.77,70.580002,11782300,67.678392
"12",70.830002,71.330002,67.550003,70.290001,11590800,67.575456
"13",70.050003,73.599998,65.580002,73.379997,13185800,70.546119
"14",73.540001,76.160004,66.529999,67.099998,14528000,64.508649
"15",67.68,68.010002,56.18,64.389999,23949500,62.077957
"16",64.419998,66.669998,57.599998,61.790001,19327500,59.571317
"17",61.290001,69.919998,59.34,65.480003,16843500,63.128823
"18",63.25,64.940002,58.599998,64.809998,17802900,62.667977
"19",65.089996,66.459999,61.360001,62.459999,13061200,60.395648
"20",63.959999,71.089996,61.68,68.040001,13646800,65.791226
"21",69.040001,72.970001,68.639999,71.790001,12184300,69.608678
"22",72.209999,74.309998,69.839996,73.059998,11061000,70.840086
"23",73.230003,74.589996,69.400002,70.900002,11591300,68.745721
"24",71.07,72.93,67.849998,69.370003,14466000,67.44892
"25",68,74.25,66.769997,73.93,11727900,71.882637
"26",73.769997,74.940002,66.519997,69.199997,17170600,67.283623
"27",69.389999,72.730003,67.580002,71.029999,10502800,69.259648
"28",70.650002,74.68,69.709999,71.970001,10084900,70.176222
"29",72.610001,74.5,69,70.18,11132300,68.430835
"30",70.480003,72.580002,68.220001,72.519997,9476600,70.909453
"31",73.019997,74.239998,71.68,73.580002,9458000,71.945917
"32",74.580002,77.660004,74.279999,77.330002,10950600,75.612636
"33",77.5,78.25,74.919998,77.059998,11843100,75.563045
"34",76.349998,79.32,75.690002,77.650002,12524600,76.141587
"35",77.699997,79.150002,73.239998,78.690002,16965400,77.161385
"36",78.519997,85.910004,77.339996,83.699997,13686600,82.281835
"37",84.059998,84.260002,79.669998,80.419998,12879600,79.05741
"38",80.889999,85.239998,80.25,83.559998,13298400,82.144208
"39",84.169998,86.349998,81.860001,82.470001,8752200,81.283539
"40",83.360001,88.550003,82.029999,85.300003,10899900,84.072827
"41",84.989998,87.589996,82.900002,86.43,15304500,85.186567
"42",86.889999,87.889999,83.75,86.239998,9926700,85.209439
"43",86.43,94.779999,86.040001,94.010002,12327200,92.886592
"44",93.589996,94.610001,90.68,92.970001,12608400,91.859019
"45",93.099998,96.870003,90.209999,94.410004,15021300,93.510788
"46",94.010002,95.809998,91.550003,93.379997,12152000,92.490592
"47",93.839996,97.639999,91.610001,96.209999,10864400,95.293639
"48",96.150002,98.809998,94.650002,98.529999,11909800,97.821099
"49",98.580002,101.910004,97.379997,101.480003,10894500,100.749879
"50",101.93,104,100.330002,100.419998,11453200,99.697501
"51",100.199997,104.32,99.080002,104,7293300,103.480881
"52",103.949997,138.009995,101.589996,136.009995,31122700,135.331096
"53",135.800003,136.910004,132.449997,135.910004,25905100,135.231605
"54",135.850006,136.839996,135,136.600006,14057200,136.14749
"55",136.350006,137.639999,135.619995,137.270004,13207200,136.815269
"56",137.360001,137.809998,136.75,137.520004,11835000,137.064441
"57",137.470001,138.830002,137.300003,138.059998,11584500,137.831848
"58",138.100006,138.75,137.669998,138.25,18108000,138.021537
"59",138.279999,139.589996,138.199997,138.919998,13899100,138.690427
"60",138.960007,140.029999,138.669998,139.300003,21723000,139.300003
"61",139.190002,139.259995,136.720001,138.419998,11629000,138.419998
