"","stock_data$AET.Open","stock_data$AET.High","stock_data$AET.Low","stock_data$AET.Close","stock_data$AET.Volume","stock_data$AET.Adjusted"
"1",29.110001,30.969999,26.26,26.379999,91811300,24.829755
"2",26.290001,28.91,25,27.85,101398500,26.21337
"3",28.26,30.389999,26.42,26.719999,84249200,25.149775
"4",27.049999,31.84,26.92,31.610001,87042700,29.752411
"5",31.610001,32.41,29.82,29.860001,68119600,28.105251
"6",30.02,32.02,29.540001,29.620001,109572700,27.914859
"7",30.01,31.370001,29.799999,30.51,85042700,28.753624
"8",30.67,34.279999,30.6,32.939999,64067800,31.043734
"9",33.16,38.639999,32.529999,37.360001,89369900,35.209289
"10",37.549999,39.23,34.419998,37.43,87547700,35.275259
"11",37.529999,42.889999,36.099998,41.380001,71053400,39.157087
"12",41.540001,46.009998,40.66,43.68,107968300,41.333532
"13",43.630001,45.400002,41.880001,44.09,83315700,41.721506
"14",44.119999,45.389999,40.41,41.490002,87444400,39.398583
"15",42.540001,42.540001,34.5,40.029999,134652700,38.012176
"16",40.220001,41.849998,36.23,36.34,111859100,34.508182
"17",36.080002,41.07,33.43,39.759998,102579300,37.910143
"18",38.57,42.040001,37.869999,41.82,74211500,39.874302
"19",41.75,43.889999,39.27,42.189999,70369300,40.227086
"20",42.849998,45,41.049999,43.700001,73092500,41.832011
"21",42.91,47.709999,42.27,46.759998,79382500,44.761206
"22",46.75,51.139999,45.330002,50.16,90818000,48.015872
"23",50.220001,50.470001,43,44.040001,82202500,42.309296
"24",44.060001,45.099998,39.07,40.889999,102089100,39.283085
"25",40.389999,43.450001,38.52,38.77,121578100,37.246399
"26",39.02,40.220001,34.580002,36.060001,82465700,34.803007
"27",36.259998,40.470001,35.779999,38.41,87996000,37.071088
"28",38.419998,40.939999,37.099998,39.599998,87329800,38.219606
"29",39.82,45,39.5,43.689999,107070100,42.343129
"30",43.610001,44.619999,40.32,43.189999,92253500,41.858543
"31",43.470001,47.060001,42.950001,46.310001,71316800,44.882362
"32",47.049999,50.360001,44.380001,48.23,69443700,46.946578
"33",48.740002,51.099998,46.040001,47.189999,63596700,45.934252
"34",47.02,51.73,46.529999,51.130001,59421200,49.76941
"35",51.029999,58.639999,50.400002,57.439999,80554400,56.117468
"36",57.529999,62.759998,57.450001,60.380001,63986700,58.989778
"37",60.459999,64.129997,57.720001,63.540001,61032900,62.07702
"38",64.18,66,61.52,64.169998,66724900,62.891346
"39",64.379997,64.93,61.57,63.389999,43196600,62.12689
"40",63.830002,69.190002,63.400002,64.019997,57734900,62.744333
"41",64.199997,66.5,60.32,62.700001,75447100,61.639283
"42",62.709999,69.459999,62.150002,68.93,51704100,67.763888
"43",68.970001,69.470001,64.720001,68.589996,56493400,67.429636
"44",68.209999,72.160004,67.160004,68.330002,48871200,67.387474
"45",68.489998,73.860001,64.68,72.709999,60255700,71.707054
"46",72.300003,76.709999,71.480003,74.970001,46525800,73.935883
"47",75.129997,75.989998,66.849998,71.449997,70083200,70.682587
"48",71.800003,77.839996,70.760002,77.550003,45292000,76.717076
"49",77.919998,82.699997,77.410004,81.080002,39970900,80.209161
"50",81.489998,85.720001,76.110001,77.529999,55211700,76.90716
"51",77.199997,83.220001,74.809998,82.129997,46118200,81.470205
"52",82.660004,84.949997,80.949997,81,38912100,80.349285
"53",81.199997,82.550003,71.809998,82.510002,73270000,82.088817
"54",82.779999,88.110001,81.93,87.239998,39132300,86.794667
"55",87.699997,91.870003,85.620003,88.830002,44069000,88.376555
"56",89.709999,96.25,87.25,91.82,47017700,91.60712
"57",92.010002,101.980003,90.199997,99.550003,41368400,99.319202
"58",99.550003,109.900002,98.779999,106.529999,55051200,106.283015
"59",106.660004,111.080002,104.93,106.870003,38930600,106.870003
"60",107.860001,120.150002,106.629997,117.970001,34297200,117.970001
"61",118.059998,120.190002,115.010002,117.940002,17959100,117.940002
