"","stock_data$PHM.Open","stock_data$PHM.High","stock_data$PHM.Low","stock_data$PHM.Close","stock_data$PHM.Volume","stock_data$PHM.Adjusted"
"1",9.35,10.03,8.24,8.28,154838200,8.050526
"2",8.24,9.31,7.77,8.78,186866900,8.536669
"3",8.95,9.09,7.7,8.04,140440800,7.817177
"4",8.33,8.99,8.05,8.76,121689100,8.517223
"5",8.86,8.92,7.84,7.85,170373500,7.632443
"6",7.9,8.15,6.13,6.26,212026700,6.086509
"7",6.38,7.67,6.28,7.52,160689300,7.311589
"8",7.62,8.69,7.57,7.89,167905000,7.671334
"9",7.98,8.13,6.84,6.9,203647400,6.708772
"10",6.92,7.76,6.51,7.4,216710900,7.194915
"11",7.48,8.44,7.08,8.13,159011000,7.904683
"12",8.16,8.44,7.45,8.44,147091900,8.206091
"13",8.34,8.38,6.79,7.66,158573500,7.447709
"14",7.64,7.86,6.7,6.87,140415300,6.679603
"15",7.02,7.03,3.4,4.8,376238300,4.666972
"16",4.77,4.88,3.92,3.95,253672600,3.840529
"17",3.9,5.57,3.29,5.18,272503100,5.03644
"18",4.86,6.11,4.77,6.11,272974000,5.940666
"19",6.05,6.59,5.54,6.31,202629200,6.135123
"20",6.47,8.31,6.37,7.45,262489600,7.243529
"21",7.56,9.31,7.46,8.82,292590100,8.57556
"22",8.81,9.69,8.09,8.85,246039800,8.604729
"23",8.74,10.15,7.65,9.84,259376900,9.567292
"24",9.88,10.82,8.21,9.36,282458800,9.100594
"25",8.99,10.71,7.63,10.7,271710300,10.403457
"26",10.68,12.19,9.96,11.3,291785500,10.986829
"27",11.4,13.91,10.82,13.68,313129800,13.300869
"28",13.68,17.469999,13.42,15.5,306562700,15.070429
"29",15.41,18.299999,15.2,17.34,259621900,16.859435
"30",17.43,18.27,14.55,16.809999,277043300,16.344123
"31",16.959999,18.860001,15.81,18.16,172315400,17.656709
"32",18.879999,21.969999,18.32,20.74,199959300,20.165206
"33",20.84,21.24,17.98,19.18,197711600,18.648441
"34",19.01,21.6,18.6,20.24,167859500,19.679063
"35",20.190001,21.74,17.459999,20.99,224465800,20.408278
"36",20.889999,24.469999,20.440001,21.59,193850700,20.991649
"37",21.82,21.82,17.75,18.969999,219404500,18.44426
"38",19.129999,20.57,16.110001,16.629999,228949200,16.169111
"39",16.85,17.290001,14.23,15.39,258585200,15.008603
"40",15.59,18.370001,15.14,16.5,198130600,16.136887
"41",16.559999,18.25,15.28,17.65,208772100,17.261578
"42",17.66,19.25,16.48,18.76,181642700,18.347151
"43",18.790001,20.49,17.65,20.370001,142915800,19.976875
"44",20.25,20.780001,18.209999,20.32,152352500,19.927839
"45",20.65,21.65,19.200001,20.99,163016000,20.584908
"46",20.77,21.41,18.389999,19.190001,149426300,18.865482
"47",19.209999,20.15,18.09,18.389999,129026200,18.07901
"48",18.41,20.15,18.01,19.559999,134163000,19.229224
"49",19.559999,20.469999,19.17,20.16,115596800,19.869896
"50",20.24,20.639999,17.51,17.65,130006100,17.396015
"51",17.629999,19.34,17.469999,19.219999,84659100,18.943423
"52",19.209999,19.690001,17.52,17.66,111307800,17.450848
"53",17.66,19.809999,16.559999,19.190001,172452700,18.962728
"54",19.23,21.92,19.01,21.629999,95845400,21.373829
"55",21.610001,22.030001,19.690001,21.459999,110228500,21.289044
"56",21.59,23.280001,20.23,20.59,167426800,20.425976
"57",20.629999,23.360001,20.16,22.559999,103637600,22.380282
"58",22.629999,22.77,20.59,22.23,103612900,22.135855
"59",22.27,22.950001,19.27,19.299999,132548700,19.218263
"60",19.389999,20.440001,19.17,19.18,108038900,19.098772
"61",19.290001,19.66,18.610001,19.1,38260600,19.1
