"","stock_data$XRX.Open","stock_data$XRX.High","stock_data$XRX.Low","stock_data$XRX.Close","stock_data$XRX.Volume","stock_data$XRX.Adjusted"
"1",8.61,9.76,7.93,8.04,230946500,7.233827
"2",8.06,9.86,7.67,9.74,405126500,8.763367
"3",9.74,9.99,8.32,8.45,261654700,7.602716
"4",8.6,10.64,8.59,10.35,277229400,9.350495
"5",10.41,11.73,10.3,11.7,273762700,10.570124
"6",11.74,11.96,10.95,11.46,216492500,10.353301
"7",11.63,12.08,11.44,11.52,175529100,10.446298
"8",11.62,11.79,10.3,10.62,285009400,9.63018
"9",10.7,11.5,10.53,10.75,230846200,9.748064
"10",10.73,10.86,9.78,10.65,262720200,9.696571
"11",10.71,11.03,9.9,10.09,279542600,9.186704
"12",10.17,10.55,9.69,10.21,255562800,9.295962
"13",10.18,10.49,9.33,10.41,250908800,9.519362
"14",10.38,10.83,9.21,9.33,271723000,8.531762
"15",9.49,9.53,7.3,8.3,480401800,7.589885
"16",8.35,8.42,6.96,6.97,309303700,6.410085
"17",6.8,8.65,6.55,8.18,347944900,7.522884
"18",8.03,8.55,7.53,8.15,249599800,7.495294
"19",8.11,8.41,7.68,7.96,199819800,7.359338
"20",8.16,8.84,7.53,7.75,292134300,7.165184
"21",7.8,8.5,7.74,8.23,245845400,7.608963
"22",8.28,8.55,8,8.08,201217700,7.508859
"23",8.09,8.2,7.71,7.78,240832200,7.230065
"24",7.8,8.01,6.91,7.22,307976600,6.709648
"25",7.06,7.88,7.02,7.87,244739700,7.355374
"26",7.89,7.97,6.36,6.93,274392100,6.476841
"27",6.95,7.52,6.52,7.37,201458600,6.888069
"28",7.38,7.89,7.03,7.34,193236200,6.900567
"29",7.36,7.54,6.29,6.44,263371300,6.054448
"30",6.47,6.85,6.1,6.81,203320200,6.402297
"31",6.86,7.21,6.62,6.82,198601100,6.451906
"32",6.99,8.31,6.97,8.01,294809200,7.577679
"33",8.1,8.23,7.75,8.11,171173800,7.672281
"34",8.07,8.77,8.01,8.6,163993900,8.191665
"35",8.62,9.38,8.11,8.58,237269100,8.172614
"36",8.54,9.12,8.26,8.79,178287000,8.372644
"37",8.8,9.62,8.66,9.07,173676800,8.695574
"38",9.1,10,9.07,9.7,200808100,9.299567
"39",9.78,10.55,9.63,9.98,244693300,9.568008
"40",10.12,10.57,9.95,10.29,265516900,9.92043
"41",10.28,11.15,9.55,9.94,264358600,9.583
"42",10.01,11.48,9.83,11.38,224309800,10.971282
"43",11.37,12.28,10.99,12.17,174045100,11.788816
"44",12.09,12.65,10.56,10.85,328614600,10.510161
"45",10.88,11.09,10.26,10.99,274737700,10.645776
"46",10.92,11.4,10.5,11.3,219809400,11.009408
"47",11.35,12.27,11.01,12.09,240469100,11.779092
"48",12.1,12.37,11.7,12.35,161104100,12.032406
"49",12.37,13.01,12.22,12.44,151359700,12.180755
"50",12.23,13.38,12.09,13.26,212659500,12.983667
"51",13.18,13.88,12.86,13.81,140390600,13.522205
"52",13.86,14.15,13.09,13.23,170409500,13.016132
"53",13.24,13.64,12.14,13.28,226366100,13.065324
"54",13.27,14.03,13.06,13.96,113160600,13.734332
"55",13.9,14.36,13.17,13.86,138319700,13.696975
"56",13.88,14.15,12.94,13.17,136224500,13.015091
"57",13.17,14.02,13,13.65,136680900,13.489445
"58",13.65,13.72,12.53,12.85,174745300,12.768302
"59",12.85,13.33,11.28,11.5,221142700,11.426885
"60",11.55,11.86,11.12,11.42,210114900,11.347393
"61",11.44,11.62,10.93,11.26,57642600,11.188411
