"","stock_data$KMX.Open","stock_data$KMX.High","stock_data$KMX.Low","stock_data$KMX.Close","stock_data$KMX.Volume","stock_data$KMX.Adjusted"
"1",19.6,22.040001,19.379999,19.9,94902300,19.9
"2",19.950001,21.809999,18.620001,21.1,73632800,21.1
"3",21.469999,21.85,19.75,19.93,44638700,19.93
"4",20.24,27.99,20.24,27.860001,64817300,27.860001
"5",27.950001,31.09,27.25,30.99,54006100,30.99
"6",31.139999,34.369999,30.33,32.900002,35826700,32.900002
"7",33.380001,36,31.639999,31.879999,52882000,31.879999
"8",31.870001,34.48,31.1,32.650002,40065300,32.650002
"9",32.849998,37.02,32.57,35.369999,32095300,35.369999
"10",35.59,35.98,31.299999,32.099998,53864300,32.099998
"11",32.380001,34.849998,30.950001,34.700001,44581100,34.700001
"12",34.799999,35,28.389999,29.66,55496400,29.66
"13",29.48,33.619999,26.370001,33.07,73798600,33.07
"14",33.02,34.810001,31.440001,31.969999,48853200,31.969999
"15",32.25,32.349998,25.18,28.110001,66588800,28.110001
"16",27.299999,29.790001,23.24,23.85,80568600,23.85
"17",23.639999,31.73,22.77,30.059999,62483300,30.059999
"18",29,31.219999,26.65,28.76,44809500,28.76
"19",28.6,32.009998,28.440001,30.48,46348400,30.48
"20",30.82,33.48,29.85,30.43,40452800,30.43
"21",30.75,31.219999,29.030001,30.690001,34581700,30.690001
"22",30.73,35.169998,30.709999,34.650002,32017300,34.650002
"23",34.529999,35.130001,30.610001,30.870001,39267200,30.870001
"24",30.870001,31.73,27.280001,28.209999,46986400,28.209999
"25",27.620001,28.879999,24.83,25.940001,56792900,25.940001
"26",26.049999,28.17,25.790001,27.83,43346900,27.83
"27",28.040001,30.68,26.6,30.59,29055700,30.59
"28",30.57,33.380001,28.040001,28.299999,44393300,28.299999
"29",28.360001,34,28.290001,33.75,56655700,33.75
"30",33.810001,36.549999,32.790001,36.259998,37990400,36.259998
"31",36.599998,38.240002,34.209999,37.540001,46702700,37.540001
"32",38.200001,40.110001,36.950001,39.419998,33836300,39.419998
"33",39.459999,40.220001,37.810001,38.41,29937700,38.41
"34",38.150002,41.939999,38.130001,41.700001,23884800,41.700001
"35",41.669998,46.84,40.34,46.040001,49682400,46.040001
"36",45.82,48.860001,45.099998,46.77,29667400,46.77
"37",46.700001,48.41,42.209999,46.16,37999200,46.16
"38",46.66,49.810001,46.27,49.040001,20812600,49.040001
"39",49.509998,50,47.119999,47.560001,15524500,47.560001
"40",48.25,52.470001,47.59,48.470001,30642000,48.470001
"41",48.57,49.439999,45.91,46.990002,28564100,46.990002
"42",47.009998,51,47.009998,50.349998,21481400,50.349998
"43",50.389999,53.080002,46.610001,47.02,35422700,47.02
"44",47.02,47.25,43.900002,45.110001,51604600,45.110001
"45",45.369999,48.75,45.099998,48.43,30885500,48.43
"46",47.959999,49.68,44.900002,46.799999,31878300,46.799999
"47",47,48.299999,42.540001,43.779999,40140600,43.779999
"48",43.869999,45.889999,43,44.310001,27678300,44.310001
"49",44.380001,53.669998,43.799999,52.009998,52049000,52.009998
"50",52.09,53.700001,48.639999,48.810001,29548800,48.810001
"51",48.990002,52.509998,48.990002,52.400002,18828900,52.400002
"52",52.400002,54.279999,46.439999,46.450001,44330200,46.450001
"53",46.389999,56.869999,43.27,55.91,62127500,55.91
"54",55.880001,57.279999,54.040001,56.98,27595100,56.98
"55",56.639999,68.709999,55.860001,66.580002,48900300,66.580002
"56",67.040001,67.709999,61.830002,62.099998,29940300,62.099998
"57",62.209999,68.410004,60.830002,67.110001,21554300,67.110001
"58",67.32,69.599998,61.98,69.010002,37444700,69.010002
"59",69.010002,75.400002,67.669998,68.110001,38667100,68.110001
"60",68.25,73.199997,68.169998,71.040001,25877700,71.040001
"61",71.440002,73.760002,70.830002,73.150002,9039100,73.150002
