"","stock_data$SLB.Open","stock_data$SLB.High","stock_data$SLB.Low","stock_data$SLB.Close","stock_data$SLB.Volume","stock_data$SLB.Adjusted"
"1",57.790001,61.889999,54.849998,55.34,185449300,51.197457
"2",55.290001,61.869999,53.610001,59.66,243164000,55.194078
"3",60.959999,63.720001,52.91,53.330002,204922500,49.524434
"4",54.099998,62.959999,53.900002,61.610001,194584700,57.213581
"5",62.369999,70.230003,60.57,69.889999,211110000,64.902729
"6",70.440002,77.790001,69.540001,77.339996,205600100,72.020159
"7",78.300003,84.110001,78.300003,83.5,138012400,77.756447
"8",84,89,79.739998,88.989998,176899000,82.868815
"9",89.480003,95.639999,87.25,93.419998,148120400,87.235426
"10",94.489998,95.290001,81.93,93.260002,213074900,87.086022
"11",94.099998,95,83.599998,89.75,151112400,83.808388
"12",89.940002,90.919998,80.830002,85.720001,194432500,80.280778
"13",85.730003,86.790001,79.550003,86.400002,178092400,80.91763
"14",85.889999,95.529999,85.25,90.370003,163226000,84.635721
"15",91.860001,92.220001,72.099998,78.120003,289643700,73.400567
"16",78.190002,79.540001,58.77,59.73,276280600,56.121552
"17",58.900002,76.93,54.790001,73.470001,279624800,69.031484
"18",69.809998,77.150002,66.059998,75.330002,197451300,71.035672
"19",75.160004,77.650002,64.949997,68.309998,176202700,64.415857
"20",70.400002,77.75,67.120003,75.169998,187857400,70.88479
"21",76.349998,80.779999,75.110001,77.610001,140095600,73.444437
"22",78.139999,78.889999,68.330002,69.93,205842900,66.176645
"23",69.599998,74.919998,66.449997,74.139999,176934400,70.160681
"24",74.160004,76.190002,61.23,63.25,174704700,60.100985
"25",61.630001,67.690002,59.119999,64.910004,186287800,61.678342
"26",64.860001,73.470001,64.190002,71.260002,153883200,67.712194
"27",71.410004,75.68,69.849998,72.379997,127813300,69.031651
"28",72.120003,78.470001,70.669998,72.330002,124213800,68.983969
"29",72.989998,75.699997,69.059998,69.529999,112925200,66.313495
"30",69.769997,71.889999,66.849998,71.620003,129413600,68.573432
"31",72,73.510002,67.599998,69.300003,144038800,66.35212
"32",70.800003,79.989998,70.120003,78.050003,135619900,74.729913
"33",78.940002,82,74.989998,77.849998,113866100,74.825572
"34",77.349998,79.739998,73.010002,74.889999,129284000,71.980567
"35",75.080002,77.559998,69.080002,74.43,161440400,71.538438
"36",73.93,77.839996,73.019997,73.029999,147643500,70.192826
"37",73.190002,74.790001,70.25,71.660004,141359200,69.172519
"38",72.190002,85.019997,71.839996,81.330002,134428800,78.506849
"39",82.349998,83.699997,79.800003,80.940002,109914600,78.431237
"40",81.690002,89.720001,81.68,88.360001,126421200,85.62125
"41",87.989998,94.910004,86.300003,93.720001,144533400,90.815115
"42",93.949997,94.809998,86.790001,88.419998,110928000,85.679388
"43",88.639999,90.260002,84.910004,90.110001,115269400,87.627198
"44",89.480003,92.110001,85.769997,87.57,141281400,85.157182
"45",87.800003,93.839996,85.889999,93,107576100,90.840141
"46",92.260002,98.449997,88.879997,97.5,132230200,95.235631
"47",97.190002,103.580002,96.660004,101.550003,134874700,99.191576
"48",101.580002,104.209999,98.339996,104.040001,91945700,101.623745
"49",104.07,118.129997,102.910004,117.949997,131473600,115.655348
"50",118.300003,118.760002,107.940002,108.389999,119984300,106.281335
"51",107.860001,112,105.389999,109.639999,107623400,107.898806
"52",109.629997,109.93,100.300003,101.690002,139180800,100.075063
"53",101.410004,102.400002,86,98.660004,247018200,97.093184
"54",98.019997,100.540001,83.25,85.949997,181111800,84.585025
"55",84.529999,88.160004,78.470001,85.410004,238968200,84.446609
"56",84.809998,86.199997,75.599998,82.389999,195353100,81.46067
"57",83.989998,89,82.5,84.160004,155690600,83.696415
"58",83.690002,85.5,79.389999,83.440002,177179000,82.98038
"59",84,95.129997,83.599998,94.610001,188420400,94.088849
"60",94.480003,94.889999,89.57,90.769997,114866700,90.269997
"61",90.190002,92.610001,89.139999,91.629997,45730600,91.629997
