"","stock_data$AZO.Open","stock_data$AZO.High","stock_data$AZO.Low","stock_data$AZO.Close","stock_data$AZO.Volume","stock_data$AZO.Adjusted"
"1",185.910004,198.220001,183.699997,193.220001,9782200,193.220001
"2",193,213,189.380005,211.570007,14399500,211.570007
"3",213.509995,215.210007,203.050003,209.779999,10865100,209.779999
"4",212,231.729996,210.25,228.910004,10943700,228.910004
"5",229.949997,237.929993,227.699997,237.630005,10697800,237.630005
"6",237.690002,260.25,234.339996,259.410004,8311600,259.410004
"7",261.890015,276,255.940002,272.589996,8239000,272.589996
"8",273.48999,273.98999,246.259995,253.529999,12425200,253.529999
"9",254.570007,265.540009,247.360001,257.950012,6055800,257.950012
"10",265.540009,277.5,256.859985,273.559998,8971500,273.559998
"11",274.220001,284.970001,269.679993,282.380005,6611700,282.380005
"12",283.200012,299.600006,273.179993,294,8541300,294
"13",294,296.200012,283.25,294.850006,8679700,294.850006
"14",295.380005,302,282.5,285.450012,5620800,285.450012
"15",287,310.869995,266.25,307,10561000,307
"16",304.309998,337.230011,304.309998,319.190002,10753300,319.190002
"17",318.420013,333.779999,307.160004,323.589996,7927800,323.589996
"18",318.579987,341.890015,315.26001,328.380005,5052900,328.380005
"19",329.01001,343.899994,322.420013,324.970001,6731500,324.970001
"20",327.720001,351.220001,313.109985,347.880005,9248000,347.880005
"21",348.809998,377.779999,347.200012,374.480011,6180900,374.480011
"22",375.119995,386,371.799988,371.799988,7847200,371.799988
"23",377.230011,399.100006,371.649994,396.160004,9387500,396.160004
"24",393.369995,399.029999,355.059998,380.26001,12722000,380.26001
"25",380.649994,391.899994,353.380005,367.170013,10984900,367.170013
"26",366.220001,387.820007,357.279999,375.230011,7452200,375.230011
"27",377.559998,379.429993,353.48999,361.640015,9396000,361.640015
"28",357.730011,378.519989,351.269989,369.670013,15320300,369.670013
"29",362.339996,382.51001,358.309998,375,10047800,375
"30",376,390.109985,367.880005,383.769989,7721800,383.769989
"31",384,384.25,345.299988,354.429993,11548100,354.429993
"32",357,373.450012,341.980011,369.700012,9453500,369.700012
"33",370.570007,387.380005,365.51001,380.149994,11100600,380.149994
"34",379.130005,397.100006,375.290009,396.769989,6184300,396.769989
"35",396.01001,409.25,375.119995,409.089996,6907600,409.089996
"36",409.190002,435.359985,401.929993,408.829987,5462500,408.829987
"37",408.350006,429.809998,404.869995,423.690002,4919700,423.690002
"38",424.440002,452.190002,421.480011,448.579987,4165800,448.579987
"39",447.579987,452.149994,415.529999,419.940002,5163700,419.940002
"40",421.450012,428.049988,408.899994,422.730011,6435300,422.730011
"41",421.859985,437.5,413.320007,434.690002,5737300,434.690002
"42",436.01001,470.470001,430,461.600006,4084600,461.600006
"43",460.519989,484.160004,454.880005,477.940002,6160800,477.940002
"44",477.670013,508.98999,472.51001,495.059998,7089800,495.059998
"45",496.940002,561.619995,481.299988,538.440002,7023700,538.440002
"46",536.539978,546.969971,519.599976,537.099976,6567400,537.099976
"47",539.950012,541,510.190002,533.890015,5197500,533.890015
"48",529.119995,546.700012,516.789978,532.5,4760900,532.5
"49",532.5,541.580017,520.25,536.23999,3963000,536.23999
"50",537,540.48999,505.320007,517.030029,4439300,517.030029
"51",515.070007,543.630005,512.039978,538.840027,2993100,538.840027
"52",534.669983,543.059998,500.209991,509.660004,5524700,509.660004
"53",509.660004,556.650024,491.929993,553.52002,5878300,553.52002
"54",556,583,545,577.710022,5571300,577.710022
"55",575.97998,627.299988,571.27002,619.109985,6484500,619.109985
"56",623.97998,623.97998,569.539978,596.960022,6223200,596.960022
"57",600.51001,651.950012,586.25,642.679993,4375500,642.679993
"58",642.419983,694.450012,640,682.159973,6895000,682.159973
"59",687,705,671.359985,672.659973,6046300,672.659973
"60",675.059998,701.27002,668.140015,673.619995,5567300,673.619995
"61",676.97998,683.140015,668.400024,681.580017,2014500,681.580017
