"","stock_data$DPS.Open","stock_data$DPS.High","stock_data$DPS.Low","stock_data$DPS.Close","stock_data$DPS.Volume","stock_data$DPS.Adjusted"
"1",36.52,38.5,36.389999,37.389999,55771900,32.166715
"2",37.490002,40.240002,36.400002,37.549999,69935200,32.304363
"3",38.029999,38.299999,36.009998,36.82,51252900,31.676342
"4",37.080002,38.77,33.599998,35.52,63092100,30.774061
"5",35.560001,37.009998,33.66,36.59,45307600,31.701094
"6",36.860001,38.23,35.900002,36.630001,32234700,31.735751
"7",36.939999,38.040001,35.119999,35.16,39432700,30.667986
"8",35.330002,36.720001,34.75,35.43,40359900,30.903491
"9",35.630001,36.59,33.68,36.060001,41716000,31.453004
"10",36.220001,38.25,36.09,37.16,45246300,32.633019
"11",37.349998,40.43,36.200001,39.200001,43367300,34.424499
"12",39.400002,42.439999,38.91,41.200001,42281900,36.180851
"13",41.150002,42.419998,39.549999,41.93,41800100,37.113578
"14",41.849998,43.130001,37.57,37.759998,39887800,33.422577
"15",38.009998,38.59,34.369999,38.48,51587800,34.059873
"16",38.389999,39.040001,36.349998,38.779999,44639800,34.616846
"17",38.509998,40.25,36.34,37.450001,42764500,33.429627
"18",36.889999,37.790001,34.650002,36.529999,37316900,32.60839
"19",36.610001,40.060001,36.540001,39.48,30947900,35.54275
"20",39.869999,39.98,36.509998,38.82,34099600,34.948571
"21",38.91,41.77,37.73,38.049999,38974300,34.255361
"22",38.169998,40.259998,37.360001,40.209999,50475500,36.521222
"23",40.23,41.029999,38.25,40.580002,46807200,36.857281
"24",40.459999,42.049999,39.59,41.259998,51272800,37.474897
"25",40.810001,43.880001,40.5,43.75,43907700,40.051544
"26",43.610001,45.84,42.34,45.580002,29141900,41.726845
"27",45.689999,45.849998,44.459999,44.810001,23218600,41.021937
"28",44.77,45.52,43.43,44.529999,30131900,41.077072
"29",44.459999,45.299999,42.459999,42.849998,33296500,39.527341
"30",42.880001,44.959999,42.25,44.849998,29211400,41.372258
"31",45.009998,46.060001,43.580002,44.18,21440300,41.063235
"32",44.799999,45.990002,44.119999,45.07,23277300,41.890447
"33",45.360001,46.369999,42.099998,43.619999,42709300,40.54274
"34",43.619999,47.029999,43.290001,46.950001,40006300,44.014604
"35",46.900002,50.290001,45.740002,48.830002,32454300,45.777064
"36",48.66,50.369999,45.970001,45.98,28033000,43.105249
"37",46.110001,47.650002,44.700001,45.93,26641800,43.409347
"38",46.209999,48.310001,45.799999,46.740002,22164100,44.174895
"39",47.049999,47.650002,44.48,44.759998,23599800,42.303555
"40",45.009998,46.110001,43.900002,44.82,27190700,42.726684
"41",44.779999,47.869999,43.18,47.349998,38120100,45.138519
"42",47.450001,49.23,46.98,48.259998,18226300,46.006018
"43",48.470001,49.150002,47.060001,48.720001,20780500,46.812758
"44",48.860001,49.860001,47.279999,47.880001,29169000,46.005642
"45",47.880001,52.66,46.880001,52.110001,47543700,50.070049
"46",51.84,54.59,51.130001,54.459999,40363900,52.73609
"47",54.389999,55.59,50.98,55.419998,45596600,53.6657
"48",55.5,58.16,55.07,57.700001,24235400,55.873531
"49",57.759998,60.5,56.82,58.580002,33819900,57.127982
"50",58.75,61.919998,58.07,58.759998,35287600,57.303517
"51",58.779999,63.009998,58.580002,62.919998,32328600,61.360403
"52",62.82,65.43,61.759998,64.309998,29234200,63.12869
"53",64.230003,69.879997,60.650002,69.25,40370100,67.97795
"54",69.089996,74.279999,68.839996,74,28899700,72.640697
"55",72.839996,73.980003,69.389999,71.68,31956100,70.770611
"56",71.68,80.040001,70.779999,77.269997,29369500,76.289688
"57",77.43,81.449997,76.150002,78.790001,31011500,77.790409
"58",78.93,79.980003,74.809998,78.480003,31228800,77.971221
"59",78.610001,79.980003,74.230003,74.580002,31261800,74.096503
"60",74.830002,78.470001,74.720001,76.639999,21402100,76.143145
"61",76.730003,77.07,72.779999,74.040001,8200000,73.560003
