"","stock_data$RL.Open","stock_data$RL.High","stock_data$RL.Low","stock_data$RL.Close","stock_data$RL.Volume","stock_data$RL.Adjusted"
"1",81.699997,85,72.510002,72.959999,32978000,69.737767
"2",73.32,82.57,71.120003,79.010002,24888200,75.520576
"3",80.580002,87.300003,74.5,75.739998,27561200,72.394989
"4",76.879997,91.760002,76.879997,89.860001,18163800,85.985792
"5",90.790001,97.790001,89.339996,96.879997,18490500,92.70313
"6",97.330002,110.449997,95.160004,109.239998,22918800,104.530243
"7",111.279999,115.449997,110.209999,110.919998,15546000,106.232421
"8",112.080002,114.540001,102.330002,107.18,17440300,102.650479
"9",107.900002,128.559998,105.330002,126.709999,20992600,121.355122
"10",126.910004,127.970001,116.650002,123.650002,19472700,118.616508
"11",124.519997,134.139999,122.489998,130.770004,11186500,125.446673
"12",131.520004,136.5,114.599998,126.769997,32370300,121.609496
"13",126.120003,133.589996,118.730003,132.610001,29027300,127.407925
"14",132.100006,141.369995,131.5,135.070007,14489900,129.77143
"15",136.919998,141.710007,105.110001,137.110001,47926800,131.731397
"16",136.759995,154.619995,126.190002,129.699997,31223100,124.779825
"17",126.910004,164.550003,121.300003,158.789993,25096300,152.766292
"18",154.350006,160.550003,138.080002,141.860001,26716500,136.478539
"19",140.889999,152,135.350006,138.080002,17250700,133.031114
"20",140.839996,153.119995,136.919998,152,18437400,146.442128
"21",152.860001,178.470001,152.25,173.729996,22647400,167.377568
"22",174.869995,182.479996,169.589996,174.330002,13907900,168.146577
"23",174.440002,179,162.419998,172.270004,13215800,166.159647
"24",172.389999,177.759995,141.119995,148.800003,31316100,143.522119
"25",145.679993,149.449997,134.479996,140.059998,23306900,135.476446
"26",140.160004,154.139999,134.289993,144.339996,25066900,139.616379
"27",145.559998,160.759995,136.589996,158.649994,24713200,153.458073
"28",158.550003,164.279999,148.059998,151.229996,17172000,146.668167
"29",151.600006,165.410004,150.660004,153.690002,16117100,149.053968
"30",155,164.770004,148.179993,157.089996,15809700,152.351402
"31",158.179993,159.460007,144.139999,149.919998,14878000,145.785157
"32",152.75,170.320007,149.25,166.479996,21467000,161.888424
"33",165.789993,179.899994,160.710007,173.470001,19903100,168.685643
"34",172.550003,178.690002,165.770004,169.309998,12850200,165.034624
"35",169.119995,181.830002,165.330002,181.580002,11426100,176.99479
"36",181.309998,192.029999,174.839996,175.089996,14897800,170.668668
"37",175.240005,179.960007,165.729996,173.740005,11258600,169.751576
"38",174.179993,183.550003,170.889999,182.059998,13137000,177.880572
"39",183.850006,189.800003,165,165.410004,15755200,161.6128
"40",167.990005,169.410004,161.979996,164.729996,19596600,161.339097
"41",165.639999,167.839996,157.009995,165.639999,17964200,162.230369
"42",166.550003,181.070007,166.440002,175.229996,21304900,171.622959
"43",175.080002,178.369995,169.860001,176.570007,12562800,173.381558
"44",175.440002,178.589996,155.300003,156.889999,18153500,154.056926
"45",156.25,164.399994,146,161.080002,37032000,158.171267
"46",159.130005,165,155.850006,160.929993,20060200,158.480276
"47",161.100006,164.75,149.009995,151.369995,17852800,149.065803
"48",151.589996,156.990005,141.929993,153.479996,24898000,151.143685
"49",153.580002,161.110001,152,160.690002,16908400,158.696206
"50",161.149994,164.009995,155.639999,155.860001,13227300,153.926133
"51",155.970001,170.830002,152.220001,169.199997,18535200,167.100611
"52",169.289993,174.979996,163.100006,164.729996,17334300,163.117829
"53",164.800003,168.440002,153.389999,164.839996,22364700,163.226753
"54",164.75,185.139999,162.309998,184.899994,14869200,183.090428
"55",183.830002,187.490005,175.199997,185.160004,14719100,183.80682
"56",185.979996,186.669998,164.490005,166.889999,19356700,165.670336
"57",166.440002,171.270004,133.5,137.410004,37164100,136.405786
"58",137.850006,138.589996,127.290001,131.5,18886200,131.028873
"59",131.570007,141.080002,130.029999,133.410004,17571200,132.932034
"60",134.110001,136.860001,127.769997,130.399994,20754400,129.932808
"61",130.770004,138.050003,129.779999,135.580002,7504900,135.094257
