"","stock_data$CNP.Open","stock_data$CNP.High","stock_data$CNP.Low","stock_data$CNP.Close","stock_data$CNP.Volume","stock_data$CNP.Adjusted"
"1",13.17,14.15,13.03,13.16,89640300,10.691878
"2",13.11,14.64,12.96,14.23,74950400,11.561202
"3",14.36,15.08,14.19,14.79,79556000,12.177273
"4",14.93,15.98,14.85,15.72,85588900,12.942984
"5",15.84,16.620001,15.69,16.559999,77225800,13.634593
"6",16.66,17,15.44,15.63,80334100,13.021943
"7",15.78,16.17,15.53,15.72,62057600,13.096926
"8",15.81,16.26,15.48,16.15,72272300,13.455174
"9",16.23,16.35,15.4,15.86,73619600,13.377164
"10",15.84,17.76,15.09,17.559999,142470200,14.811034
"11",17.719999,18.620001,17.1,18.6,73998600,15.688226
"12",18.68,19.389999,18.360001,19.33,85383100,16.474642
"13",19.559999,19.57,18.440001,19.35,113054300,16.491688
"14",19.440001,20.360001,19.139999,19.58,67264900,16.687713
"15",19.780001,20.139999,17.110001,20.01,132268500,17.232556
"16",20.110001,20.450001,18.530001,19.620001,99517500,16.896689
"17",19.6,21.389999,18.700001,20.84,97538100,17.947349
"18",20.309999,21.469999,18.59,19.9,96877000,17.310932
"19",19.82,20.459999,18.74,20.09,60774500,17.476213
"20",20.309999,20.35,18.07,18.469999,86162500,16.066981
"21",18.58,19.68,18.469999,19.49,131046600,17.138749
"22",19.379999,19.74,18.879999,19.719999,99135100,17.341001
"23",19.73,20.24,18.91,20.209999,71120300,17.771888
"24",20.26,20.459999,19.52,20.23,108171400,17.969706
"25",20.01,21,19.65,20.67,68743100,18.360545
"26",20.76,21.27,20.290001,21.059999,60105500,18.70697
"27",21.08,21.440001,20.139999,20.389999,75509500,18.290508
"28",20.41,21.559999,20.299999,21.299999,55853000,19.106808
"29",21.33,21.75,20.870001,21.67,45970700,19.438711
"30",21.66,21.809999,18.950001,19.73,76593500,17.880316
"31",19.73,20.15,18.790001,19.25,56367600,17.445316
"32",19.52,20.610001,19.34,20.440001,55367500,18.523754
"33",20.530001,21.530001,20.32,21.43,77025800,19.613818
"34",21.48,24.049999,21.27,23.959999,82203000,21.929401
"35",23.889999,24.700001,23.42,24.68,58115100,22.588382
"36",24.68,24.73,22.809999,23.18,64338600,21.399464
"37",23.190001,23.9,22.219999,23.49,58754800,21.685652
"38",23.780001,24.99,23.08,24.82,42860300,22.91349
"39",25.379999,25.65,22.73,22.93,79203000,21.352604
"40",23.09,24.629999,22.49,23.969999,63452000,22.32106
"41",24.02,25.040001,23.75,24.6,57625200,22.907722
"42",24.639999,25.299999,22.940001,23.43,115588200,22.001108
"43",23.17,23.51,22.459999,23.18,74471500,21.766355
"44",23.17,23.870001,22.690001,23.4,73286800,21.972937
"45",23.469999,24.700001,22.620001,23.65,88559200,22.434319
"46",23.530001,24.27,22.940001,23.690001,99069300,22.472264
"47",23.719999,24.959999,23.190001,24.76,101463300,23.487262
"48",25.23,25.549999,23.389999,24.120001,74687100,23.112556
"49",24.09,25.75,23.6,25.540001,95421600,24.473246
"50",25.58,25.620001,24.299999,24.32,55844300,23.304202
"51",24.290001,24.91,23.469999,24.84,69323900,24.037039
"52",24.85,25.09,23.73,24.469999,73068800,23.678999
"53",24.52,24.84,21.07,24.549999,111102900,23.756412
"54",24.629999,25.559999,23.85,23.940001,78821200,23.386127
"55",23.85,24.379999,21.41,23.43,94944100,22.887926
"56",23.450001,23.66,22.209999,23.09,71171700,22.555792
"57",23.120001,23.299999,20.629999,20.790001,86484000,20.53272
"58",20.809999,21.469999,20.23,20.41,88478100,20.157421
"59",20.4,21.48,20.280001,20.969999,69412700,20.710491
"60",21.030001,21.290001,19.629999,20.370001,75780600,20.370001
"61",20.4,20.42,19.059999,19.389999,31738000,19.389999
