"","stock_data$IR.Open","stock_data$IR.High","stock_data$IR.Low","stock_data$IR.Close","stock_data$IR.Volume","stock_data$IR.Adjusted"
"1",37.000004,40.649995,34.419996,34.489995,99323700,25.707783
"2",34.830001,38.369992,33.110003,37.460002,104047500,27.921534
"3",38.059999,38.339994,32.42,32.530001,65066100,24.246863
"4",32.809999,36.399997,32.809999,35.709994,65511300,26.671708
"5",36.139994,40.130004,35.639994,39.309995,80649000,29.36054
"6",39.499999,43.000003,39.11,40.999995,205181700,30.622797
"7",41.66,47.500003,41.66,47.089998,79725300,35.227332
"8",47.470005,47.809999,45.270003,47.199999,80640300,35.309622
"9",47.430001,49.069999,43.969999,45.300001,106068100,33.888261
"10",45.499996,48.870004,44.109998,48.309999,80408600,36.195077
"11",48.599997,51.570006,45.630003,50.499996,62532100,37.835879
"12",50.429994,52.329992,47.759994,49.900001,64820900,37.386348
"13",49.569998,49.719998,42.750003,45.410001,95448100,34.115498
"14",45.469998,47.219991,36.770001,37.42,131204500,28.112792
"15",37.869995,37.909997,27.109995,33.510005,231733500,25.175302
"16",33.449997,36.939996,26.130002,28.089997,162368900,21.179584
"17",28.000002,32.399994,25.859996,31.130002,174210300,23.471719
"18",29.940002,33.180003,29.059995,33.119995,122485900,24.972154
"19",32.809999,34.779997,29.679999,30.47,85447400,23.057477
"20",31.240003,36.270001,31.240003,34.940002,89685300,26.44005
"21",35.410001,41.449999,34.959997,39.880006,117668300,30.178285
"22",40.020005,41.979997,37.339998,41.350004,103861900,31.421736
"23",41.280002,42.970005,38.559996,42.519996,90261500,32.310809
"24",42.549994,45.619997,39.959995,41.31,120571400,31.391337
"25",40.480003,42.509995,38.239999,42.180006,85295300,32.182291
"26",42.379997,43.17,39.209998,42.409995,81712800,32.357766
"27",42.619995,47.709999,41.130003,46.759995,69308500,35.676708
"28",46.05,47.31,43.860003,44.819998,75267600,34.31619
"29",44.900001,47.640002,43.849997,47.030002,68158300,36.008267
"30",47.009995,48.879995,44.650001,48.779995,56259700,37.348141
"31",48.959998,50.029994,46.509996,47.959999,60861000,36.84406
"32",49.489996,51.750004,48.059999,51.390003,42900800,39.479075
"33",51.989998,53.900002,50.899995,52.650003,51361300,40.447038
"34",52.21,56.769997,51.539994,55.009997,43830400,42.42589
"35",55.020003,57.140003,52.339998,53.800002,63218100,41.492694
"36",53.489997,58.919995,52.030002,57.530002,49235700,44.369418
"37",57.699999,58.889996,53.389997,55.520002,56694000,42.978546
"38",55.890004,63.349998,55.319993,61.049995,49649100,47.259365
"39",61.780002,62.559995,58.919995,59.139996,41557300,45.780817
"40",60.060002,66.619997,60.060002,64.94,43609700,50.434071
"41",65.219998,68.940001,61.780002,67.529997,58493600,52.607919
"42",67.629997,71.750004,66.489999,71.420002,57852300,55.638351
"43",56.900002,61.970001,54.830002,61.599998,49455200,60.081314
"44",61.25,63.419998,57.66,58.790001,44285900,57.340594
"45",58.580002,61.580002,56.119999,61.139999,56566000,59.632656
"46",60.400002,62.529999,54.41,57.240002,53926200,56.063071
"47",58.740002,60.66,54.27,59.799999,63326900,58.570431
"48",59.759998,60.299999,56.599998,59.82,37764400,58.59002
"49",59.830002,64.110001,59.02,62.509998,43315300,61.468788
"50",62.869999,64.769997,58.630001,58.790001,42503500,57.810754
"51",58.400002,62.310001,57.950001,60.200001,36188700,59.197268
"52",60.509998,61.299999,56.23,56.360001,40253700,55.654168
"53",56.139999,62.82,52.470001,62.619999,67441200,61.835768
"54",62.59,64.169998,60.639999,63.060001,28438700,62.27026
"55",62.860001,65.07,60.57,63.389999,32876600,62.845673
"56",63.490002,66.540001,60.150002,66.400002,43029300,65.829828
"57",66.5,69.010002,64.949997,67.190002,37584200,66.613046
"58",67.190002,68.809998,65.739998,68.080002,34240500,67.792241
"59",68.040001,69.419998,65.769997,65.839996,36553600,65.561704
"60",65.980003,70.93,65.470001,68.779999,34611100,68.489279
"61",69.029999,69.709999,68.25,69.190002,14010000,69.190002
