"","stock_data$RF.Open","stock_data$RF.High","stock_data$RF.Low","stock_data$RF.Close","stock_data$RF.Volume","stock_data$RF.Adjusted"
"1",6.92,7.37,6.55,6.58,303267900,6.220876
"2",6.59,7.72,6.12,7.33,504747600,6.929942
"3",7.49,7.76,6.25,6.43,346937000,6.079062
"4",6.55,7.5,6.5,7.27,327232500,6.882857
"5",7.33,7.62,6.21,6.3,343461900,5.964512
"6",6.35,6.78,5.12,5.38,758750800,5.093503
"7",5.46,7.02,5.43,7,640308600,6.637924
"8",7.16,7.62,6.79,7.1,441587800,6.732751
"9",7.16,8.09,7.13,7.64,334360900,7.24482
"10",7.61,7.81,7.06,7.26,309891700,6.893881
"11",7.33,7.45,6.83,7.34,245957100,6.969846
"12",7.37,7.41,6.73,7.06,263724200,6.703966
"13",7.01,7.02,5.86,6.2,491673700,5.896755
"14",6.17,6.53,5.71,6.09,324413100,5.792136
"15",6.19,6.24,3.84,4.54,643287000,4.317947
"16",4.53,4.64,3.33,3.33,552076500,3.17527
"17",3.32,4.31,2.82,3.93,632437100,3.747391
"18",3.71,4.46,3.51,4.11,610783400,3.919027
"19",4.03,4.45,3.79,4.3,353647200,4.110398
"20",4.39,5.46,4.21,5.22,458248800,4.989832
"21",5.32,6.08,5.23,5.76,370758000,5.506022
"22",5.82,6.69,5.61,6.59,770130700,6.310342
"23",6.56,6.92,5.91,6.74,485739500,6.453976
"24",6.77,6.98,6.08,6.29,473831600,6.023073
"25",6.1,6.8,5.46,6.75,461233500,6.474011
"26",6.82,7.17,6.22,6.96,423298600,6.675424
"27",7.01,7.24,6.68,6.96,296697800,6.675424
"28",6.97,7.73,6.9,7.2,362778800,6.915045
"29",7.25,7.72,6.36,6.52,508122400,6.261958
"30",6.54,6.82,6.19,6.67,376588800,6.406021
"31",6.69,7.19,6.4,7.13,288265700,6.857961
"32",7.32,7.88,7.13,7.78,402232500,7.483161
"33",7.84,8,7.42,7.65,276720100,7.358121
"34",7.6,8.44,7.55,8.19,325787600,7.887218
"35",8.19,8.49,7.62,8.49,316076400,8.176127
"36",8.46,9.48,8.37,9.13,298486100,8.792467
"37",9.16,9.71,8.82,9.53,386519400,9.207639
"38",9.62,10.52,9.61,10.01,389178400,9.671403
"39",10.12,10.31,9.34,9.4,296301100,9.082036
"40",9.53,9.75,8.84,9.26,310982500,8.974644
"41",9.26,10.13,9.19,9.63,435481400,9.333242
"42",9.62,9.98,9.25,9.73,270740600,9.43016
"43",9.74,9.93,9.35,9.89,253027900,9.615404
"44",9.86,11.08,9.83,10.17,414213100,9.887629
"45",10.19,10.77,9.79,10.64,234877900,10.34458
"46",10.56,11.54,10.46,11.11,343798200,10.831618
"47",11.12,11.28,9.96,10.14,306662100,9.885923
"48",10.19,10.56,9.8,10.19,254081200,9.93467
"49",10.18,10.91,10.15,10.62,298113500,10.401786
"50",10.69,10.96,9.94,10.14,281709200,9.931649
"51",10.08,10.31,9.65,10.15,220187900,9.941443
"52",10.18,10.63,9.95,10.04,305591400,9.883119
"53",10.03,10.14,8.85,9.93,469646800,9.774838
"54",9.89,10.29,9.88,10.07,237460500,9.91265
"55",10.01,10.83,9.73,10.56,322211200,10.44497
"56",10.65,10.68,8.59,8.7,447487300,8.60523
"57",8.78,9.73,8.7,9.61,275186200,9.505317
"58",9.61,9.98,9.17,9.45,395032700,9.396256
"59",9.45,9.91,9.28,9.83,356040300,9.774095
"60",9.86,10.41,9.75,10.09,286520100,10.032617
"61",10.14,10.75,9.96,10.65,155628200,10.65
