"","stock_data$MO.Open","stock_data$MO.High","stock_data$MO.Low","stock_data$MO.Close","stock_data$MO.Volume","stock_data$MO.Adjusted"
"1",20.299999,20.889999,19.530001,20.040001,322418100,15.442519
"2",20.15,22.25,19.889999,22.16,294492200,17.076158
"3",22.379999,22.99,22.07,22.32,273876900,17.199452
"4",22.6,24.389999,22.450001,24.02,313424800,18.809258
"5",24.01,25.42,23.66,25.42,253409400,19.905551
"6",25.540001,26.219999,23.98,24,260029800,18.793596
"7",24.219999,25.33,23.700001,24.620001,231529600,19.573554
"8",24.709999,24.77,23.34,23.51,250137100,18.691074
"9",23.65,25.4,23.48,25.370001,214812400,20.169824
"10",25.48,26.27,24.190001,26.030001,332070100,21.005861
"11",25.889999,27.15,25.809999,26.84,209950700,21.65952
"12",26.82,28.09,26.620001,28.059999,238278400,22.644043
"13",28.09,28.129999,25.92,26.41,286293700,21.616636
"14",26.35,27.09,26.01,26.299999,216211100,21.526601
"15",26.530001,27.41,23.200001,27.190001,434740800,22.255068
"16",27.26,27.360001,25.27,26.809999,373892100,22.288356
"17",26.709999,28.139999,25.940001,27.549999,280029000,22.903551
"18",27.120001,28.719999,26.959999,28.690001,244133200,23.851286
"19",28.58,30.4,28.129999,29.65,322979000,24.987377
"20",28.65,29.190001,28,28.4,247894500,23.933946
"21",28.49,30.280001,28.33,30.1,217806100,25.366612
"22",30.17,31,29.77,30.870001,263837800,26.370717
"23",30.74,32.25,30.74,32.209999,173930800,27.515411
"24",32.25,32.619999,31.42,32.189999,204621000,27.498326
"25",31.950001,34.599998,31.540001,34.549999,302997700,29.88083
"26",34.57,36.25,34.5,35.970001,183977900,31.108929
"27",36.139999,36.290001,33.02,33.959999,271318500,29.370564
"28",34.02,34.650002,32.720001,33.389999,247822800,29.251854
"29",33.380001,34.25,31.58,31.799999,217821100,27.858909
"30",31.85,33.93,30.01,33.810001,215373000,29.619804
"31",33.93,33.970001,30.940001,31.440001,213926800,27.919663
"32",32.119999,33.919998,31.85,33.68,193119000,29.90885
"33",33.93,35.470001,33.540001,33.549999,179986000,29.793406
"34",33.529999,34.540001,33.34,34.389999,266306100,30.937849
"35",34.189999,36.610001,34.080002,36.509998,193052600,32.845038
"36",36.509998,37.610001,36.009998,36.099998,172781000,32.476194
"37",36.060001,36.599998,34.25,34.990002,246418200,31.865364
"38",35.220001,37.48,35.009998,35.060001,168870700,31.929113
"39",35.27,35.689999,33.119999,33.880001,179015500,30.854487
"40",34.07,36,33.720001,34.349998,200227000,31.71239
"41",34.27,37.549999,34.23,37.23,169071300,34.371246
"42",37.25,38.099998,36.68,36.98,127007100,34.140443
"43",37.009998,38.580002,36.84,38.389999,189047500,35.888808
"44",38.27,38.380001,34.330002,35.220001,200540900,32.925342
"45",35.169998,36.41,33.799999,36.259998,173222500,33.897581
"46",36.07,37.490002,35.84,37.43,164894300,35.454305
"47",37.450001,40.240002,37.130001,40.110001,173767600,37.992845
"48",40.16,41.619999,39.599998,41.560001,143319700,39.36631
"49",41.630001,43.380001,41.099998,41.939999,153820000,40.179076
"50",41.869999,43.700001,40.59,40.599998,159119900,38.895338
"51",40.369999,43.119999,40.259998,43.080002,98058000,41.271215
"52",43.16,46.200001,42.919998,45.939999,141130400,44.539182
"53",45.98,48.360001,44.59,48.34,168908600,46.866002
"54",48.290001,50.450001,48.290001,50.259998,118509500,48.727455
"55",50.130001,51.669998,48.91,49.27,146215600,48.264033
"56",49.299999,55.18,48.52,53.099998,135616200,52.015832
"57",53.25,56.599998,52.91,56.290001,125971800,55.140703
"58",56.290001,56.700001,49.029999,50.02,181776500,49.491549
"59",50.16,52.990002,49.549999,50.049999,153869000,49.521231
"60",50.119999,52.880001,50.110001,51.200001,110640300,50.659083
"61",51.290001,51.48,47.779999,49.220001,55507500,48.700002
