"","stock_data$CVS.Open","stock_data$CVS.High","stock_data$CVS.Low","stock_data$CVS.Close","stock_data$CVS.Volume","stock_data$CVS.Adjusted"
"1",30.860001,33.5,29.219999,29.32,227525000,27.289826
"2",29.190001,32.09,28.299999,30.690001,241586700,28.648555
"3",31.02,31.25,26.84,26.98,199666100,25.185337
"4",26.860001,31.75,26.860001,31.469999,155904500,29.37667
"5",31.67,32.5,30.120001,30.129999,200383900,28.207056
"6",30.299999,31.690001,29.450001,31,216699200,29.021532
"7",31.440001,35.459999,31.4,34.77,175725700,32.550925
"8",34.939999,35.950001,33.619999,34.200001,180046400,32.131601
"9",34.189999,35.299999,32.080002,33.060001,270624800,31.060548
"10",33.209999,34.32,32.5,34.32,220654500,32.244343
"11",34.25,36.91,34.209999,36.220001,168002400,34.149441
"12",36.41,39.5,35.73,38.689999,183995600,36.478238
"13",38.639999,38.990002,36.110001,37.580002,182263500,35.431695
"14",37.650002,38.82,35.970001,36.349998,154598400,34.387806
"15",36.779999,37.16,31.299999,35.91,271598700,33.971559
"16",35.849998,37.459999,33.439999,33.59,244722500,31.776794
"17",33.509998,37.5,32.279999,36.330002,220514000,34.491548
"18",35.419998,39.400002,35.09,38.84,224388900,36.87453
"19",38.66,41.349998,36.439999,40.779999,203641700,38.716356
"20",41.299999,43.169998,41.009998,41.75,146221600,39.787743
"21",41.98,45.360001,41.93,45.099998,160913700,42.980291
"22",45.07,45.880001,43.93,44.799999,139270800,42.694392
"23",44.200001,45.240002,43.080002,44.619999,155355800,42.682422
"24",44.599998,46.220001,44.34,44.939999,184180100,42.988526
"25",45.400002,46.93,43.299999,46.73,145279000,44.700798
"26",46.889999,48.689999,44.34,45.25,180839500,43.430699
"27",45.549999,46,43.650002,45.549999,165211100,43.718637
"28",45.5,48.459999,45.43,48.419998,108483600,46.473246
"29",48.509998,49.23,45.59,46.400002,123727000,44.690619
"30",46.470001,47.779999,44.330002,46.509998,151124300,44.796563
"31",46.529999,49.799999,45.810001,48.349998,130142000,46.568778
"32",49.02,52.73,49,51.200001,126710000,49.527634
"33",51.630001,52.77,50.209999,51.119999,105734300,49.450246
"34",51.07,56.07,50.880001,54.990002,126012300,53.193841
"35",54.75,58.5,53.939999,58.18,123200500,56.503192
"36",58.970001,60.700001,57.200001,57.580002,116793800,55.920486
"37",57.759998,60.34,55.66,57.18,100908400,55.532013
"38",57.720001,62.360001,57.32,61.490002,77412600,59.939064
"39",62.009998,62.220001,57.07,58.049999,109197700,56.585827
"40",58.439999,61.330002,56.669998,56.75,110503300,55.318617
"41",56.759998,62.91,56.32,62.259998,143629500,60.921338
"42",62.419998,67.639999,61.93,66.959999,100208600,65.520284
"43",67.099998,71.989998,65.449997,71.57,110859300,70.031164
"44",71.160004,71.370003,66.07,67.720001,119291500,66.53313
"45",67.519997,73.620003,64.949997,73.139999,125294600,71.858137
"46",72.589996,76.360001,72.050003,74.860001,117059100,73.547993
"47",74.559998,76,72.370003,72.720001,116832300,71.712324
"48",72.440002,78.489998,72.43,78.32,91921800,77.234724
"49",78.360001,79.43,74.639999,75.370003,79743700,74.325605
"50",75.889999,79.209999,75.419998,76.360001,67772600,75.571678
"51",76.199997,79.82,74.690002,79.449997,77040300,78.629774
"52",79.470001,82.57,79.220001,79.589996,80179600,78.768328
"53",79.449997,87.160004,77.400002,85.809998,123863900,85.210721
"54",86.029999,92,83.610001,91.360001,75256000,90.721965
"55",91.419998,98.620003,88.949997,96.309998,100033200,95.637392
"56",96.519997,101.589996,93.68,98.160004,97903300,97.821219
"57",98.339996,104.519997,97.059998,103.870003,89115700,103.511511
"58",104.099998,105.459999,101.5,103.209999,95688400,102.853786
"59",102.660004,104.449997,99.010002,99.290001,100783700,99.290001
"60",100.93,104.93,97.870003,102.379997,80478700,102.379997
"61",102.900002,103.059998,99.139999,102.129997,26611300,102.129997
