"","stock_data$AN.Open","stock_data$AN.High","stock_data$AN.Low","stock_data$AN.Close","stock_data$AN.Volume","stock_data$AN.Adjusted"
"1",20.940001,21.85,19.33,19.5,34843600,19.5
"2",19.440001,24.74,18.08,24.43,42077700,24.43
"3",24.879999,25.049999,22.379999,22.559999,34760600,22.559999
"4",22.879999,24.75,22.74,23.25,24834900,23.25
"5",23.469999,24.879999,22.219999,23.219999,28042200,23.219999
"6",23.389999,27,23.129999,26.129999,24688700,26.129999
"7",26.549999,28.5,26.049999,28.200001,21087200,28.200001
"8",28.459999,29.969999,27.32,28.709999,17459500,28.709999
"9",28.93,35.040001,28.139999,33.639999,31568700,33.639999
"10",33.779999,36.07,31.9,35.369999,21142800,35.369999
"11",35.650002,36.220001,31.940001,33.91,20274900,33.91
"12",34.029999,35.099998,32.599998,35.099998,12865900,35.099998
"13",34.849998,37.299999,31.07,36.610001,26568600,36.610001
"14",36.509998,40.220001,36.369999,37.610001,16536000,37.610001
"15",37.919998,41.549999,32.18,40.380001,27474600,40.380001
"16",40.209999,41.09,32.630001,32.779999,28207300,32.779999
"17",32.5,41.509998,30.459999,38.939999,20587800,38.939999
"18",37.560001,39.52,32.450001,36.110001,25318300,36.110001
"19",36.119999,37.59,34.389999,36.869999,15191600,36.869999
"20",37.360001,38.27,31.91,35.759998,23844800,35.759998
"21",36.16,37.34,33.790001,34.080002,21529300,34.080002
"22",34.119999,36.040001,32.98,34.310001,21673800,34.310001
"23",34.09,35.849998,31.57,34.580002,19618700,34.580002
"24",34.740002,36.689999,33.970001,36.02,18872900,36.02
"25",35.419998,37.77,33.84,35.279999,13105000,35.279999
"26",35.439999,43.720001,35.439999,39.43,15464200,39.43
"27",39.419998,41.299999,37.18,40.200001,9131400,40.200001
"28",40.290001,43.790001,40.290001,43.669998,12080800,43.669998
"29",43.790001,48.560001,43.419998,44.400002,13157000,44.400002
"30",44.610001,44.919998,38.290001,38.939999,17728900,38.939999
"31",39.099998,40.040001,38.279999,39.700001,18113100,39.700001
"32",40.200001,48.560001,38.93,48.5,20646800,48.5
"33",48.919998,48.919998,42.610001,43.77,12216400,43.77
"34",43.639999,45.919998,43.040001,43.75,10268800,43.75
"35",43.790001,47.490002,40.299999,45.509998,15304000,45.509998
"36",45.32,47.900002,44.66,46.330002,11144500,46.330002
"37",46.18,47.91,41.889999,43.389999,19823300,43.389999
"38",43.799999,47.919998,43.560001,47.900002,20375500,47.900002
"39",48,49.490002,44.919998,46.740002,16689300,46.740002
"40",47.009998,54.490002,46.900002,52.169998,34786500,52.169998
"41",52.240002,53.009998,47.450001,48.23,28084300,48.23
"42",48.25,50.110001,46.619999,49.040001,14994600,49.040001
"43",48.950001,51.68,48.450001,49.689999,14725900,49.689999
"44",49.48,50.400002,46.380001,49.389999,24856500,49.389999
"45",49.560001,53,47.66,52.639999,19659800,52.639999
"46",52.080002,54.139999,51.369999,53.23,14618900,53.23
"47",53.389999,56.099998,51.790001,52.990002,18828100,52.990002
"48",53.18,57.48,52.32,57.169998,20203000,57.169998
"49",56.990002,59.709999,54.669998,59.68,18935500,59.68
"50",59.32,61.290001,53.299999,53.32,20910700,53.32
"51",53.299999,55.16,52.709999,54.25,18666500,54.25
"52",54.32,54.860001,48.900002,50.310001,31753900,50.310001
"53",50.27,58.200001,46.16,57.259998,35903200,57.259998
"54",57.200001,60.279999,55.110001,59.439999,11900000,59.439999
"55",59.299999,61.419998,55.59,60.41,17846000,60.41
"56",60.41,61.060001,55.91,59.619999,17263700,59.619999
"57",59.869999,64.949997,59.009998,61.5,19881400,61.5
"58",61.68,65,59.709999,64.330002,17526000,64.330002
"59",64.190002,67.5,61.189999,61.549999,16828500,61.549999
"60",61.700001,64.25,61.310001,62.41,14695900,62.41
"61",62.16,64.699997,62.130001,64.190002,5916900,64.190002
