"","stock_data$EA.Open","stock_data$EA.High","stock_data$EA.Low","stock_data$EA.Close","stock_data$EA.Volume","stock_data$EA.Adjusted"
"1",15.5,16.629999,14.37,14.4,99052500,14.4
"2",14.34,16.59,14.06,15.93,93954300,15.93
"3",16.129999,17.530001,14.67,15.23,124613400,15.23
"4",15.48,16.870001,15.48,16.450001,77656700,16.450001
"5",16.6,18.059999,15.3,15.83,131260500,15.83
"6",15.82,16.67,14.67,14.91,125558300,14.91
"7",15.06,16.66,14.9,16.379999,89297900,16.379999
"8",16.5,16.549999,14.8,15.59,110720900,15.59
"9",15.58,20.200001,15.27,18.799999,178645500,18.799999
"10",18.870001,19.99,18.07,19.530001,116783500,19.530001
"11",19.700001,20.719999,19.549999,20.18,91544300,20.18
"12",20.139999,24.5,19.5,24.41,122469200,24.41
"13",24.440001,24.790001,21.469999,23.6,118124000,23.6
"14",23.57,25.049999,22.049999,22.25,144208000,22.25
"15",22.4,23,17.52,22.58,199119200,22.58
"16",22.530001,23.57,20.07,20.450001,187725300,20.450001
"17",20.379999,25.280001,18.99,23.35,162702600,23.35
"18",22.540001,26.129999,20.82,23.190001,141152200,23.190001
"19",23.1,23.799999,19.77,20.6,114461100,20.6
"20",21.049999,21.450001,16.85,18.58,185263900,18.58
"21",18.700001,20.639999,16.280001,16.34,183202100,16.34
"22",16.33,17.700001,16.049999,16.49,157953600,16.49
"23",16.48,16.870001,14.48,15.38,122263500,15.38
"24",15.35,16.059999,13.61,13.62,162041500,13.62
"25",13.39,13.89,11.67,12.35,115198100,12.35
"26",12.36,12.6,10.77,11.02,96398500,11.02
"27",11.5,14.39,10.81,13.33,147542500,13.33
"28",13.22,14.64,12.13,12.69,118382000,12.69
"29",12.73,13.98,11.8,12.35,109291000,12.35
"30",12.35,15.32,12.28,14.81,108151800,14.81
"31",14.87,15.5,13.41,14.52,109295100,14.52
"32",14.77,16.18,13.29,15.73,103782700,15.73
"33",15.62,18.200001,15.44,17.530001,110453100,17.530001
"34",17.530001,19.51,16.93,17.700001,112865200,17.700001
"35",17.610001,18.120001,16.65,17.610001,70189900,17.610001
"36",17.59,23.6,17.15,22.99,140557300,22.99
"37",23.01,23.66,20.950001,22.99,85806200,22.99
"38",22.889999,26.98,22.870001,26.120001,92108400,26.120001
"39",26.33,28.129999,26.040001,26.639999,69161200,26.639999
"40",27.030001,28,25.16,25.549999,72565200,25.549999
"41",25.690001,27.24,23.68,26.25,119698900,26.25
"42",26.24,26.629999,21.99,22.17,102635300,22.17
"43",22.280001,24,20.469999,22.940001,121775900,22.940001
"44",22.9,26.860001,21.25,26.4,136563800,26.4
"45",26.360001,28.73,25.559999,28.59,91127200,28.59
"46",28.469999,30.559999,27.950001,29.01,94124300,29.01
"47",29.129999,29.75,26.639999,28.299999,78614500,28.299999
"48",28.48,35.650002,28.030001,35.130001,113003100,35.130001
"49",34.98,37.259998,34.25,35.869999,70480500,35.869999
"50",36.029999,38.639999,33.580002,33.599998,100493500,33.599998
"51",33.549999,38.389999,33.009998,37.84,70009300,37.84
"52",37.82,38.299999,35.299999,35.610001,58480100,35.610001
"53",35.540001,41.349998,31.77,40.970001,92377900,40.970001
"54",41.16,44.5,40.110001,43.93,69171100,43.93
"55",43.759998,48.529999,43.040001,47.02,91559300,47.02
"56",47.189999,55.799999,45.209999,54.860001,92633800,54.860001
"57",55.029999,58.869999,53.549999,57.18,64267100,57.18
"58",57.18,60.209999,54.02,58.82,71053100,58.82
"59",58.939999,60.630001,55.52,58.09,52015500,58.09
"60",58.25,64.300003,58.110001,62.759998,68334600,62.759998
"61",63.060001,63.689999,61.110001,62.529999,13822200,62.529999
