"","stock_data$ROST.Open","stock_data$ROST.High","stock_data$ROST.Low","stock_data$ROST.Close","stock_data$ROST.Volume","stock_data$ROST.Adjusted"
"1",56.279999,58.16,53.09,53.290001,209491200,12.648598
"2",53.18,56.009998,51.380001,52.66,318688000,12.499065
"3",52.990002,53.32,48.709999,49.630001,351429600,11.817428
"4",50.380001,56.619999,49.919998,54.66,261583200,13.015124
"5",55.150002,59.240002,53.310001,58.990002,292047200,14.046143
"6",59.25,65.699997,59.080002,64.879997,274409600,15.448613
"7",65.5,66.580002,61.880001,63.25,196107200,15.097316
"8",64.019997,67.449997,60.150002,65.199997,201392800,15.562766
"9",65.440002,72.699997,64.440002,72.040001,177075200,17.249131
"10",72.550003,72.860001,67.449997,71.120003,213416800,17.028848
"11",71.339996,74.239998,69.629997,73.690002,174806400,17.644204
"12",74.169998,83.110001,72.459999,81.959999,256396000,19.624358
"13",81.940002,82.550003,74.489998,80.120003,200622400,19.236627
"14",80.370003,81.720001,75,75.769997,186512000,18.192201
"15",76.099998,77.68,67,76.550003,350632000,18.432528
"16",76.760002,82.980003,71.550003,78.690002,221108800,18.94782
"17",78.739998,89.25,74.480003,87.730003,203828000,21.124568
"18",86.620003,91.43,83.980003,89.089996,166626400,21.507487
"19",89.290001,95.239998,46.130001,47.529999,151645600,22.948723
"20",48.470001,52.709999,47.049999,50.82,188981600,24.537221
"21",51.009998,53.709999,50.91,53.330002,143530400,25.818762
"22",54.220001,59.349998,53.509998,58.099998,172438400,28.12807
"23",58.220001,62.549999,56.959999,61.5,159831600,29.774119
"24",61.580002,64.790001,57.369999,63.23,210791200,30.611668
"25",62.560001,69.459999,59.75,62.470001,207992000,30.31084
"26",62.509998,70.040001,62.27,66.440002,170180000,32.23711
"27",66.910004,70.82,65.510002,69.190002,166984800,33.639122
"28",69.139999,69.690002,62.52,64.589996,143495600,31.402669
"29",64.550003,67.050003,59.400002,60.950001,186568400,29.632959
"30",59.75,59.75,52.25,57.080002,248122400,27.751424
"31",57.41,57.619999,52.009998,54.09,166999200,26.362391
"32",54.27,61.349998,53.040001,59.700001,202006800,29.096593
"33",60.169998,62.07,56.18,58,170557600,28.348462
"34",57.889999,60.68,54.860001,60.619999,242265200,29.62903
"35",60.490002,66.120003,58.599998,66.07,192827600,32.292808
"36",65.959999,66.599998,63.709999,64.32,142114000,31.437466
"37",64.43,65.949997,62.650002,64.809998,97394400,31.761778
"38",65.300003,67.940002,64.639999,67.489998,101812800,33.07518
"39",67.900002,70.860001,64.650002,67.260002,153541600,32.962465
"40",68.269997,73,67.309998,72.800003,102085600,35.766701
"41",73,77.75,69.150002,77.349998,118772000,38.002118
"42",77.75,81.989998,73,76.459999,151930000,37.56486
"43",75.959999,76.080002,70.290001,74.93,162443600,36.900127
"44",74.349998,75.349998,67,67.910004,172741200,33.44305
"45",68,73.900002,65.150002,72.800003,197218400,35.851186
"46",72.910004,74.93,70.660004,71.57,136888800,35.343703
"47",72.010002,74.279999,67.610001,68.080002,120123200,33.620223
"48",68.269997,70.589996,66.93,68.449997,170225600,33.802939
"49",68.470001,69.900002,65.449997,66.129997,121810800,32.752593
"50",66.540001,67.790001,61.830002,64.400002,161560400,31.895768
"51",64.489998,75.660004,64.160004,75.419998,158600800,37.353706
"52",75.43,77.029999,74.019997,75.580002,115713600,37.532022
"53",75.440002,82,74.720001,80.720001,155650800,40.084477
"54",80.739998,91.989998,79.470001,91.480003,137202000,45.427751
"55",91.25,96.190002,88.940002,94.260002,102565200,46.911715
"56",94.839996,97.779999,89.75,91.709999,122118800,45.642618
"57",92.010002,106.230003,89.449997,105.809998,99131200,52.659965
"58",105.410004,108.910004,103.5,105.360001,111554800,52.553494
"59",105,105.339996,98.440002,98.879997,97314000,49.321273
"60",99.139999,104.760002,95.220001,96.669998,121851600,48.218927
"61",96.809998,98.550003,95.760002,97.830002,37897200,48.915001
