"","stock_data$PKI.Open","stock_data$PKI.High","stock_data$PKI.Low","stock_data$PKI.Close","stock_data$PKI.Volume","stock_data$PKI.Adjusted"
"1",22.09,23.209999,20.610001,20.67,21305100,19.7232
"2",20.690001,20.690001,18.690001,19.459999,42065000,18.636463
"3",19.700001,22.540001,19.459999,21.01,35289700,20.120869
"4",21.299999,23.370001,21.299999,23.139999,27844600,22.160728
"5",23.18,23.780001,22.49,23.450001,28685000,22.526802
"6",23.559999,24.51,23.139999,23.299999,24476800,22.382706
"7",23.67,26.24,23.6,25.82,20824000,24.803497
"8",26.02,26.360001,24.67,25.58,20085500,24.640242
"9",25.790001,28.370001,25.370001,26.5,33019100,25.526444
"10",26.6,28.25,25.459999,26.27,35488600,25.304894
"11",26.309999,28.450001,26,28.27,20648300,27.303951
"12",28.4,28.75,27.01,27.690001,18512000,26.743771
"13",27.6,27.74,25.52,26.91,18196100,25.990425
"14",26.98,27.780001,23.93,24.459999,14774800,23.686834
"15",24.67,24.719999,20.709999,22.870001,40963000,22.147095
"16",22.83,22.98,18.6,19.209999,28484700,18.602783
"17",19.07,21.67,17.48,20.67,35573700,20.090613
"18",20.059999,20.690001,17.450001,18.92,30436700,18.389666
"19",18.83,20.15,17.73,20,25633500,19.439393
"20",20.370001,24.360001,20.26,23.98,22691400,23.379928
"21",24.219999,27.41,24.219999,27,27325600,26.324357
"22",27.09,28,25.73,27.66,20001800,26.967841
"23",27.58,28.23,25.559999,27.6,22240700,26.97984
"24",27.709999,28.24,25.51,26.6,19827500,26.00231
"25",26.1,26.67,24.719999,25.799999,19295600,25.220284
"26",26.02,26.440001,23.73,25.549999,15529200,25.047437
"27",25.709999,28.18,24.709999,27.299999,18153100,26.763014
"28",27.280001,30.92,26.98,29.469999,13511800,28.890331
"29",29.620001,31.709999,27.76,30.93,18885300,30.391803
"30",30.92,31.84,29.76,31.65,14103400,31.099274
"31",31.799999,32.41,30.379999,31.74,13663900,31.187708
"32",32.41,35.84,31.84,35.240002,23044900,34.697911
"33",35.240002,35.240002,32.790001,34.169998,25242800,33.644367
"34",34.029999,35.860001,32.759998,33.639999,18131600,33.122521
"35",33.59,35.290001,29.5,30.65,31174300,30.239658
"36",30.99,32.889999,30.540001,31.32,27226100,30.900688
"37",31.459999,34.5,31.34,32.5,27655500,32.064891
"38",32.700001,34.580002,32.220001,34.09,15323700,33.704284
"39",34.34,37.700001,34.049999,35.970001,23625100,35.563014
"40",36.419998,39.049999,35.970001,37.75,13804400,37.322873
"41",37.779999,39.09,36.259998,38.040001,16280400,37.681878
"42",38.07,38.48,36.279999,38.040001,10938300,37.681878
"43",37.990002,41.41,37.23,41.23,15322100,40.841845
"44",40.990002,45.860001,40.630001,43.599998,20853000,43.260369
"45",43.849998,45.509998,41.889999,45.32,23726700,44.966972
"46",44.830002,46.720001,44.110001,45.060001,17698300,44.708999
"47",45.16,46.5,41.48,41.970001,20884300,41.709244
"48",41.990002,45.029999,41.919998,44.970001,15519500,44.690605
"49",44.939999,47.639999,44.869999,46.84,15992800,46.548986
"50",47.130001,48.259998,45.830002,46.220001,13480400,46.002464
"51",44.290001,46.009998,43.060001,44.849998,12144100,44.638909
"52",44.950001,45.66,43.360001,43.599998,19293400,43.394792
"53",43.580002,44.41,38.959999,43.419998,31478400,43.290648
"54",43.34,46.220001,43.099998,45.470001,13959800,45.334544
"55",45.310001,45.59,40.84,43.73,19865800,43.599726
"56",43.970001,47.240002,41.700001,45.709999,22588500,45.647468
"57",45.790001,47.470001,44.41,47,13439200,46.935705
"58",47,51.599998,45.77,51.139999,21356500,51.070041
"59",50.98,52.27,50.060001,51.259998,16814300,51.259998
"60",51.459999,53.669998,50.09,52.73,17392600,52.73
"61",52.919998,52.93,51.700001,52.599998,3179200,52.599998
