"","stock_data$FLIR.Open","stock_data$FLIR.High","stock_data$FLIR.Low","stock_data$FLIR.Close","stock_data$FLIR.Volume","stock_data$FLIR.Adjusted"
"1",27.09,30.129999,26.719999,29.09,24150600,27.575299
"2",29,30.9,28.58,29.76,43135300,28.210412
"3",30,30.780001,24,25.1,44098100,23.793056
"4",25.5,27.959999,25.299999,25.700001,39359500,24.361815
"5",25.940001,28.07,24.24,27.84,48269400,26.390386
"6",27.59,28.99,26.59,26.809999,27581800,25.414017
"7",27.219999,30,27.1,29.75,34278400,28.200933
"8",29.9,31.200001,28.530001,31.040001,24498200,29.423764
"9",31.27,33.57,29.92,32.299999,24995700,30.675278
"10",32.259998,34.639999,30.870001,34.610001,23208800,32.869085
"11",34.73,35.580002,32.830002,35.220001,17708200,33.448401
"12",35.23,37.290001,34.02,36.150002,20270000,34.388825
"13",35.959999,36.27,31.799999,33.709999,22652900,32.067696
"14",33.580002,34.740002,27.15,27.459999,35030900,26.122187
"15",27.76,27.76,21.860001,25.870001,53549400,24.671745
"16",25.969999,28.34,23.83,25.049999,31393600,23.889725
"17",24.969999,27.92,24,26.299999,28510700,25.081827
"18",25.49,27.719999,23.790001,26.860001,25377500,25.675507
"19",26.860001,26.99,24.66,25.07,22834000,23.964443
"20",25.58,27.059999,25.040001,25.75,13785800,24.614456
"21",25.950001,26.65,24.26,26.17,25041900,25.086346
"22",26.17,26.6,25.030001,25.309999,20819400,24.261957
"23",25.24,25.34,22.27,22.459999,24284700,21.52997
"24",22.209999,22.690001,20.299999,21.33,28665800,20.514951
"25",20.93,22.02,18.950001,19.5,35518500,18.754878
"26",19.559999,21.18,17.99,20.450001,36340800,19.668577
"27",20.559999,21.35,19.43,19.799999,23382100,19.107594
"28",19.700001,21.35,19.549999,19.98,14722200,19.281299
"29",20.08,20.73,18.85,19.43,22356900,18.750533
"30",19.42,20.5,18.58,20.4,16909600,19.759525
"31",20.469999,22.33,19.700001,22.32,17540500,21.619246
"32",23.040001,24.530001,22.860001,23.77,20202200,23.023722
"33",24.01,27.16,23.24,26.33,22900200,25.588645
"34",26.23,26.940001,25.440001,26.01,27506600,25.277655
"35",26,26.24,23,24.309999,30397800,23.62552
"36",24.27,25.059999,23.93,24.360001,26251000,23.760375
"37",24.370001,27.16,23.58,26.969999,28482600,26.306128
"38",27.18,32.82,27.040001,32.470001,26167800,31.670747
"39",32.740002,33.810001,31.25,31.280001,20027300,30.593703
"40",31.719999,32.580002,30.93,31.4,16623500,30.711069
"41",31.280001,33.200001,27.91,28.48,32467300,27.855135
"42",28.48,30,28.15,29.67,14591500,29.10777
"43",29.610001,30.129999,28.030001,30.1,16478000,29.529622
"44",29.92,34.189999,28.809999,31.719999,28490100,31.118923
"45",31.75,34.279999,29.629999,34.139999,25252400,33.601633
"46",33.889999,36.040001,33.57,36,27830800,35.432303
"47",36.060001,37.419998,33.59,34.040001,30139500,33.503212
"48",34.099998,35.299999,33.09,34.91,15883300,34.462487
"49",34.950001,36.360001,34.080002,34.73,11869800,34.284794
"50",34.889999,35.290001,32.5,33.279999,18314600,32.853381
"51",33.029999,34.25,32.720001,33.790001,12466500,33.455916
"52",33.799999,34.029999,31.200001,31.34,11922500,31.030138
"53",31.190001,33.630001,28.32,33.529999,21701600,33.198484
"54",33.599998,34.400002,31.43,31.73,13847700,31.513426
"55",31.540001,33.919998,30.82,32.310001,20791700,32.089469
"56",32.459999,32.5,29.549999,30.200001,14397900,29.99387
"57",30.27,34.459999,29.700001,32.279999,14038100,32.168549
"58",32.25,32.889999,30.52,31.280001,13893500,31.172003
"59",31.299999,31.75,29.43,30.889999,14625600,30.783349
"60",30.950001,32.049999,30.43,30.549999,15483100,30.549999
"61",30.67,31.440001,30.33,31.35,4050300,31.35
