"","stock_data$WEC.Open","stock_data$WEC.High","stock_data$WEC.Low","stock_data$WEC.Close","stock_data$WEC.Volume","stock_data$WEC.Adjusted"
"1",48.580002,52.25,48.560001,50.740002,29768200,21.566742
"2",50.48,55.939999,49.41,54.279999,37443200,23.071398
"3",54.740002,56.639999,54.560001,55.740002,36811400,23.862042
"4",56.41,58.580002,55.959999,57.799999,29356600,24.743917
"5",58.049999,60,57.52,59.540001,25449400,25.488804
"6",59.919998,60.66,58.25,60.220001,25176600,25.95325
"7",61.02,61.02,58.259998,58.860001,28763000,25.367125
"8",58.860001,60.950001,57.650002,60.290001,29458800,25.983418
"9",60.540001,61.110001,57.939999,59.200001,28765200,25.739172
"10",59.5,59.52,28.860001,30.5,34557500,26.521782
"11",30.65,31.24,29.389999,31.209999,18968000,27.139173
"12",31.280001,31.889999,30.82,31.27,26064800,27.416714
"13",31.26,31.52,30.469999,31.35,27801700,27.486856
"14",31.440001,32.049999,30.51,30.65,27771400,26.873114
"15",30.9,31.75,27,31.639999,60011600,27.993931
"16",31.74,32.490002,30.09,31.290001,35378800,27.684265
"17",31.309999,33.630001,29.82,32.43,39804400,28.692895
"18",31.780001,33.23,31.299999,33.18,32636100,29.588464
"19",33.240002,35.380001,32.400002,34.959999,28841500,31.175789
"20",35.290001,35.349998,33.619999,34,25263300,30.319704
"21",34.18,35.049999,33.91,34.080002,27248400,30.656006
"22",34.25,35.349998,33.720001,35.18,25914700,31.645489
"23",35.139999,36.84,34.540001,36.84,26706700,33.138709
"24",37,37.970001,36.139999,37.84,32893900,34.318776
"25",37.619999,40,37.459999,39.57,31615200,35.887789
"26",39.849998,41.310001,39.610001,40.740002,30163500,36.948916
"27",40.889999,41.48,37.919998,37.959999,28708300,34.692028
"28",38.040001,38.880001,36.639999,37.669998,31249700,34.426994
"29",37.84,38.93,37.349998,38.470001,22141200,35.158125
"30",38.630001,38.799999,36.009998,37.529999,30355200,34.580495
"31",37.619999,38.040001,36.16,36.849998,23745800,33.953936
"32",37.32,39.43,37.029999,39.43,25361000,36.331174
"33",39.669998,41.41,39.360001,41.299999,23687800,38.379295
"34",41.209999,42.950001,40.790001,42.889999,26767900,39.856851
"35",42.82,45,42.310001,44.939999,25831500,41.761876
"36",44.779999,44.84,40.560001,40.810001,30040700,38.225285
"37",40.939999,41.740002,39.040001,40.990002,27773600,38.393885
"38",40.919998,43.830002,39.669998,43.48,33474200,40.726178
"39",43.689999,44.009998,40.41,41.040001,28810700,38.78361
"40",41.299999,41.48,39.52,40.380001,32433900,38.159897
"41",40.5,43,39.830002,42.110001,28698600,39.794781
"42",42.27,42.66,40.490002,41.77,39870500,39.838238
"43",41.759998,42.09,40.34,41.34,37651400,39.428124
"44",41.419998,42.709999,40.169998,42.669998,33712300,40.696613
"45",42.720001,44.34,41.580002,43.959999,32109000,42.309177
"46",43.779999,46.759998,43.220001,46.549999,30437600,44.801915
"47",46.540001,48.880001,46.209999,48.48,42692900,46.659438
"48",48.77,49.209999,44.43,45.52,47117200,43.810595
"49",45.459999,47.130001,44.029999,46.919998,44908400,45.158019
"50",47.009998,47.02,43.560001,43.580002,34130200,41.943449
"51",43.48,45.369999,41.900002,45.330002,37367100,44.024811
"52",45.310001,45.599998,42.529999,43,35336500,41.761897
"53",43.119999,49.84,43.009998,49.66,64051600,48.230135
"54",49.66,50.540001,47.5,49.400002,34045400,48.356855
"55",49.209999,55.389999,49.029999,52.740002,38223600,51.626327
"56",52.970001,58.009998,52.349998,55.77,31235800,54.592343
"57",55.84,56.380001,50.41,50.98,39923600,50.298094
"58",50.790001,50.830002,47.509998,49.5,39628000,48.837891
"59",49.490002,51.540001,48.59,49.119999,26684200,48.462973
"60",49.040001,50.310001,46.639999,48.279999,27983700,48.058697
"61",48.34,48.700001,45.099998,45.279999,13519900,45.072448
