"","stock_data$GNW.Open","stock_data$GNW.High","stock_data$GNW.Low","stock_data$GNW.Close","stock_data$GNW.Volume","stock_data$GNW.Adjusted"
"1",14.59,16,13.04,13.07,152540700,13.07
"2",13.04,16.1,12.39,13.58,208617600,13.58
"3",13.73,13.76,10.26,10.84,209347000,10.84
"4",11.07,12.98,10.98,12.22,119528500,12.22
"5",12.44,13.72,10.61,11.33,163602300,11.33
"6",11.37,12.53,11.1,11.66,150501900,11.66
"7",11.87,13.54,11.75,13.14,88819200,13.14
"8",13.31,14.77,13.12,13.57,169634300,13.57
"9",13.68,14.44,12.3,13.23,180117200,13.23
"10",13.29,13.58,12.02,13.46,109510900,13.46
"11",13.6,13.64,11.78,12.19,85364700,12.19
"12",12.31,12.55,10.84,11.11,127429800,11.11
"13",11.04,11.12,9.75,10.28,143595200,10.28
"14",10.3,10.71,7.56,8.32,209114000,8.32
"15",8.44,8.47,5.26,6.93,274840900,6.93
"16",6.94,6.97,4.8,5.74,197950900,5.74
"17",5.7,6.99,4.84,6.38,232539100,6.38
"18",6.01,7.38,5.32,6.59,242387000,6.59
"19",6.48,7.05,5.69,6.55,170949200,6.55
"20",6.74,8.45,6.57,7.71,169219700,7.71
"21",7.87,9.68,7.77,9.09,205982900,9.09
"22",9.09,9.49,8.11,8.32,195625900,8.32
"23",8.32,8.46,5.7,6.01,318065500,6.01
"24",6.03,6.5,4.82,5.24,232298400,5.24
"25",5.07,5.79,4.8,5.66,163177200,5.66
"26",5.74,5.97,4.62,5.04,132305900,5.04
"27",5.34,5.57,4.06,5.29,229835800,5.29
"28",5.27,6.15,5.07,5.23,169691300,5.23
"29",5.25,6.04,5.07,5.96,171412500,5.96
"30",6.02,6.3,5.1,5.95,232116300,5.95
"31",5.98,7.53,5.85,7.51,213713800,7.51
"32",7.77,9.48,7.66,9.17,246344900,9.17
"33",9.22,9.33,8.08,8.54,164255900,8.54
"34",8.46,10.74,8.3,10,233192600,10
"35",10.06,10.17,8.98,10.03,160175300,10.03
"36",10.51,11.13,10.1,10.81,213861100,10.81
"37",10.86,11.48,10.26,11.41,192850500,11.41
"38",11.5,13.79,11.48,12.99,157761300,12.99
"39",13.17,13.31,11.55,11.8,115270200,11.8
"40",12.02,13.13,11.83,12.8,125716200,12.8
"41",12.8,14.75,12.48,14.53,264608300,14.53
"42",14.52,15.49,13.68,15.11,110222700,15.11
"43",15.11,15.78,14.65,15.53,110613700,15.53
"44",15.47,16.75,14.44,14.75,117986800,14.75
"45",14.71,15.75,14.24,15.54,107853300,15.54
"46",15.32,18.26,15.17,17.73,154495500,17.73
"47",17.809999,18.58,15.66,17.85,163393900,17.85
"48",17.879999,18.74,16.93,16.99,156947200,16.99
"49",17.09,18.08,16.91,17.4,98658300,17.4
"50",17.459999,17.85,12.89,13.1,157884800,13.1
"51",13.14,14.26,12.64,14.19,120684800,14.19
"52",14.26,14.32,12.94,13.1,124687000,13.1
"53",13.15,14,11.91,13.99,103495600,13.99
"54",14.01,14.1,7.17,9.09,391693900,9.09
"55",9,9.25,7.57,8.5,194283100,8.5
"56",8.59,8.62,6.75,6.98,111810200,6.98
"57",7.02,8.82,7.02,7.75,147799500,7.75
"58",7.75,7.97,7.04,7.31,144693600,7.31
"59",7.28,9.08,7.27,8.79,167219300,8.79
"60",8.85,9.19,7.55,7.94,177294300,7.94
"61",7.9,8.11,7.65,8,50298400,8
