"","stock_data$A.Open","stock_data$A.High","stock_data$A.Low","stock_data$A.Close","stock_data$A.Volume","stock_data$A.Adjusted"
"1",30.019995,33.369995,28.319998,28.429993,64326700,19.643939
"2",28.500006,29.729994,26.739992,27.93,115322500,19.298464
"3",28.350001,29.870003,26.680005,26.970005,105858200,18.635148
"4",27.449994,33.540006,27.430004,33.369995,95143300,23.057274
"5",33.689995,35.330005,32.289998,34.799995,90958400,24.045344
"6",34.940003,37.550001,34.380007,35.019998,89252400,24.197357
"7",35.650005,42.079995,35.609995,41.429994,104079200,28.626397
"8",41.559996,44.449997,40.879994,41.830005,89938000,28.902788
"9",42.070001,45.419998,39.939993,42.079995,113091000,29.075521
"10",41.979997,46.810004,40.359995,44.779997,138751000,30.941109
"11",44.880006,50.680001,44.259995,49.909998,89573800,34.485726
"12",50.250006,55.33,48.129994,49.870001,110802700,34.45809
"13",49.790007,51.989997,46.380004,51.109997,107993500,35.314875
"14",51.230004,52.619994,41.289999,42.160003,115521100,29.130803
"15",42.620001,42.780003,30.219994,36.87,225129500,25.475631
"16",36.800002,37.410006,30.729997,31.249996,161861800,21.592443
"17",30.899995,41.050006,28.670002,37.069998,170887800,25.613822
"18",35.24,39.390006,33.220003,37.499994,121790100,25.910931
"19",37.299995,38.580004,32.510001,34.929993,81913700,24.135168
"20",35.839994,44.849992,35.590004,42.469996,101400800,29.344995
"21",43.08,45.350004,41.759994,43.620004,83817200,30.139602
"22",43.739995,46.279995,41.889993,44.51,85939000,30.823882
"23",44.51,45.150002,39.149997,42.179996,81821700,29.210317
"24",42.030004,43.270002,38.439995,40.660005,108201600,28.157699
"25",39.200004,41.450001,36.960004,39.240001,89462800,27.246557
"26",39.530001,39.839995,35.319995,38.290003,70121900,26.586919
"27",38.729995,40.969998,36.549996,37.16,111797700,25.802294
"28",36.969998,40.140005,36.619994,38.450005,104979900,26.767398
"29",38.499996,39.639996,35.379998,35.989999,101066500,25.054838
"30",36.040006,38.580004,35.449996,38.290003,114976300,26.656011
"31",38.599997,41.740001,37.689996,40.939998,95459000,28.570705
"32",42.169999,45.55,41.150004,44.779997,95925400,31.250516
"33",45.080007,45.659992,40.189999,41.480001,102914100,28.947556
"34",41.180004,43.520006,40.730002,41.970001,92827600,29.373259
"35",41.830005,44.790007,40.319997,41.440004,116119800,29.002334
"36",41.42,47.469999,41.240008,45.450002,130313100,31.808784
"37",45.649998,46.450004,41.849996,42.759997,95832300,30.009743
"38",43.049997,46.900009,42.72,44.730003,73881200,31.392329
"39",45.510003,48.330006,45.32,46.640006,70063300,32.732804
"40",47.040004,53.470007,46.620002,51.249997,91099300,36.051234
"41",50.699994,53.240008,49.389999,50.759995,71997300,35.706548
"42",50.919994,55.740008,49.839998,53.570005,73142100,37.683218
"43",53.470007,57.939998,52.560004,57.189999,59295500,40.322291
"44",57.099995,61.22,56.149999,58.150004,73379200,40.999151
"45",58.150004,60.460007,54.870007,56.930002,99904900,40.138978
"46",56.119996,59.320004,54.220006,55.92,71466200,39.426868
"47",56.200006,57.240006,51.959999,54.039998,59032400,38.193591
"48",53.94,57.380001,53.659993,56.939995,64035400,40.243209
"49",56.959999,59.580007,56.300005,57.440002,42405900,40.689486
"50",57.740001,58.589999,55.139998,56.089998,55220600,39.733168
"51",55.769995,59.060007,54.190003,57.159996,54268300,40.491135
"52",57.229996,59.399999,55.92,56.980003,50613400,40.457503
"53",56.849991,57.159996,49.800001,55.279993,83420000,39.250445
"54",39.900002,42.990002,39.490002,42.740002,56372400,42.424654
"55",42.689999,42.73,38.09,40.939999,48770200,40.637932
"56",41.18,41.310001,37.68,37.77,53085600,37.583125
"57",37.900002,42.490002,37.709999,42.209999,52407000,42.001156
"58",42.34,42.740002,40.369999,41.549999,44856400,41.446253
"59",41.459999,43.59,40.720001,41.369999,47256700,41.266702
"60",41.41,42.93,40.82,41.189999,44096800,41.087151
"61",41.43,41.43,39.830002,40.52,18543100,40.418826
