"","stock_data$MCHP.Open","stock_data$MCHP.High","stock_data$MCHP.Low","stock_data$MCHP.Close","stock_data$MCHP.Volume","stock_data$MCHP.Adjusted"
"1",27.49,30,27.26,27.74,41362500,23.049923
"2",27.719999,31.709999,27.190001,30.450001,57124400,25.301737
"3",30.780001,31.370001,27.459999,27.73,56123400,23.318757
"4",28.01,31.99,27.719999,31.450001,58269600,26.446986
"5",31.790001,32.34,30.27,32.18,60119000,27.060859
"6",32.310001,34.669998,31.85,33.610001,49922500,28.555644
"7",34.060001,36.41,33.779999,34.209999,44142500,29.344228
"8",34.380001,38.25,34.200001,36.470001,42857600,31.282785
"9",36.77,38.419998,35.889999,36.91,34434900,31.660201
"10",37.080002,38.349998,34.290001,38.009998,42969200,32.603744
"11",38.380001,41.09,36.669998,41.040001,38772400,35.202782
"12",41.32,41.5,38.560001,39.529999,44223500,34.201116
"13",39.310001,39.48,35.52,37.91,49918400,32.799503
"14",37.98,38.59,31.440001,33.75,77158200,29.200296
"15",34.240002,34.57,29.299999,32.810001,90444500,28.694905
"16",33.09,34.959999,30.5,31.110001,54076500,27.208122
"17",31,36.639999,30.07,36.18,64719600,31.642232
"18",35.169998,38,32.259998,34.91,46271800,30.824442
"19",34.759998,36.990002,33.580002,36.630001,33418600,32.34315
"20",36.459999,38.450001,35.25,36.900002,45521000,32.581552
"21",37.400002,38.880001,35.810001,36.07,39480500,32.154459
"22",36.32,37.43,35,37.200001,32601100,33.161794
"23",37.169998,37.380001,34.560001,35.369999,35602200,31.530446
"24",35.299999,35.740002,30.389999,31.02,71919800,27.961379
"25",30.540001,33.43,30.23,33.080002,39795000,29.818261
"26",33.25,33.73,30.620001,33.380001,39484700,30.08868
"27",33.669998,35.889999,32.880001,34.75,39201900,31.634361
"28",34.779999,34.990002,32.380001,32.740002,39443900,29.804576
"29",32.82,33.549999,31,31.34,39888800,28.530097
"30",31.469999,33.34,28.92,30.42,53034700,28.028504
"31",30.559999,32.799999,29.559999,32.59,41275700,30.027908
"32",33.169998,33.950001,32.380001,33.450001,41325700,30.820299
"33",33.919998,37.630001,33.689999,36.470001,47295500,33.925853
"34",36.389999,37.380001,35.580002,36.77,33078000,34.204924
"35",36.830002,37,33.720001,36.419998,39500200,33.879338
"36",36.310001,37.970001,35.810001,36.48,52454200,34.25694
"37",36.5,38.349998,35.740002,37.25,39892300,34.980017
"38",37.57,40.389999,37.18,39.740002,37013300,37.31828
"39",41,41.779999,38.439999,38.810001,33324700,36.774442
"40",39.189999,41.130001,38.59,40.290001,28853200,38.176817
"41",40.310001,44.099998,38.459999,42.959999,47076900,40.706775
"42",43.119999,43.990002,42.09,43.290001,36945500,41.357194
"43",43.459999,44.950001,41.32,44.75,46701100,42.752008
"44",44.560001,46.73,43.869999,44.860001,44547100,42.857097
"45",44.950001,46.990002,43.139999,45.549999,53288100,43.858483
"46",45.16,48.470001,44.52,47.759998,31169600,45.986413
"47",47.98,49.029999,45.669998,47.540001,32130300,45.774586
"48",47.57,47.799999,45.450001,47.599998,32840300,46.186716
"49",47.049999,49.720001,46.82,48.810001,31284800,47.360793
"50",49.119999,50.040001,44.779999,45.02,31398500,43.683321
"51",47.150002,48.880001,45.439999,48.830002,28859000,47.741587
"52",48.880001,49.400002,46.93,47.23,25508500,46.177249
"53",47.150002,47.259998,36.919998,43.110001,91909700,42.149084
"54",43.099998,45.279999,42.599998,45.150002,33595100,44.504462
"55",45.049999,46.75,42.68,45.110001,40562000,44.465033
"56",45.360001,47.34,42.5,45.099998,32778600,44.455174
"57",45.18,51.68,44.110001,51.27,94696400,50.895264
"58",51.610001,52.439999,46.889999,48.900002,62599800,48.542588
"59",48.799999,50.369999,47.02,47.66,38501500,47.311649
"60",48.09,50.130001,46.73,49.130001,39425500,49.130001
"61",49.25,49.5,44.259998,47.509998,10608700,47.509998
