"","stock_data$KMI.Open","stock_data$KMI.High","stock_data$KMI.Low","stock_data$KMI.Close","stock_data$KMI.Volume","stock_data$KMI.Adjusted"
"1",31.700001,32.139999,30.25,30.5,83155700,25.612962
"2",30.65,31.040001,29.5,29.639999,36556300,24.89076
"3",29.790001,29.93,28.23,28.58,25452500,24.1176
"4",28.73,29.76,26.870001,29.290001,38461900,24.716743
"5",29.4,29.969999,28.1,28.73,39028900,24.244179
"6",28.67,29.450001,27.1,28.23,23024700,24.078584
"7",28.42,28.5,23.51,25.85,30619900,22.04858
"8",25.98,27.360001,24.299999,25.889999,24089400,22.082697
"9",25.74,30.5,24.66,28.6,67711100,24.643434
"10",28.1,30.66,26.91,29.5,51016600,25.418926
"11",29.5,32.25,28.5,32.169998,43709100,27.719553
"12",32.57,34.25,32.049999,32.470001,44573100,28.244674
"13",32.669998,35.959999,31.76,35.240002,42238100,30.654214
"14",35.23,39.25,35.23,38.650002,44918100,33.62047
"15",38.880001,40.25,34.68,35.900002,39650900,31.509032
"16",35.900002,37.209999,31.6,34.189999,167359700,30.008182
"17",33.509998,33.509998,30.51,32.220001,207190100,28.279137
"18",32.41,36.029999,32.029999,35.810001,141236300,31.741052
"19",35.970001,36.630001,33.669998,35.77,127481400,31.705596
"20",35.799999,36.5,35.110001,35.52,75984000,31.484003
"21",35.720001,36.5,34.150002,34.709999,149830300,31.08857
"22",34.77,34.900002,31.93,33.810001,110907600,30.282473
"23",34.060001,35.5,33.310001,35.330002,87174400,31.643886
"24",35.82,38.209999,35.740002,37.459999,126811000,33.885724
"25",37.740002,38.169998,35.889999,37.07,88151100,33.532937
"26",36.959999,38.799999,36.110001,38.68,68601500,34.989318
"27",38.669998,40.09,37.240002,39.099998,78881300,35.708646
"28",39.07,41.490002,37.98,37.98,66082200,34.68579
"29",38.009998,39.73,35.52,38.150002,88907600,34.841047
"30",38.389999,40.450001,37.709999,37.759998,75765800,34.844931
"31",38.049999,38.240002,36.349998,37.93,91509700,35.001809
"32",38.18,38.299999,34.540001,35.57,161453700,32.824
"33",35.630001,36.68,34.5,35.310001,151983200,32.958394
"34",35.240002,36.27,34.349998,35.540001,76603200,33.173076
"35",35.540001,36.509998,32.299999,36,144908200,33.60244
"36",35.990002,36.450001,33.599998,34.009998,126932700,32.111808
"37",34.060001,34.189999,31.450001,31.85,151965500,30.072365
"38",31.719999,32.59,30.809999,32.490002,139968900,30.676646
"39",32.599998,33.98,32.209999,32.66,112681200,31.23469
"40",32.709999,33.98,32.099998,33.389999,123289600,31.932831
"41",33.450001,36.5,33.330002,36.259998,117200700,34.677581
"42",36.299999,38.049999,35.200001,35.98,110332000,34.805845
"43",35.959999,42.490002,35.200001,40.259998,446886500,38.946172
"44",40.310001,40.310001,37.34,38.34,210140800,37.08883
"45",38.349998,39.599998,33.25,38.700001,339097300,37.862394
"46",38.720001,42.41,37.200001,41.349998,690477200,40.455037
"47",41.150002,43.18,37.060001,42.310001,589869800,41.394262
"48",42.310001,42.93,39.950001,41.049999,250967700,40.603297
"49",41.360001,42.330002,40.34,41.009998,179542200,40.563732
"50",41.02,42.299999,39.450001,42.060001,209947500,41.602309
"51",42.450001,44.709999,41.560001,42.950001,196668700,42.950001
"52",43.009998,43.34,41.419998,41.490002,144183100,41.490002
"53",41.369999,41.470001,39.77,40.23,73746700,40.23
