"","stock_data$ACE.Open","stock_data$ACE.High","stock_data$ACE.Low","stock_data$ACE.Close","stock_data$ACE.Volume","stock_data$ACE.Adjusted"
"1",49.939999,54.119999,49.93,51.48,60293200,45.956485
"2",51.5,55.959999,50.439999,53.080002,177689900,47.682208
"3",53.740002,54.84,51.75,53.470001,51980400,48.032548
"4",53.98,59.139999,53.759998,58.25,48767400,52.62372
"5",58.68,61.380001,57.650002,59.419998,34972800,53.68071
"6",59.810001,62.490002,58.360001,58.52,34757000,52.867642
"7",59.310001,62.630001,58.900002,62.25,41544600,56.543507
"8",62.73,63.290001,59.549999,61.59,34068900,55.94401
"9",62.200001,65.790001,61.400002,63.25,40710600,57.451836
"10",63.25,65.239998,59.549999,64.699997,49126800,59.073464
"11",65.099998,67.82,64.099998,67.25,47455500,61.40171
"12",67.739998,69.830002,66.25,68.82,36426100,62.835177
"13",68.720001,69.260002,63.5,65.82,41484300,60.422778
"14",65.68,69.129997,63.349998,66.980003,36808400,61.487662
"15",67.709999,67.870003,58.939999,64.580002,71436200,59.28446
"16",64.440002,64.849998,58.77,60.599998,50422400,55.953071
"17",60.349998,73.760002,56.900002,72.150002,58572400,66.617397
"18",69.959999,72.860001,64.089996,69.529999,49120700,64.198301
"19",69.360001,70.849998,66.25,70.120003,37622700,64.743063
"20",71.209999,73.059998,68.529999,69.599998,41412100,64.695156
"21",71.139999,74.5,71.139999,71.709999,32866800,66.65646
"22",71.580002,74.269997,71.050003,73.199997,37673200,68.479712
"23",73.260002,77.190002,71.400002,75.970001,33442800,71.071093
"24",76.57,77.419998,71.449997,72.330002,35314100,67.665818
"25",71.370003,74.150002,69.519997,74.129997,29976400,69.349741
"26",74.300003,74.980003,68.980003,73.5,39097000,69.229949
"27",73.660004,74.660004,71.860001,73.730003,30140800,69.44659
"28",73.610001,77.849998,73.610001,75.599998,30169900,71.672801
"29",75.82,82.07,75.75,78.650002,33212400,74.564365
"30",79.050003,79.839996,75.949997,79.230003,29116700,75.114238
"31",79.379997,81.870003,78.449997,79.800003,29186600,76.115766
"32",81.199997,85.720001,79.790001,85.330002,33996100,81.390453
"33",86.089996,87.410004,83.330002,85.389999,29827800,81.447681
"34",85.139999,89.059998,84.709999,88.970001,23199700,85.335032
"35",89.099998,92.279999,87.860001,89.139999,31757600,85.498085
"36",88.779999,93.050003,88.18,89.68,34784300,86.016023
"37",89.650002,90.32,84.730003,89.480003,34300500,85.824197
"38",89.870003,95.599998,88.389999,91.379997,27650000,88.118334
"39",92.169998,92.629997,87.400002,87.720001,24895800,84.588976
"40",88.690002,95.900002,87.110001,93.559998,23404300,90.706089
"41",93.730003,98.389999,90.519997,95.440002,24932700,92.528747
"42",95.440002,104.07,95.089996,102.779999,26297900,99.644848
"43",102.589996,103.760002,98.220001,103.529999,22880100,100.37197
"44",102.779999,103.389999,92,93.809998,49104800,91.532894
"45",93.440002,98.099998,92.260002,97.870003,35210500,95.494348
"46",96.720001,100.589996,95,99.059998,31501700,97.273658
"47",99.300003,102.690002,97.550003,102.32,27454600,100.474873
"48",102.169998,103.800003,101.169998,103.709999,20637300,101.839806
"49",103.82,108.620003,102.660004,103.699997,18234100,101.829984
"50",104.169998,105.660004,100.07,100.099998,26356100,98.912638
"51",99.779999,106.550003,99.449997,106.330002,30020600,105.068743
"52",106.660004,107.949997,104.099998,104.870003,22441700,104.268469
"53",105.059998,110.129997,101.150002,109.300003,34680100,108.673059
"54",109.470001,115.040001,108.510002,114.339996,23737800,113.684143
"55",114,117.889999,110.739998,114.879997,30310300,114.879997
"56",115.379997,115.769997,107.5,107.959999,29775700,107.959999
"57",107.900002,115.099998,107.230003,114.010002,21852000,114.010002
"58",114.010002,115.260002,110.080002,111.489998,29435900,111.489998
"59",112.459999,112.720001,106.699997,106.989998,28252600,106.989998
"60",107.379997,109.290001,106.269997,106.480003,23890100,106.480003
"61",106.82,107.050003,102.650002,105.059998,12110300,105.059998
