"","stock_data$DOW.Open","stock_data$DOW.High","stock_data$DOW.Low","stock_data$DOW.Close","stock_data$DOW.Volume","stock_data$DOW.Adjusted"
"1",26,27.780001,23.66,23.719999,150763400,20.207877
"2",23.6,28.280001,22.42,27.33,219674400,23.28336
"3",27.940001,28.5,22.549999,24.370001,284593300,20.761636
"4",24.84,28.35,24.610001,27.459999,168694100,23.520474
"5",27.700001,31.9,27.379999,30.84,197716700,26.415566
"6",31.09,32.970001,30.280001,31.18,144787400,26.706788
"7",31.809999,34.5,31.799999,34.139999,139019700,29.370275
"8",34.490002,36.169998,34.119999,35.48,154619300,30.523063
"9",35.740002,39,34.849998,37.16,149461900,31.968349
"10",37.32,38.48,34.650002,37.75,176758400,32.607973
"11",37.75,41.400002,36.080002,40.990002,145375700,35.406645
"12",41.09,42.23,34.869999,36.130001,192701500,31.208638
"13",35.990002,36.400002,33.970001,36,212914300,31.319354
"14",35.939999,37.299999,33.66,34.869999,187601600,30.336274
"15",35.740002,36.189999,25.42,28.450001,325582600,24.75099
"16",28.370001,28.690001,22.459999,22.459999,264082500,19.732572
"17",22.290001,29.559999,20.610001,27.879999,288259100,24.494395
"18",26.379999,28.73,24.42,27.709999,201636700,24.345039
"19",27.33,29.110001,25.23,28.76,172865200,25.48848
"20",29.280001,33.919998,29.27,33.509998,170457700,29.698155
"21",33.75,35.099998,33.009998,33.509998,148593600,29.698155
"22",33.689999,36,32.240002,34.639999,162041800,30.919463
"23",34.560001,36.080002,31.530001,33.880001,235019700,30.241093
"24",34.029999,34.43,29.27,31.059999,202781100,27.723976
"25",30.33,34.099998,29.889999,31.5,252704000,28.406956
"26",31.559999,31.879999,28.65,28.780001,188667100,25.954039
"27",28.91,30.540001,28.73,29.309999,161334400,26.431996
"28",29.27,32.48,28.450001,28.959999,251246100,26.399947
"29",29.190001,30.870001,28.01,29.299999,190000700,26.709891
"30",29.41,30.790001,27.450001,30.190001,162563500,27.521217
"31",30.290001,32.950001,29.030001,32.330002,145806700,29.765753
"32",32.990002,34.830002,32,32.200001,186006200,29.646063
"33",32.25,33.18,30.629999,31.719999,140364100,29.204133
"34",31.5,33.810001,31.08,31.84,144087100,29.608037
"35",31.860001,34.23,29.809999,33.91,194710700,31.532931
"36",33.619999,36,32.799999,34.459999,147081100,32.044375
"37",34.369999,35.150002,31.65,32.169998,129611500,30.212378
"38",32.41,35.490002,32.049999,35.040001,113173700,32.907735
"39",35.380001,39.200001,35.16,37.400002,165049600,35.124124
"40",37.880001,41.080002,37.119999,38.400002,189899000,36.355135
"41",38.459999,41.740002,38.040001,39.470001,177012200,37.368155
"42",39.57,40.310001,38.16,39.060001,121893200,36.979988
"43",39.380001,44.990002,38.419998,44.400002,210470900,42.337631
"44",44.200001,46.849998,41.82,45.509998,286913500,43.396069
"45",45.419998,49.23,44,48.709999,177453100,46.44743
"46",48.040001,50.959999,47.599998,48.59,158964200,46.682439
"47",48.860001,50.639999,46.560001,49.900002,170641900,47.941012
"48",49.860001,52.549999,48.119999,52.119999,196162600,50.073856
"49",52.16,53.349998,50.869999,51.459999,127110900,49.789934
"50",51.549999,54.279999,50.48,51.07,136926300,49.412591
"51",51.200001,53.93,50.34,53.549999,112115900,51.812106
"52",53.560001,54.970001,52.369999,52.439999,191582300,51.093949
"53",52.240002,52.299999,41.450001,49.400002,354053800,48.131983
"54",49.299999,53.799999,47.509998,48.669998,189191500,47.420718
"55",48.349998,50.779999,42.57,45.610001,228264000,44.844487
"56",45.689999,46.040001,41.950001,45.16,196462400,44.402039
"57",45.32,50.220001,44.43,49.240002,154473700,48.413563
"58",49.240002,50.130001,45.93,47.98,188850100,47.601352
"59",48.029999,51.919998,47.209999,51,162921400,50.59752
"60",51.259998,52.349998,50.27,52.07,125817700,51.659075
"61",52.07,53.389999,51.32,51.990002,75168700,51.579708
