"","stock_data$JCI.Open","stock_data$JCI.High","stock_data$JCI.Low","stock_data$JCI.Close","stock_data$JCI.Volume","stock_data$JCI.Adjusted"
"1",26.43,29.73,26.15,26.870001,102258700,24.247068
"2",26.73,30.67,26.07,28.809999,132426600,25.997692
"3",29.42,30.280001,26.1,26.530001,98192400,23.940257
"4",26.950001,31.139999,26.950001,30.5,80442500,27.64978
"5",30.91,35.34,29.950001,35.119999,120077500,31.838041
"6",35.419998,37.549999,34.849998,36.439999,90915200,33.034687
"7",37.18,40.150002,37.099998,38.200001,84314600,34.772874
"8",38.580002,41.450001,37.34,38.389999,99441700,34.945827
"9",38.540001,42.419998,36.950001,40.799999,92664000,37.139613
"10",41.400002,42.259998,38.349998,41.57,125252400,37.987736
"11",41.990002,42.529999,37.630001,41,96623300,37.466856
"12",41.349998,41.580002,37.099998,39.599998,95351000,36.187498
"13",39.48,41.880001,35.369999,41.66,110130300,38.235864
"14",41.790001,42.919998,36.23,36.950001,112009800,33.912991
"15",39.060001,39.75,28.610001,31.879999,174028600,29.259705
"16",31.690001,31.860001,25.91,26.370001,157710000,24.33319
"17",26.200001,33.900002,24.290001,32.93,138930900,30.386497
"18",31.48,32.91,27.58,31.48,99435900,29.048494
"19",31.379999,32.82,28.32,31.26,91044800,29.007239
"20",32.110001,35.950001,30.809999,31.77,136649400,29.480486
"21",32.060001,35.5,31.950001,32.630001,117517400,30.27851
"22",32.830002,33.779999,30.9,32.48,103521100,30.315001
"23",31.879999,33.259998,30.42,31.969999,105454700,29.838996
"24",32.119999,32.990002,29.43,30.139999,109566000,28.130977
"25",29.57,30.360001,26.15,27.709999,105898700,26.02527
"26",27.75,28.559999,23.370001,24.65,145537300,23.151315
"27",24.940001,27.559999,23.75,27.209999,116683900,25.55567
"28",27.24,29.59,26.48,27.4,87474600,25.907802
"29",27.58,28.41,25.1,25.75,104105300,24.347661
"30",25.85,27.870001,24.75,27.540001,93610400,26.040179
"31",27.610001,30.74,27.110001,30.67,79482400,29.200667
"32",31.52,32,30.299999,31.09,103135400,29.600546
"33",30.969999,32.490002,30.559999,31.469999,94288200,29.96234
"34",31.26,35.169998,30.959999,35.07,116418100,33.589307
"35",35.09,35.330002,31.950001,35.009998,102237200,33.531839
"36",34.860001,38.330002,34.290001,37.360001,81030100,35.782621
"37",37.509998,38.150002,34.400002,35.790001,71669800,34.455079
"38",35.970001,41.5,35.43,40.209999,100967100,38.710217
"39",40.66,42.009998,39.799999,40.529999,68063300,39.018281
"40",41.09,43.490002,40.380001,41.5,59102100,40.139348
"41",41.549999,46.77,39.419998,46.150002,91041700,44.636891
"42",46.130001,51.900002,45.330002,50.509998,96595000,48.853938
"43",50.529999,51.700001,49.23,51.299999,89115600,49.836618
"44",50.25,52.5,45.950001,46.119999,110626900,44.804382
"45",46.080002,50.330002,43.849998,49.400002,88470300,47.99082
"46",48.889999,49.549999,45.310001,47.32,76671300,46.176381
"47",47.599998,49.259998,43.16,45.139999,86421800,44.049066
"48",45.189999,48.93,43.880001,48.360001,73349200,47.191247
"49",48.389999,50.709999,48.16,49.93,62630000,48.944177
"50",50.130001,51.599998,47.080002,47.240002,67943400,46.30729
"51",46.880001,49.23,46.290001,48.810001,61212900,47.846292
"52",48.810001,49.150002,43.740002,44,64106500,43.326948
"53",44.029999,47.459999,38.599998,47.25,100863400,46.527234
"54",47.400002,50.919998,47.400002,50,68710800,49.235168
"55",49.630001,50.830002,44.66,48.34,76381900,47.858883
"56",48.57,48.759998,44.32,46.470001,67141200,46.007495
"57",46.610001,51.389999,46.279999,50.810001,64154000,50.3043
"58",50.98,52,48.130001,50.439999,65794800,50.19162
"59",50.400002,53.41,49.220001,50.380001,83599100,50.131918
"60",50.66,53.450001,49.139999,52.02,63695700,51.763842
"61",52.209999,54.52,51.18,53.59,33223800,53.59
