"","stock_data$DHI.Open","stock_data$DHI.High","stock_data$DHI.Low","stock_data$DHI.Close","stock_data$DHI.Volume","stock_data$DHI.Adjusted"
"1",10.79,11.49,9.82,9.83,125217300,9.33584
"2",9.78,11.38,9.41,11.02,165199300,10.466018
"3",11.22,11.38,9.73,10.26,124709500,9.779482
"4",10.46,11.34,10.43,11.12,96978600,10.599204
"5",11.27,11.34,10.05,10.43,111585000,9.94152
"6",10.47,12.26,9.77,10.04,144207800,9.604611
"7",10.18,12.3,10.07,11.93,128859300,11.412651
"8",12.06,13.5,11.93,12.39,128952600,11.852703
"9",12.48,12.89,11.56,11.84,98324500,11.362178
"10",11.93,12.3,11.19,11.65,115545000,11.179845
"11",11.75,12.68,11.09,12.44,100016000,11.937963
"12",12.55,12.56,11.38,12.18,95224500,11.726187
"13",12.17,12.34,10.62,11.52,121272700,11.090778
"14",11.57,12.55,11.16,11.88,104282900,11.437364
"15",12.04,12.12,8.82,10.52,199491700,10.168328
"16",10.55,10.62,8.97,9.04,137379200,8.737803
"17",9.02,12,8.03,11.13,161968400,10.757936
"18",10.81,12.07,10.74,11.91,148101600,11.550739
"19",11.9,12.89,11.65,12.61,137469100,12.229623
"20",12.89,14.72,12.74,13.92,174920100,13.500108
"21",13.99,14.79,13.77,14.34,137915000,13.944339
"22",14.44,16.450001,13.45,15.17,179331700,14.751438
"23",15.1,16.690001,13.8,16.35,203010100,15.898881
"24",16.299999,17.91,15.63,16.6,186427100,16.178403
"25",16.209999,18.450001,14.37,18.379999,168618600,17.913195
"26",18.450001,19.35,17.51,17.629999,165796200,17.182243
"27",17.790001,19.219999,16.93,18.99,128224900,18.546792
"28",19,22.790001,18.92,20.629999,146592300,20.148515
"29",20.799999,22.32,19.73,20.959999,120657800,20.470813
"30",21.1,22.299999,17.709999,19.459999,138021300,19.042102
"31",19.559999,20.299999,18.27,19.780001,105131400,19.507555
"32",20.34,24.030001,20.02,23.66,130872900,23.334112
"33",23.860001,24.66,21.35,22.299999,116689900,21.992844
"34",22.139999,25.559999,21.75,24.299999,105754500,23.965296
"35",24.32,27.32,21.24,26.08,137489200,25.720779
"36",25.969999,27.75,24.309999,24.360001,116054600,24.024471
"37",24.4,24.65,19.940001,21.280001,177520300,20.986894
"38",21.379999,23.200001,19.129999,20.1,177184700,19.823147
"39",20.360001,20.76,17.57,17.85,169168600,17.604138
"40",17.91,21.6,17.52,19.43,148257900,19.162375
"41",19.469999,20.23,17.6,18.950001,166065700,18.688987
"42",18.99,20.43,17.67,19.879999,188461200,19.606176
"43",19.82,22.35,18.68,22.32,135934600,22.012569
"44",21.809999,24,20.200001,23.48,152082800,23.156591
"45",23.49,25.059999,22.540001,24.559999,136431000,24.261678
"46",23.790001,24.74,20.950001,21.65,144120600,21.387025
"47",21.719999,23.35,21.059999,22.280001,135437900,22.009373
"48",22.35,24.049999,21.469999,23.68,133237500,23.431731
"49",23.690001,24.83,22.870001,24.58,91361900,24.322295
"50",24.57,25.23,20.469999,20.700001,150033400,20.482975
"51",20.68,22.07,19.99,21.68,116728800,21.519584
"52",21.67,22.49,20.4,20.52,111831600,20.368168
"53",20.51,23.309999,19.290001,22.790001,148462400,22.621372
"54",22.790001,25.940001,22.32,25.49,106160100,25.363983
"55",25.49,25.620001,23.35,25.290001,103393300,25.164973
"56",25.48,26.82,22.120001,24.52,181250600,24.398779
"57",24.66,27.84,24.379999,27.309999,108037700,27.242369
"58",27.35,28.77,25.77,28.48,86182300,28.409472
"59",28.6,29.290001,25.34,25.4,125000200,25.337099
"60",25.530001,27.469999,24.92,26.120001,86785300,26.120001
"61",26.280001,26.799999,25.6,26.280001,26648400,26.280001
