"","stock_data$NI.Open","stock_data$NI.High","stock_data$NI.Low","stock_data$NI.Close","stock_data$NI.Volume","stock_data$NI.Adjusted"
"1",14.64,15.760001,14.450001,14.5,85395200,4.749195
"2",14.450001,16.98,14.19,16.500001,176855100,5.478506
"3",16.74,17.540001,16.32,17.360002,164599300,5.764053
"4",17.520001,17.910001,16.76,17.4,196882500,5.777334
"5",17.55,17.959999,17.15,17.31,155299400,5.823771
"6",17.47,17.64,16.65,16.73,108897900,5.628636
"7",16.930001,17.780002,16.83,17.620001,127703000,5.928068
"8",17.72,18.930001,17.709999,18.620001,164784000,6.342094
"9",18.610001,19.250001,18.310001,19.160001,107148400,6.526021
"10",19.17,19.610001,18.200002,19.180001,126166900,6.532834
"11",19.230001,19.49,18.620001,19.450001,85526200,6.704154
"12",19.500001,20.67,19.22,20.3,161012900,6.997137
"13",20.21,20.290002,19.030001,20.250001,157451000,6.979903
"14",20.280001,21.370002,19.950001,20.13,171733400,7.015931
"15",20.33,21.51,17.950001,21.36,273155000,7.444625
"16",21.389999,22.910001,20.280001,21.38,184583500,7.451595
"17",21.370002,23,20.31,22.090002,248371200,7.778887
"18",21.560001,22.93,21.17,22.910001,153040900,8.067646
"19",22.77,23.970001,21.670002,23.810001,129388300,8.384577
"20",24.06,24.06,22.320001,22.729999,192450600,8.004259
"21",22.740001,24.530001,22.65,24,175339800,8.535195
"22",23.98,24.55,23.299999,24.350002,140779700,8.659667
"23",24.360002,24.76,23.590001,24.650002,148298400,8.849089
"24",24.799999,25.790001,24.360002,25.090001,130569200,9.007045
"25",24.810001,25.47,24.030001,24.750001,120436000,8.884988
"26",24.850002,26.150001,24.250001,25.590001,141450900,9.273958
"27",25.629999,26.090001,23.930002,24.34,120755400,8.820951
"28",24.310001,25.840002,24.310001,25.48,138299700,9.234093
"29",25.55,25.97,24.84,25.47,84974800,9.318306
"30",25.47,25.690002,23.14,24.170001,139786600,8.842696
"31",24.430002,25.080001,24.020001,24.890001,150570900,9.106111
"32",25.13,27.31,24.850002,27.030002,123065900,9.977398
"33",27.080001,27.780001,26.680002,27.700001,106543400,10.22471
"34",27.66,29.379999,27.51,29.340001,97522000,10.830072
"35",29.21,31.390001,29.050001,30.729999,108205400,11.431166
"36",30.760001,30.99,28.330001,28.73,142008900,10.687192
"37",28.72,29.520002,27.110002,28.640001,94529600,10.653714
"38",28.620001,31.48,28.270001,30.72,88504700,11.51907
"39",30.99,31.26,28.990001,29.260001,87751100,10.971615
"40",29.470001,31.090001,28.850001,30.890001,122419500,11.582815
"41",30.890001,32.520001,30.090002,31.520001,113779000,11.912021
"42",31.540003,32.600001,30.65,31.620003,102264900,11.949813
"43",31.600001,33.48,30.700003,32.880003,126651900,12.425992
"44",32.840002,34.680002,32.11,34.370001,120634000,12.989091
"45",34.349999,36.820002,33.25,34.82,104663300,13.257354
"46",34.619999,35.830004,33.950003,35.53,97949200,13.527679
"47",35.53,36.529999,34.360001,36.320002,111509900,13.924976
"48",36.419998,37.669999,35.759999,37.37,106335200,14.327542
"49",37.380002,39.69,36.180002,39.340002,102642700,15.082835
"50",39.430002,39.700002,37.310002,37.680001,94308400,14.542385
"51",37.64,39.810003,36.000001,39.669998,97794200,15.310413
"52",39.62,41.700002,38.41,40.980002,125447100,15.816002
"53",40.939999,42.500003,37.580002,42.060004,131664500,16.333863
"54",42.060004,42.770004,40.590001,41.840002,96430500,16.248425
"55",41.560002,44.910003,38.84,42.420001,96259900,16.473666
"56",42.540002,44.900003,41.230003,43.260001,93753700,16.799878
"57",43.410001,45.100001,42.090003,42.909999,121846200,16.761779
"58",42.830002,44.640003,40.89,44.16,106856900,17.250062
"59",44.060003,45.250001,42.800003,43.420001,103727000,17.060904
"60",43.479999,47.790001,42.250002,47.180003,124061300,18.538312
"61",47.139999,47.42,44.770003,45.640002,30266600,17.933203
