"","stock_data$MS.Open","stock_data$MS.High","stock_data$MS.Low","stock_data$MS.Close","stock_data$MS.Volume","stock_data$MS.Adjusted"
"1",25.48,26.25,23.139999,23.209999,264802300,22.05438
"2",23.209999,27.889999,22.4,26.99,357025800,25.693756
"3",27.43,28.049999,24.24,24.690001,228157600,23.504219
"4",25.049999,27.799999,24.18,24.68,298774100,23.494699
"5",24.93,26.23,23.950001,24.870001,338001300,23.724611
"6",24.950001,27.360001,24.370001,24.459999,321001100,23.333492
"7",24.82,27.77,24.73,27.209999,248603200,25.95684
"8",27.629999,30.25,27.48,29.4,345080600,28.094404
"9",29.540001,31.040001,28.870001,29.68,205727800,28.36197
"10",29.690001,29.780001,26.700001,27.32,262159700,26.106773
"11",27.4,28.24,25.32,26.15,250474600,25.037157
"12",26.280001,26.49,23.33,24.16,248611200,23.131844
"13",24.02,24.049999,21.76,23.01,374008300,22.030784
"14",23.08,24.459999,20.18,22.25,434624700,21.348511
"15",22.75,22.860001,15.21,17.5,706456800,16.790963
"16",17.5,17.549999,12.49,13.51,620746500,12.962624
"17",13.54,19.67,11.58,17.639999,890744800,16.9763
"18",16.139999,17.75,12.86,14.79,709168300,14.233531
"19",14.56,17.5,14.03,15.13,646755700,14.560739
"20",15.76,18.879999,15.43,18.65,518774900,17.997744
"21",19.190001,20.700001,18.200001,18.540001,474076600,17.891592
"22",18.74,21.190001,17.24,19.639999,602498500,18.95312
"23",19.639999,20.049999,16.629999,17.280001,531176000,16.724447
"24",17.23,17.68,12.81,13.36,699975400,12.930474
"25",12.97,14.61,12.26,14.59,602625100,14.12093
"26",14.61,15.21,12.29,13.66,515490500,13.271875
"27",13.73,15.34,12.98,15,388590100,14.573801
"28",15.29,18.5,15.13,16.74,510560900,16.264362
"29",16.940001,18.57,16.73,17.379999,441619400,16.935872
"30",17.41,18.24,15.95,16.870001,383097100,16.438906
"31",17.01,19.450001,16.35,19.120001,345139100,18.631409
"32",20.16,23.030001,19.32,22.85,553471400,22.266093
"33",23.040001,24.469999,21.780001,22.549999,378248600,22.021946
"34",22.389999,23.66,21.780001,21.98,374171500,21.465294
"35",21.99,22.629999,20.16,22.15,469632500,21.681901
"36",22.110001,26.42,21.540001,25.9,366420400,25.352652
"37",26.059999,27.17,23.92,24.43,436196100,23.913718
"38",24.639999,27.98,23.83,27.209999,365586700,26.683131
"39",27.57,28.02,25.25,25.76,225055100,25.261208
"40",26.219999,29.5,25.950001,26.950001,288068100,26.428167
"41",26.950001,29.969999,26.41,28.73,313420500,28.22241
"42",28.889999,31.799999,28.690001,31.299999,223654500,30.747004
"43",31.52,31.85,30.040001,31.360001,219393800,30.805945
"44",31.33,33.52,29.280001,29.51,304437100,29.036816
"45",29.51,30.940001,28.780001,30.799999,258909600,30.30613
"46",30.24,33.25,29.93,31.17,257790800,30.670198
"47",31.370001,31.59,28.309999,30.93,279056100,30.533894
"48",30.91,31.440001,29.02,30.860001,222266200,30.464791
"49",30.860001,32.82,30.4,32.330002,184224800,31.915967
"50",32.41,33.599998,31.200001,32.34,198433600,32.022671
"51",32.18,34.57,31.120001,34.310001,148841700,33.973342
"52",34.419998,36.439999,33.82,34.57,219767400,34.230789
"53",34.369999,35.400002,31.35,34.950001,267714000,34.708075
"54",35.049999,36.130001,34.43,35.18,140828000,34.936482
"55",35.02,39.189999,34.560001,38.799999,201151500,38.531423
"56",39.049999,39.150002,33.73,33.810001,266267800,33.673119
"57",33.959999,37.200001,33.720001,35.790001,183165400,35.645102
"58",35.639999,37.220001,34.779999,35.689999,223990100,35.545505
"59",35.720001,37.700001,35.360001,37.310001,192293400,37.310001
"60",37.5,38.849998,36.759998,38.200001,163309500,38.200001
"61",38.419998,39.950001,38.16,39.889999,63993700,39.889999
