"","stock_data$ROK.Open","stock_data$ROK.High","stock_data$ROK.Low","stock_data$ROK.Close","stock_data$ROK.Volume","stock_data$ROK.Adjusted"
"1",51.27,55.669998,48.630001,49.09,18893900,43.966325
"2",48.990002,56.490002,47.790001,54.150002,21188200,48.498198
"3",55.25,56.799999,48.349998,51.139999,30449200,46.109698
"4",52.080002,63.27,52.080002,61.73,20511200,55.658031
"5",62.060001,64.260002,60.080002,62.369999,16828600,56.235078
"6",62.889999,67.75,62.650002,66.120003,19445500,59.938916
"7",67.379997,72.75,66.839996,71.709999,14348500,65.006344
"8",72.410004,82.970001,71.790001,81.010002,37822100,73.436956
"9",81.400002,91.260002,80.660004,87.730003,30841800,79.855149
"10",88.309998,94.879997,83.029999,94.650002,27326500,86.153991
"11",95.129997,98.190002,86.129997,87.129997,31873500,79.309
"12",87.639999,88.75,79.779999,83.110001,28714400,75.967017
"13",83.25,87.760002,76.709999,86.760002,24016700,79.303315
"14",86.919998,89.790001,71.129997,71.760002,23883000,65.592507
"15",73.120003,74,53.02,64.129997,61792000,59.046806
"16",63.91,64.910004,50.360001,56,42799000,51.561224
"17",55.240002,71.620003,53.060001,67.650002,30035700,62.287801
"18",64.849998,76.489998,64.5,75.029999,25880900,69.4801
"19",74.760002,78.010002,71.5,73.370003,26039900,67.942892
"20",75.209999,82.650002,72.209999,77.870003,28598500,72.110031
"21",79.010002,83.849998,78.870003,79.980003,22540000,74.460572
"22",80.25,84.709999,76.199997,79.699997,21094400,74.199889
"23",79.720001,80.669998,74,77.339996,30425300,72.002752
"24",77.269997,79.449997,71.080002,72.510002,27479800,67.87807
"25",71.010002,71.389999,62.41,66.059998,31069400,61.840091
"26",65.449997,69.220001,61.200001,67.360001,39336700,63.05705
"27",67.360001,73.980003,65.360001,72.059998,26238200,67.910904
"28",72.029999,73.529999,68.120003,69.550003,23880000,65.54543
"29",69.550003,72.839996,68.300003,71.059998,22059000,66.968482
"30",71.040001,79.68,70.910004,79.239998,27209200,75.131487
"31",79.739998,84.800003,76.959999,83.989998,20514100,79.635205
"32",85.309998,90.75,84.510002,89.190002,22779800,84.565595
"33",89.309998,91.989998,87.57,90.339996,16783500,86.09846
"34",89.720001,90.93,83.580002,86.349998,20407600,82.295795
"35",86.290001,89.790001,82.029999,84.779999,24628800,80.799509
"36",84.480003,91.669998,82.209999,88.019997,16892300,84.381791
"37",88.410004,89.07,80.599998,83.139999,17147100,79.703503
"38",84.110001,97.43,83.589996,96.849998,19169000,92.846815
"39",97.68,100.220001,93.470001,97.230003,15234000,93.704796
"40",98.550003,109.720001,96.980003,106.940002,13748700,103.062746
"41",107.239998,112.260002,102.980003,110.410004,15847500,106.406937
"42",110.629997,114.760002,108.120003,113.580002,14514000,110.022997
"43",113.139999,119.029999,108.349998,118.160004,13785100,114.459566
"44",117.620003,121.010002,111.790001,114.839996,17891400,111.243532
"45",114.900002,124.110001,108.830002,122.839996,18982000,119.593239
"46",119.900002,125.660004,119.190002,124.550003,15488900,121.258049
"47",124.790001,128.460007,115.209999,119.18,17061200,116.029979
"48",118.709999,122.980003,116.330002,121.080002,13768000,118.454302
"49",121.050003,128.570007,120.940002,125.160004,11613100,122.445826
"50",125.669998,126.839996,111.239998,111.660004,15098500,109.238583
"51",112.089996,117.809998,109.800003,116.610001,13636000,114.676317
"52",116.510002,118.769997,109.839996,109.879997,13411300,108.057913
"53",109.389999,112.540001,98.550003,112.349998,28279300,110.486956
"54",112.349998,117.370003,107.25,115.410004,18638700,114.156139
"55",113.230003,118.32,103.099998,111.199997,27796300,109.991872
"56",111.93,112.580002,102.309998,108.919998,29070900,107.736644
"57",109.379997,118.959999,108.949997,117.040001,18959300,116.424602
"58",117.040001,117.779999,109.699997,115.989998,23270000,115.38012
"59",114.910004,122.660004,110,118.599998,26647900,117.976397
"60",119.150002,126.290001,119.07,122.889999,18026700,122.889999
"61",122.790001,126.919998,122.32,126.720001,6545900,126.720001
