"","stock_data$GOOG.Open","stock_data$GOOG.High","stock_data$GOOG.Low","stock_data$GOOG.Close","stock_data$GOOG.Volume","stock_data$GOOG.Adjusted"
"1",568.00257,568.00257,552.922516,556.972503,65100,556.972503
"2",558.712565,604.832763,502.802274,526.662388,67355700,526.662388
"3",527.112352,567.842585,503.302272,559.892559,36627900,559.892559
"4",560.702581,582.45266,538.752429,575.282606,38002400,575.282606
"5",578.32262,599.652725,565.012558,571.60253,34611000,571.60253
"6",570.402584,587.342658,560.002541,571.60253,27661700,571.60253
"7",571.852545,596.482654,568.212618,577.36259,33517200,577.36259
"8",576.012635,581.002639,508.102301,559.082538,52163200,559.082538
"9",555.502529,557.902544,530.082412,541.832471,28516200,541.832471
"10",538.902438,541.412434,489.00222,526.402397,45859400,526.402397
"11",529.012399,542.172453,487.562205,534.522445,50217600,534.522445
"12",531.732383,564.712602,518.552316,558.402572,32581500,558.402572
"13",560.532559,577.912621,544.222448,548.002468,38648500,548.002468
"14",548.602441,571.14259,521.012371,537.340027,42370000,537.340027
"15",538.429993,544.190002,521.085022,532.109985,31807300,532.109985
"16",536.789978,543.5,523.01001,536.690002,13033000,536.690002
