"","stock_data$LUK.Open","stock_data$LUK.High","stock_data$LUK.Low","stock_data$LUK.Close","stock_data$LUK.Volume","stock_data$LUK.Adjusted"
"1",20.520003,22.019998,19.429997,19.51,17756400,17.975341
"2",19.410001,22.349993,18.799994,22.089999,22771700,20.352397
"3",22.429996,22.969994,19.769996,21.349994,29707700,19.670601
"4",21.699995,24.210005,21.61,23.620002,20981000,21.762049
"5",23.969995,25.510001,23.259999,25.419994,14862700,23.420454
"6",25.580001,27.650002,25.359997,25.960001,17478800,23.917984
"7",26.469999,29.639999,26.459997,29.179995,15852200,27.12508
"8",29.499998,32.799995,29.489996,32.519994,16797800,30.229869
"9",32.750001,34.410003,31.209995,33.130002,14461200,30.79692
"10",33.340002,37.810001,31.930005,37.540001,23409600,34.896358
"11",37.839999,39.139995,34.629997,38.659995,19180800,35.93748
"12",38.969995,39.090001,34.459996,35.459996,18972100,32.96283
"13",35.429998,35.470001,31.949998,34.100003,20638800,31.698612
"14",34.109997,36.219997,32.750001,33.669997,14867100,31.298888
"15",34.23,34.470002,25.340001,29.629997,26675900,27.543392
"16",29.569999,29.629997,22.669996,22.68,27743700,21.082828
"17",22.459996,28.799994,20.809997,26.829994,29134300,24.940571
"18",25.699996,26.359998,20.189998,23.419994,41741300,21.77071
"19",23.380004,24.839997,21.229999,22.739998,29829200,21.378488
"20",23.459995,28.629996,23.289997,27.760003,20884600,26.097932
"21",28.170004,29.790003,28.049997,28.489995,14704500,26.784217
"22",28.629996,28.750001,25.890002,26.100002,19873500,24.53732
"23",25.990001,26.329998,23.750001,24.860003,19083900,23.371563
"24",24.790002,25.809999,20.049997,20.319995,45608200,19.103378
"25",19.900003,21.839996,19.580001,21.270001,24205600,19.996504
"26",21.329998,22.51,20.809997,21.679999,16451700,20.381955
"27",21.809998,22.809997,20.419994,21.380004,14270800,20.099921
"28",21.380004,24.130001,20.809997,22.75,17640500,21.387891
"29",22.92,23.499997,21.949999,22.699996,14714900,21.340882
"30",22.779999,23.149996,19.99,22.149997,52569800,20.823813
"31",22.240002,24.349994,22.210004,23.790002,34006900,22.602955
"32",24.489994,25.510001,23.620002,25.450004,30173900,24.180127
"33",25.620002,28.340002,25.030001,26.9,54966200,26.247833
"34",26.889999,27.5,25.459999,27.43,43867200,26.828477
"35",27.360001,30.889999,27.059999,30.889999,30070100,30.212601
"36",30.809999,32.43,30.219999,31.379999,30617200,30.691855
"37",31.469999,31.51,24.700001,26.219999,36231900,25.703364
"38",26.309999,27.98,25.610001,26.83,23812700,26.301345
"39",27.040001,27.42,24.799999,24.93,18935500,24.438783
"40",25.18,28.75,25.129999,27.24,28281700,26.763831
"41",27.26,29.559999,26.82,28.34,26215000,27.844603
"42",28.43,29.450001,27.75,28.66,21377000,28.159009
"43",28.66,29.059999,26.98,28.34,19380200,27.909485
"44",28.370001,28.719999,26.82,27.33,36683500,26.914828
"45",27.02,28.41,26.040001,27.940001,32176700,27.515562
"46",27.66,28.389999,26.120001,28,32513600,27.639843
"47",28.040001,28.09,25.120001,25.52,31155000,25.191743
"48",25.5,26.08,24.52,25.65,26797400,25.32007
"49",25.690001,26.780001,24.940001,26.219999,33444300,25.945899
"50",26.299999,26.5,24.52,24.709999,23554900,24.451684
"51",24.67,25.290001,24.09,24.93,23591800,24.669385
"52",25.02,26.49,23.74,23.84,31636600,23.648571
"53",23.83,24.129999,21.129999,23.780001,52056200,23.589053
"54",23.75,24.719999,22.959999,23.129999,29211700,22.944271
"55",23,23.27,20.959999,22.42,58220300,22.30206
"56",22.540001,23.84,21.280001,22.67,34930900,22.550745
"57",22.66,24.799999,22.4,23.73,23117000,23.605169
"58",23.719999,24.1,22.08,22.290001,32496500,22.232963
"59",22.27,24.030001,22.219999,23.77,22255200,23.709176
"60",23.83,25.09,23.27,24.629999,22743600,24.566974
"61",24.68,24.9,24.23,24.620001,8213600,24.557001
