"","stock_data$DF.Open","stock_data$DF.High","stock_data$DF.Low","stock_data$DF.Close","stock_data$DF.Volume","stock_data$DF.Adjusted"
"1",10.530004,11.099996,9.999998,10.069998,60930400,8.673779
"2",10.069998,12.089996,9.740002,11.459996,95288700,9.871052
"3",11.55,11.83,9.629996,10.22,101192900,8.802983
"4",10.549996,11.039996,9.470004,10.209998,79809300,8.794368
"5",10.269996,10.860002,9.760004,10.399996,88331800,9.04981
"6",10.440002,10.699998,7.160003,7.259997,198827400,6.317463
"7",7.319995,8.879998,7.129998,8.840003,176183300,7.692344
"8",8.89,10.730004,8.739998,10.15,156473400,8.83227
"9",10.15,10.78,9.149996,10.559998,119468500,9.18904
"10",10.600004,10.71,9.369998,9.999998,86666600,8.701742
"11",10.040004,11.27,9.649998,11.189998,78760400,9.73725
"12",11.160004,13.899996,10.819996,13.880004,137349400,12.078024
"13",13.820004,13.849998,12.000004,12.270004,79325900,10.677043
"14",12.280004,12.540002,10.930002,11.020004,63333200,9.589326
"15",11.160004,11.2,7.899998,8.640005,124711500,7.518311
"16",8.630003,9.569996,7.829998,8.869997,83605700,7.718444
"17",8.770003,10.240004,8.039998,9.719998,59210400,8.458093
"18",9.390002,10.619996,9.159998,10.160002,65683200,8.840973
"19",10.160002,11.290004,10.030004,11.2,43196200,9.745953
"20",11.459996,11.459996,10.489998,10.759996,36643100,9.363073
"21",10.889996,12.579996,10.520004,12.260002,66028900,10.66834
"22",12.25,12.470002,11.850004,12.11,43726500,10.537812
"23",12.070004,12.400002,11.449996,12.280004,41162000,10.685745
"24",12.340004,15.700004,12.000004,15.640004,119328900,13.609531
"25",15.480002,17.08,15.070004,17.030004,83151000,14.819073
"26",16.87,17.250004,12.000004,12.369996,126542600,10.764054
"27",12.400002,17.5,11.659996,16.419996,128211700,14.28826
"28",16.470004,16.94,15.220004,16.349996,78289600,14.227347
"29",16.330004,19.169998,14.28,16.839996,144699100,14.653733
"30",16.670002,17.300002,15.980004,17.139998,82403600,14.914787
"31",17.769998,17.839998,15.850004,16.509998,59738700,14.366578
"32",16.769996,18.570004,16.73,18.309995,58181000,15.932888
"33",18.440006,18.949996,15.140004,16.600002,90012800,14.444896
"34",16.579998,18.990004,16.480004,18.13,79679500,15.776262
"35",18.06,19.280006,17.15,19.140006,58609700,16.655143
"36",19.159996,21.059998,9.58,10.49,184723500,20.447009
"37",10.48,10.6,9.53,10.02,46390100,19.530891
"38",10.12,10.97,10.05,10.9,33263700,21.246177
"39",11,19.52,9.61,19.16,40240700,18.673246
"40",18.959999,19.860001,18.549999,19.299999,28078900,18.809689
"41",19.23,19.879999,17.4,19.5,34637800,19.004609
"42",19.559999,19.709999,17.709999,17.98,36046600,17.523223
"43",17.99,18.700001,16.360001,17.190001,40075400,16.753294
"44",17.17,18.059999,15.77,15.8,46324200,15.398606
"45",15.8,15.86,13.59,14.79,57246000,14.414265
"46",14.71,15.62,14.53,15.46,39530100,15.138029
"47",15.47,16.52,14.96,15.84,47330500,15.510116
"48",15.85,17.65,14.26,17.379999,59904000,17.092126
"49",17.41,18.24,16.639999,17.59,54968300,17.298649
"50",17.610001,18.059999,15.32,15.32,65972200,15.066247
"51",15.25,16.4,14.19,16.18,56686700,15.980929
"52",16.24,16.280001,13.04,13.25,44994300,13.086978
"53",13.09,14.91,12.62,14.71,59799200,14.529015
"54",14.28,17.27,13.83,17.049999,48810800,16.909688
"55",17.07,19.66,16.77,19.379999,36869400,19.220514
"56",19.41,19.74,17.83,18.120001,40282900,17.970885
"57",18.139999,18.76,15.53,16.120001,55672000,15.987343
"58",16.120001,16.799999,15.36,16.530001,29019000,16.468778
"59",16.469999,17.9,16.200001,16.25,21119000,16.189815
"60",16.26,19.17,15.76,18.42,47477700,18.42
"61",18.58,18.76,17.309999,17.639999,14228900,17.639999
