"","stock_data$TRIP.Open","stock_data$TRIP.High","stock_data$TRIP.Low","stock_data$TRIP.Close","stock_data$TRIP.Volume","stock_data$TRIP.Adjusted"
"1",27.5,30.620001,23.99,25.209999,30531500,25.209999
"2",26.15,33.040001,24.57,32.91,40291600,32.91
"3",33.110001,35.93,26.93,32.23,63858300,32.23
"4",31.889999,36.860001,30.23,35.669998,37278200,35.669998
"5",35.619999,37.849998,33.23,37.509998,36309900,37.509998
"6",36.380001,45.82,36.07,42.880001,60574100,42.880001
"7",41.610001,46.299999,39.919998,44.689999,35403500,44.689999
"8",44.73,47.810001,34.029999,37.41,53330500,37.41
"9",37.470001,39,32.279999,33.439999,65582100,33.439999
"10",33.5,36.970001,31.709999,32.93,40496500,32.93
"11",33.23,34.18,29.059999,30.290001,58471900,30.290001
"12",30.48,39.32,28.629999,38.189999,65991800,38.189999
"13",38.240002,47,35.959999,41.919998,62638600,41.919998
"14",42.939999,47.77,42.77,46.279999,32092300,46.279999
"15",46.290001,49.349998,42.040001,45.540001,40345000,45.540001
"16",45.419998,53.73,44.59,52.52,36733000,52.52
"17",52.529999,54.799999,48.18,52.580002,37643000,52.580002
"18",52.529999,65.410004,51.720001,64.489998,53918700,64.489998
"19",63.150002,65.199997,58.740002,60.869999,36717900,60.869999
"20",61.450001,76.199997,59.540001,75.019997,40029700,75.019997
"21",75.779999,82.190002,68.839996,73.970001,36918600,73.970001
"22",74.900002,79.080002,72.110001,75.839996,28450800,75.839996
"23",75.739998,84.639999,68.110001,82.720001,70777500,82.720001
"24",83.080002,90.43,80.690002,88.32,36525800,88.32
"25",88.25,89.57,78.669998,82.830002,37680200,82.830002
"26",82.480003,86.830002,75.559998,77.190002,35486700,77.190002
"27",76.940002,102.849998,72.57,100.239998,52905900,100.239998
"28",98.809998,109.790001,88.82,90.589996,40720400,90.589996
"29",91.230003,96.330002,75.129997,80.739998,57361400,80.739998
"30",81.510002,98.620003,80.160004,97.169998,58362500,97.169998
"31",99.970001,111.239998,95.82,108.660004,36543200,108.660004
"32",109.129997,110.220001,94.169998,94.839996,45686300,94.839996
"33",94.489998,105.220001,91.779999,99.089996,26944800,99.089996
"34",99.589996,100.230003,89.099998,91.419998,36008500,91.419998
"35",91.010002,91.080002,75.339996,88.660004,50417600,88.660004
"36",89.330002,89.349998,67.139999,73.650002,60880200,73.650002
"37",73.5,77.940002,70.589996,74.660004,46049200,74.660004
"38",75.57,76.120003,66.040001,67.010002,37009600,67.010002
"39",67.269997,90.400002,66.18,89.25,65137800,89.25
"40",89.290001,91.470001,82,83.169998,39200100,83.169998
"41",83.379997,84.620003,79.830002,80.489998,28181700,80.489998
"42",81.889999,83,75.620003,76.260002,40764900,76.260002
"43",76.239998,77.059998,74.139999,76.470001,11445400,76.470001
