"","stock_data$ADT.Open","stock_data$ADT.High","stock_data$ADT.Low","stock_data$ADT.Close","stock_data$ADT.Volume","stock_data$ADT.Adjusted"
"1",35.779999,42.580002,35.380001,41.509998,91853700,39.508694
"2",41.509998,45.98,40.389999,45.900002,44283300,43.687044
"3",45.810001,47,43.25,46.490002,38031000,44.374461
"4",47.060001,49.099998,45.529999,47.5,43696300,45.458942
"5",47.889999,48.470001,45.919998,47.889999,38076800,45.832183
"6",47.5,50.369999,47.299999,48.939999,30773000,46.837064
"7",48.849998,48.860001,42.75,43.639999,81752100,41.884225
"8",41.299999,45.040001,40.189999,40.59,69682400,38.956937
"9",40.98,41.700001,38.09,39.849998,75638400,38.246708
"10",39.990002,44.560001,39.200001,40.080002,61522100,38.584638
"11",40,41.619999,39.599998,39.830002,49046900,38.343966
"12",40,43.02,38.91,40.66,52173800,39.142997
"13",40.720001,43.959999,38.369999,43.369999,60013400,41.876014
"14",43.389999,46.049999,39.709999,40.560001,70691200,39.162814
"15",40.77,41.630001,38.400002,40.470001,59033100,39.075914
"16",40.400002,40.599998,29.559999,30.040001,111440900,29.155565
"17",30.049999,32.27,28.65,30.709999,104269200,29.805837
"18",30.450001,31.58,27.93,29.950001,72410300,29.068214
"19",30.190001,32.73,28.85,30.24,68526300,29.551599
"20",30.190001,33,30,32.200001,48252600,31.466982
"21",32.290001,35.189999,32,34.939999,45715700,34.144605
"22",34.959999,35.889999,32.740002,34.799999,46001800,34.214088
"23",34.720001,37.5,33.799999,36.860001,39823800,36.239406
"24",36.860001,37.5,35.119999,35.459999,29641600,34.862976
"25",35.400002,35.860001,31.51,35.84,44117400,35.44204
"26",35.810001,37.790001,34.549999,34.939999,36153900,34.552032
"27",34.779999,36.900002,30.450001,36.23,53803500,35.827709
"28",36.419998,36.619999,32.889999,34.400002,47440900,34.223548
"29",34.57,39.98,34.220001,39.220001,35302800,39.018824
"30",39.200001,42.080002,37.16,41.52,51205400,41.307025
"31",41.48,42.880001,37.34,37.599998,50872300,37.599998
"32",37.650002,38.459999,36.470001,36.48,43588200,36.48
"33",36.639999,36.98,36.259998,36.830002,12219700,36.830002
