"","stock_data$JPM.Open","stock_data$JPM.High","stock_data$JPM.Low","stock_data$JPM.Close","stock_data$JPM.Volume","stock_data$JPM.Adjusted"
"1",37.68,39.779999,36.509998,36.610001,676235000,32.237823
"2",36.540001,41.240002,35.16,40.279999,832405700,35.518038
"3",40.98,41.700001,35.549999,36.360001,723429400,32.061468
"4",36.740002,41.5,36.66,38.060001,717143800,33.560492
"5",38.34,40.720001,36.209999,37.630001,949249000,33.224129
"6",37.610001,41.34,36.830002,37.400002,760406300,33.021059
"7",37.950001,43.119999,37.650002,42.419998,665999200,37.453294
"8",43,45.939999,42.650002,44.939999,827482200,39.72382
"9",45.200001,48.360001,44.299999,46.689999,597586300,41.270697
"10",46.470001,47.099998,43.400002,46.099998,684643600,40.749178
"11",46.549999,47.799999,43.529999,45.630001,577996200,40.552462
"12",45.939999,46.07,41.689999,43.240002,586460300,38.428413
"13",42.869999,42.990002,39.240002,40.939999,807200100,36.384346
"14",40.810001,42.549999,38.93,40.450001,666695700,36.169746
"15",41.16,41.369999,32.310001,37.560001,1190346900,33.585554
"16",37.619999,37.82,28.530001,30.120001,1031994300,26.932824
"17",30.030001,37.540001,27.85,34.759998,1065099100,31.355444
"18",32.470001,35.18,28.280001,30.969999,836433900,27.936655
"19",30.860001,34.189999,30.030001,33.25,818108000,29.993341
"20",34.060001,38.099998,34.009998,37.299999,722165800,33.888866
"21",37.889999,39.939999,37.049999,39.240002,565332000,35.651453
"22",39.509998,46.490002,39.119999,45.98,820652500,41.775069
"23",45.75,46.349998,41.799999,42.98,617224800,39.305038
"24",43,44.240002,32.259998,33.150002,1294302900,30.315544
"25",32.41,37.029999,30.83,35.73,1033963700,32.674942
"26",36.27,37.200001,33.099998,36,814935400,33.196358
"27",36.189999,38.860001,34.759998,37.139999,468135900,34.247575
"28",36.98,42.09,36.779999,40.48,485796100,37.32746
"29",40.880001,43.540001,40.419998,41.68,517965600,38.717862
"30",41.700001,43.07,38.830002,41.080002,467570200,38.160504
"31",41.27,44.540001,40.200001,43.970001,461095700,40.845115
"32",44.98,47.349998,44.200001,47.049999,522625800,44.00647
"33",47.400002,49.68,46.849998,48.919998,450398100,45.755504
"34",48.599998,51,47.279999,47.459999,499332300,44.389948
"35",47.549999,49.630001,46.049999,49.009998,489433900,46.126301
"36",48.759998,55.900002,46.98,54.59,549824600,51.377981
"37",54.599998,55.389999,50.110001,52.790001,440217000,49.683892
"38",53.220001,56.93,52.119999,55.73,414604000,52.833389
"39",56.360001,56.779999,50.130001,50.529999,343831300,47.903662
"40",51.25,53.93,50.060001,51.689999,434870300,49.00337
"41",51.639999,54.849998,50.25,51.540001,482265300,49.221139
"42",51.450001,58.139999,51.299999,57.220001,365912800,54.645588
"43",57.099998,58.549999,55.400002,58.48,330218200,55.848897
"44",58.310001,59.82,54.689999,55.360001,425415900,53.215058
"45",55.5,58.650002,54.200001,56.82,345203100,54.618489
"46",56.299999,61.48,55.689999,60.709999,425852600,58.357769
"47",60.950001,61.290001,54.349998,55.98,408990800,54.150201
"48",55.919998,56.369999,52.970001,55.57,315091600,53.753603
"49",55.650002,58.220001,55.02,57.619999,263682000,55.736594
"50",57.150002,59.349998,54.959999,57.669998,317245600,56.174925
"51",57.389999,59.950001,55.599998,59.450001,241549600,57.908782
"52",59.459999,61.849998,58.779999,60.240002,264909700,58.678302
"53",60.240002,60.799999,54.259998,60.48,415422100,59.308995
"54",60.790001,61.93,59.419998,60.16,211513600,58.995191
"55",59.98,63.490002,58.110001,62.580002,347573400,61.368337
"56",62.18,62.959999,54.369999,54.380001,468205900,53.670153
"57",54.529999,61.919998,54.27,61.279999,318803200,60.480082
"58",61.279999,62.869999,58.869999,60.580002,332553100,59.789222
"59",60.41,64.480003,59.650002,63.259998,325069500,62.849219
"60",63.700001,67.190002,63.25,65.779999,267792200,65.352856
"61",65.989998,68.5,65.580002,68.260002,117576300,67.816755
