"","stock_data$HCP.Open","stock_data$HCP.High","stock_data$HCP.Low","stock_data$HCP.Close","stock_data$HCP.Volume","stock_data$HCP.Adjusted"
"1",31.360001,34.5,31.360001,32.25,74954000,25.132103
"2",32.110001,36.310001,31.08,35.470001,75793200,27.641418
"3",36.150002,36.860001,33.369999,35.220001,68987300,27.801163
"4",35.759998,38.049999,35.48,35.98,51361300,28.401073
"5",36.310001,37.650002,35.330002,36.009998,65015700,28.424753
"6",36.259998,36.720001,31.879999,32.93,76273600,26.333678
"7",33.240002,37.099998,31.870001,36.790001,123228300,29.420469
"8",36.889999,37.73,35.810001,37.09,66450400,29.660374
"9",37.32,38.200001,36.450001,38,57958800,30.787384
"10",38.07,38.290001,36.139999,37.939999,102847300,30.738771
"11",38.130001,40.75,36.700001,39.619999,47426700,32.099898
"12",39.869999,40.009998,36.27,37.939999,52712700,31.125118
"13",37.77,38.110001,35,36.689999,62982600,30.099646
"14",36.77,38.23,36.16,36.73,50889400,30.132462
"15",34.98,37.369999,28.76,37.279999,131826400,31.015693
"16",37.310001,37.889999,34.32,35.060001,78497600,29.168731
"17",34.880001,40.869999,32.66,39.849998,95539500,33.153846
"18",38.560001,39.599998,35.830002,38.650002,67823000,32.554111
"19",38.52,41.98,37.490002,41.43,50518800,34.895647
"20",41.939999,42.419998,40.119999,42.029999,62083200,35.401014
"21",42.189999,42.75,38.720001,39.5,61381500,33.67012
"22",39.439999,41.080002,38.84,39.459999,58628400,33.636023
"23",39.450001,41.66,37.810001,41.450001,45588900,35.332317
"24",41.259998,41.900002,39.849998,40.84,49531600,35.237198
"25",40.009998,44.150002,39.07,44.150002,60994700,38.093103
"26",44.610001,47.75,43.59,47.209999,46485700,40.733302
"27",47.290001,47.639999,44.259998,45.860001,43942900,39.994528
"28",45.77,47.259998,44.119999,44.48,49307700,38.791029
"29",44.689999,45.959999,43.669998,44.349998,68164800,38.677655
"30",44.220001,46.150002,43.310001,45.049999,56340100,39.736109
"31",45.23,45.630001,43.900002,45.16,46158900,39.833135
"32",45.75,47.349998,45.220001,46.389999,38864400,41.380077
"33",46.59,49.18,46.099998,48.880001,44376800,43.601169
"34",48.82,49.91,48.139999,49.860001,45459900,44.475333
"35",49.889999,53.959999,49.630001,53.299999,45147000,47.543826
"36",53.25,56.060001,47.209999,47.380001,67810400,42.683511
"37",47.32,48.23,41.5,45.439999,79538900,40.935809
"38",45.830002,47.450001,43.049999,43.869999,54958800,39.521434
"39",43.73,43.73,38.93,40.73,63949500,37.13711
"40",41.09,44.509998,39.689999,40.950001,50068900,37.337704
"41",40.900002,43.290001,38.580002,41.5,74726400,38.314611
"42",41.5,42,36.740002,36.77,51293600,33.947669
"43",36.950001,37.240002,35.5,36.32,56661400,33.532209
"44",36.330002,39.34,35.950001,39.150002,67278200,36.14499
"45",39.25,39.310001,37.009998,38.77,60600600,36.306777
"46",38.59,39.59,36,38.790001,68700600,36.325507
"47",38.73,41.900002,38.490002,41.860001,63124500,39.200456
"48",41.849998,42.82,41.259998,41.75,47676300,39.605809
"49",41.720001,42.77,39.970001,41.380001,54687200,39.254813
"50",41.52,42.73,40.439999,41.529999,39570800,39.397107
"51",41.52,43.380001,40.549999,43.330002,37388700,41.656915
"52",43.459999,43.860001,39.34,39.709999,56534200,38.17669
"53",39.77,44.02,39.66,43.970001,58124000,42.272202
"54",44,45.189999,42.860001,44.799999,44026200,43.604303
"55",44.759998,46.07,43.849998,44.029999,63109100,42.854854
"56",44.279999,49.610001,44.16,47.290001,74267900,46.027847
"57",47.259998,47.299999,41.549999,42.360001,73743400,41.749456
"58",42.400002,44.25,39.880001,43.209999,87096000,42.587203
"59",43.150002,44.790001,39.939999,40.290001,67292700,39.709292
"60",40.259998,40.950001,38.529999,38.720001,60916700,38.720001
"61",38.900002,39.32,36.869999,37.799999,23943700,37.799999
