"","stock_data$FMC.Open","stock_data$FMC.High","stock_data$FMC.Low","stock_data$FMC.Close","stock_data$FMC.Volume","stock_data$FMC.Adjusted"
"1",60.220001,63.59,57.25,57.43,21981800,27.542645
"2",57.860001,63.619999,55.639999,62.490002,33679200,29.969353
"3",63.360001,64.809998,59.25,62.279999,23393200,29.868638
"4",63.209999,69.379997,62.73,68.410004,21045600,32.869211
"5",68.040001,74.349998,66.839996,73.099998,23768800,35.122631
"6",73.82,79.669998,72.879997,77.82,19360200,37.390468
"7",79.260002,82.029999,78.32,79.889999,20793400,38.445483
"8",80.68,81.309998,74.589996,76.059998,20331000,36.60237
"9",77.510002,82.919998,74.300003,77.440002,24096000,37.26647
"10",77.919998,85.620003,72.57,84.93,27989600,40.945124
"11",85.580002,89.059998,82.790001,88.279999,18008800,42.560172
"12",89.110001,89.279999,81.629997,84.349998,25667000,40.665502
"13",83.360001,86.099998,76.790001,86.019997,28280600,41.545616
"14",86.029999,93,85.540001,87.57,23568600,42.294231
"15",89.269997,90.190002,66.580002,75.93,45831400,36.672387
"16",75.779999,78.139999,67.699997,69.160004,27155400,33.469839
"17",68.419998,84.32,63.810001,78.889999,26975800,38.17865
"18",75.580002,84.849998,75.010002,83.919998,24399200,40.612907
"19",83.480003,88,80.989998,86.040001,17792600,41.71017
"20",88.260002,93.830002,85.860001,92.68,15279800,44.929086
"21",93.68,100.410004,90.459999,98.970001,25192400,47.97833
"22",99.360001,106.269997,96.400002,105.860001,22298000,51.405988
"23",106.089996,112.889999,101.75,110.449997,20378200,53.634906
"24",108,110.300003,50.360001,50.970001,24661200,49.502423
"25",49.790001,53.48,48.349998,53.48,22159500,52.033234
"26",53.580002,55.939999,50.450001,54.700001,19491500,53.220231
"27",55.310001,55.720001,51.639999,54.32,15727000,52.85051
"28",54.27,59.41,53.459999,55.380001,12310300,53.968154
"29",55.48,56.810001,51.889999,53.52,10916700,52.155572
"30",53.470001,55.950001,50.759998,55.459999,13068300,54.046113
"31",55.799999,59.080002,52.720001,58.52,19175200,57.161843
"32",59.66,62.060001,58.689999,61.470001,13718400,60.043378
"33",61.98,63.150002,57,60.259998,20752700,58.861458
"34",59.970001,61.669998,56.259998,57.029999,18775400,55.839492
"35",57.23,61.009998,55.18,60.700001,20009700,59.432882
"36",56.560001,64.949997,55.709999,62.709999,20364600,61.400922
"37",62.830002,64.959999,60.66,61.060001,16080900,59.916421
"38",61.560001,66.720001,60.57,66.160004,19229700,64.920907
"39",66.580002,67.459999,64.440002,66.610001,17237100,65.362476
"40",67.449997,72.349998,66.400002,71.720001,11436700,70.509942
"41",71.629997,74.57,70.010002,72.760002,14920800,71.532396
"42",72.790001,75.330002,71.790001,72.860001,11616600,71.630707
"43",72.889999,75.68,71.720001,75.459999,18429600,74.319905
"44",75.269997,76.629997,70.559998,70.629997,14816900,69.562878
"45",70.580002,78.330002,67.309998,77.18,21685700,76.01392
"46",76.360001,83.940002,75.809998,76.559998,29164700,75.551346
"47",77.190002,79.139999,74.230003,77,15214900,75.985552
"48",76.739998,77.169998,70.919998,76.559998,22592900,75.551346
"49",76.629997,78.5,69.5,71.190002,25773100,70.401635
"50",71.220001,71.529999,65,65.220001,22304300,64.497747
"51",64.949997,66.870003,64.050003,66.139999,24171800,65.407557
"52",66.269997,66.650002,56.98,57.189999,32899200,56.70276
"53",56.689999,59.669998,51.040001,57.349998,43093500,56.861397
"54",57.48,57.709999,54.290001,54.400002,20706200,53.936533
"55",54.290001,58,53.52,57.029999,28899700,56.691862
"56",57.080002,60.09,55.41,57.5,20132800,57.159076
"57",57.919998,64.620003,55.75,63.41,22065000,63.034035
"58",63.41,64.720001,56.900002,57.25,20752500,57.072472
"59",57.310001,60.18,56.41,59.310001,22800300,59.126085
"60",59.59,61.110001,56.790001,57.169998,21191900,56.992718
"61",57.299999,57.599998,55,55.549999,7800900,55.377742
