"","stock_data$HAR.Open","stock_data$HAR.High","stock_data$HAR.Low","stock_data$HAR.Close","stock_data$HAR.Volume","stock_data$HAR.Adjusted"
"1",31.07,35.959999,29.700001,29.889999,16250800,28.529581
"2",29.84,32.369999,28.700001,30.41,16944300,29.025914
"3",30.879999,34.299999,28.110001,31.17,31229400,29.751324
"4",31.76,35.619999,31.58,33.41,14211300,31.889372
"5",33.41,36.59,32.540001,33.549999,15405500,32.022999
"6",33.860001,44.5,33.400002,43.59,19968800,41.606038
"7",45.450001,48.880001,45.310001,46.299999,13585100,44.192693
"8",47.040001,47.830002,42.66,43.32,12433700,41.348326
"9",43.619999,52.540001,43.029999,48.639999,10689400,46.450967
"10",48.970001,50.16,44.779999,46.82,12331100,44.712876
"11",47.200001,50.990002,43.860001,48.529999,11876900,46.345917
"12",48.75,49.880001,45.459999,47.970001,11838500,45.835622
"13",47.810001,48.049999,42.509998,45.57,13061500,43.542407
"14",45.790001,48.060001,41.110001,41.599998,11840500,39.749047
"15",41.970001,42.209999,27.610001,36.189999,32486100,34.655228
"16",36.18,36.59,28.57,28.58,21573500,27.367959
"17",28.41,45.18,25.530001,43.16,23876800,41.401468
"18",41.220001,44.41,36.669998,41.299999,14581900,39.617252
"19",41.32,42.849998,34.150002,38.040001,14140500,36.490081
"20",39.009998,44.66,37.889999,42.200001,10916000,40.480584
"21",42.869999,51.759998,42.57,49.130001,20038600,47.198128
"22",49.41,50.23,45.48,46.810001,12602100,44.969354
"23",46.630001,52.75,43.25,49.580002,15607000,47.630434
"24",49.150002,50.610001,37.849998,39.220001,22155200,37.741774
"25",38.110001,41.400002,34.080002,39.599998,34009000,38.107449
"26",39.830002,41.349998,36.82,40.349998,13640500,38.829181
"27",40.689999,46.84,38.75,46.029999,13363800,44.443045
"28",45.639999,49.580002,44.650002,46.16,10453500,44.568564
"29",46.439999,47.57,39.169998,41.93,13476400,40.4844
"30",42.09,46,36.919998,39.560001,17284000,38.332589
"31",39.84,44.650002,39.220001,44.639999,12320700,43.254972
"32",45.939999,50.52,40.48,44.779999,24774500,43.390628
"33",45.130001,46.380001,41.400002,42.450001,15394200,41.270368
"34",42.169998,45.73,41.529999,44.630001,11387300,43.389789
"35",44.529999,45.279999,40.790001,44.709999,13834200,43.467564
"36",44.610001,54.380001,44.09,53.099998,14607100,51.781488
"37",53.200001,55.169998,47.59,54.200001,13728800,52.854177
"38",54.580002,61.029999,53.099998,60.529999,14155100,59.026997
"39",61,71.660004,58.119999,64.019997,25774000,62.696372
"40",65.129997,67.860001,63.84,66.230003,12606400,64.860686
"41",66.110001,85.760002,63.610001,81.019997,16383500,79.344893
"42",81.400002,84.5,76.389999,81.040001,12701100,79.65832
"43",81.139999,85.650002,78.489998,81.849998,12660900,80.454507
"44",81.93,105.580002,79.919998,103.43,22426600,101.666584
"45",103.339996,107.989998,97.760002,104.730003,16811300,103.252454
"46",103.620003,111.980003,101.610001,106.400002,15078000,104.898891
"47",106.629997,112.889999,98.589996,109.610001,19883300,108.063603
"48",113.230003,115,102.040001,105.029999,17773800,103.843533
"49",104.839996,108.589996,100.779999,107.43,14445500,106.216423
"50",107.940002,118.599998,107.940002,108.550003,13475500,107.323773
"51",108.5,116.709999,104.300003,115.080002,15891400,114.121442
"52",115.029999,115.5,97.709999,98.040001,14149400,97.223376
"53",98.040001,113.879997,84.480003,107.339996,24188000,106.445907
"54",107.279999,111.849998,103.690002,108.529999,10314900,107.967406
"55",108.639999,110,101.110001,106.709999,12933000,106.15684
"56",107.669998,132,94.699997,129.630005,20998100,128.958035
"57",129.789993,140,128.779999,137.990005,16069000,137.618826
"58",138.470001,145,128.75,133.630005,17451600,133.270554
"59",132.820007,149.119995,119.099998,130.380005,18346300,130.029296
"60",130.589996,132.740005,120.150002,120.519997,27161600,120.519997
"61",121.080002,124.860001,117.029999,117.800003,6350400,117.800003
