"","stock_data$KMB.Open","stock_data$KMB.High","stock_data$KMB.Low","stock_data$KMB.Close","stock_data$KMB.Volume","stock_data$KMB.Adjusted"
"1",62.330003,63.489994,60.469999,60.629996,43608600,48.592898
"2",60.580003,65.01,59.619996,64.119998,57612100,51.390016
"3",64.550007,66.250003,63.749996,64.400001,59064600,51.614429
"4",64.729997,67.239998,64.410004,65.050002,58183100,52.659196
"5",65.069995,67.230003,62.100001,63.34,63064600,51.274917
"6",63.34,63.37,61.060005,61.890004,59691100,50.101118
"7",62.349997,63.499997,61.220002,63.040004,55441500,51.581694
"8",63.179995,66.660007,62.330003,64.729997,56568000,52.964509
"9",64.839993,65.999995,63.759999,65.900002,57847900,53.921851
"10",65.609996,66.19999,63.059997,65.270002,64977600,53.983546
"11",65.050002,66.499998,63.400007,66.059998,61391000,54.636937
"12",66.179997,68.490003,65.940004,68.299995,44893000,56.489595
"13",68.140002,68.269988,64.57,66.559993,52992200,55.641507
"14",66.349996,67.989996,65.150003,65.360001,49140600,54.638361
"15",65.880001,69.39,61.000002,69.160005,98632000,57.815014
"16",69.050001,71.779999,66.290001,71.010003,69543000,59.97659
"17",71.089991,73.229999,69.019994,69.710001,67897500,58.87858
"18",68.710003,71.509994,68.269988,71.47,53071900,60.365113
"19",71.239997,74.059993,69.439997,73.559994,45770200,62.750876
"20",73.959992,74.250002,70.500002,71.559999,57193600,61.044765
"21",71.629992,73.11,70.940001,72.879998,44607300,62.1708
"22",72.759999,74.390005,71.260003,73.889998,48627800,63.68148
"23",73.759997,79.249999,73.33,78.470001,52991900,67.628717
"24",77.910003,79.999997,77.739992,79.35,75669300,68.387137
"25",78.889996,83.769994,77.799999,83.769994,58121300,72.876963
"26",83.449993,87.999996,83.050004,86.910007,46886000,75.608664
"27",87.1,88.250004,81.289997,83.599991,61026300,72.729066
"28",83.779997,86.190001,81.889997,85.780001,43797900,75.291013
"29",85.780001,87.800001,82.26999,83.449993,36695300,73.245914
"30",83.389994,87.339997,82.149999,85.719993,41931200,75.238344
"31",85.830005,86.429998,82.709989,84.430002,36811500,74.750712
"32",85.370001,89.599994,83.92,89.509996,44773500,79.248321
"33",89.879994,95.910004,89.220002,94.279999,48637200,83.471478
"34",94.219999,97.989996,91.910005,97.980002,46945600,87.486476
"35",97.570002,106.539999,97.299997,103.189997,54437400,92.138487
"36",103.250004,105.680005,96.819995,96.829998,67870200,86.459636
"37",97.000001,99.680001,93.760003,97.140005,53388500,87.462461
"38",96.879995,100.809992,96.030003,98.800002,37376100,88.957082
"39",99.440004,99.99,91.999996,93.480003,32899400,84.167087
"40",94.160008,97.980002,91.439998,94.219999,28497800,85.58165
"41",93.48999,108.56,93.12,108.000002,41893600,98.098263
"42",107.870001,111.679992,106.719997,109.16,40153500,99.15191
"43",108.859996,109.399997,102.529997,104.459991,34120900,95.61013
"44",104.320003,110.42,102.809996,109.369997,43496400,100.10416
"45",108.999999,111.289997,104.929998,110.34999,35126700,101.001128
"46",109.670002,111.709999,108.289995,110.249997,37083800,101.680049
"47",109.77999,113.089998,108.019991,112.249993,48708800,103.524581
"48",111.809993,112.5,109.219999,112.349994,27948200,103.616809
"49",112.339991,113.929995,109.660007,111.220003,25965900,103.356102
"50",110.83,114.449991,103.849996,103.870001,35920500,96.525788
"51",103.580007,109.660007,103.499995,108.000002,30089500,100.363774
"52",108.169997,108.959997,105.550004,107.570004,33179000,100.747775
"53",107.029995,114.819997,103.879996,114.269993,40910100,107.022842
"54",109.440002,116.779999,109.07,116.589996,33924200,113.891122
"55",115.610001,118.830002,111.860001,115.540001,38598400,113.687129
"56",115.25,119.010002,107.910004,107.959999,41918700,106.228685
"57",107.940002,111.839996,107.559998,109.660004,29415000,107.901427
"58",109.559998,110.510002,103.669998,107.110001,38844600,106.240229
"59",106.690002,113.449997,105.5,109.690002,34198500,108.79928
"60",109.720001,112.93,108.730003,108.860001,24654700,107.976018
"61",108.970001,109.559998,104.529999,107.110001,10045100,107.110001
