"","stock_data$ALXN.Open","stock_data$ALXN.High","stock_data$ALXN.Low","stock_data$ALXN.Close","stock_data$ALXN.Volume","stock_data$ALXN.Adjusted"
"1",50.610001,55.139999,50.130001,51.189999,19847400,25.594999
"2",51.189999,54.990002,48.610001,54.360001,33492800,27.18
"3",54.709999,58.669998,54.060001,56.470001,25339200,28.235001
"4",57.459999,65.379997,57.330002,64.360001,28823600,32.18
"5",64.57,72.449997,62.860001,68.300003,41282400,34.150002
"6",68.589996,77.639999,66.959999,76.449997,43501400,38.224998
"7",76.779999,83.620003,74.93,80.550003,35353600,40.275002
"8",81.360001,87.139999,80.080002,83.82,23487200,41.91
"9",84.360001,96.940002,83.290001,96.279999,27485600,48.139999
"10",96.93,100.360001,92.809998,98.68,35651400,49.34
"11",99.379997,105,92.940002,96.870003,43052800,48.435001
"12",96.970001,101.959999,44.360001,47.419998,29559200,47.419998
"13",48.700001,48.990002,43.779999,47.029999,25627400,47.029999
"14",46.91,59.07,46.73,56.799999,30948300,56.799999
"15",57.810001,59.41,46.560001,57.950001,37104100,57.950001
"16",57.66,68.5,55.240002,64.059998,35653500,64.059998
"17",63.330002,70.419998,59.419998,67.510002,30956000,67.510002
"18",66.040001,68.709999,62.02,68.660004,25059600,68.660004
"19",68.510002,72.25,62.5,71.5,23702600,71.5
"20",72.529999,77.580002,69.82,76.760002,24511300,76.760002
"21",76.949997,87.629997,75.040001,83.730003,26215000,83.730003
"22",84.129997,95.010002,82.629997,92.860001,30826400,92.860001
"23",93,93.970001,87.010002,90.32,20972900,90.32
"24",90.699997,94.360001,81.279999,90.57,66877400,90.57
"25",88.589996,99.699997,86.639999,99.300003,33847700,99.300003
"26",100,109.959999,94.800003,104.849998,33738000,104.849998
"27",105.559998,109.139999,100.559998,107.209999,23796600,107.209999
"28",106.760002,116.43,105.699997,114.400002,17738700,114.400002
"29",114.519997,119.540001,90.239998,90.379997,31106800,90.379997
"30",90.43,97.160004,86.199997,96.019997,30453500,96.019997
"31",96.239998,97.800003,90.080002,93.739998,23005500,93.739998
"32",96.150002,103.199997,91.300003,93.989998,32911800,93.989998
"33",94.75,98.589996,81.82,86.739998,47738100,86.739998
"34",86.739998,94.480003,86.089996,92.139999,30285200,92.139999
"35",91.07,100.779999,88.860001,98,42107600,98
"36",98,108.129997,95.68,97.580002,25721200,97.580002
"37",97.889999,98.440002,87.010002,92.239998,30872200,92.239998
"38",93.730003,125.650002,93.339996,116.190002,50637800,116.190002
"39",117.550003,118.400002,103.019997,107.760002,17657100,107.760002
"40",109.339996,116.910004,108.269997,116.160004,16616000,116.160004
"41",116.800003,126.389999,100.889999,122.949997,25739900,122.949997
"42",124.059998,124.800003,113.139999,124.5,19085800,124.5
"43",124.580002,133.75,120.139999,132.880005,22257700,132.880005
"44",132.460007,169.979996,126.760002,158.729996,31511900,158.729996
"45",158.389999,185.429993,150.699997,176.800003,30864600,176.800003
"46",174.770004,181.580002,145.639999,152.130005,45058700,152.130005
"47",153.210007,163.5,136.369995,158.199997,41666000,158.199997
"48",157.559998,171.029999,147.809998,166.320007,22809300,166.320007
"49",163.949997,172.5,154.779999,156.25,25923600,156.25
"50",157.809998,173.699997,154.380005,158.990005,28361200,158.990005
"51",158.619995,173.25,154.559998,169.289993,19480300,169.289993
"52",169.990005,171.350006,157.300003,165.820007,23207500,165.820007
"53",166.860001,197.229996,155.009995,191.360001,32829000,191.360001
"54",192.009995,197.639999,185.800003,194.899994,15177300,194.899994
"55",194.649994,203.300003,176.009995,185.029999,26625300,185.029999
"56",186.639999,189.720001,171.679993,183.240005,29154000,183.240005
"57",184.009995,188.350006,171.080002,180.369995,21497700,180.369995
"58",180.339996,193.270004,171.529999,173.300003,28740000,173.300003
"59",172.300003,189.179993,166.720001,169.229996,28144600,169.229996
"60",170.660004,175,150.059998,163.839996,56196300,163.839996
"61",165.300003,170.380005,157.130005,169.880005,13306900,169.880005
